concept	n_concept	n_concept_list	category	concept_eng	list	exemplar	count	avg_rank_order	dominance	min_rank	max_rank	first_occur	availability_montefinese	availability	outliers	exemplar_string
ABETE	1	9	PLANTS	fir	5	ABETE_bianco	13	1.615384615384615	0.40625	1	3	0.1875	0.3635961801879308	0.2500024831249101	False	abete bianco
ABETE	1	9	PLANTS	fir	5	ABETE_di natale	8	1.125	0.25	1	2	0.21875	0.2412484844150604	0.2218830888663376	False	abete di natale
ABETE	1	9	PLANTS	fir	5	ABETE_rosso	12	1.583333333333333	0.375	1	4	0.25	0.3379666186026394	0.2889122489951036	False	abete rosso
AEREO	2	6	VEHICLES	plane	5	AEREO_aeroplano	4	2.25	0.125	1	5	0.0625	0.07847297408072797	0.08321761601655499	False	aereo aeroplano
AEREO	2	6	VEHICLES	plane	5	AEREO_aliante	5	3.2	0.15625	2	4	0.0	0.04851014097221435	0.03427208983137183	False	aereo aliante
AEREO	2	6	VEHICLES	plane	5	AEREO_boeing	5	3.0	0.15625	1	6	0.03125	0.07038732959590124	0.0790181428562112	False	boeing
AEREO	2	6	VEHICLES	plane	5	AEREO_caccia	6	3.5	0.1875	1	7	0.0625	0.09520040033278522	0.1014243045840213	False	aereo caccia
AEREO	2	6	VEHICLES	plane	5	AEREO_cargo	7	4.857142857142857	0.21875	1	8	0.03125	0.06810979617996035	0.07727676579844509	False	aereo cargo
AEREO	2	6	VEHICLES	plane	5	AEREO_commerciale	4	1.75	0.125	1	3	0.0625	0.08376169074248754	0.07552798790943303	False	aereo commerciale
AEREO	2	6	VEHICLES	plane	5	AEREO_di linea	15	2.333333333333333	0.46875	1	6	0.25	0.390150540833599	0.3201479520217848	False	aereo di linea
AEREO	2	6	VEHICLES	plane	5	AEREO_elicottero	4	1.75	0.125	1	2	0.03125	0.07480240815883546	0.04064926659901285	False	elicottero
AEREO	2	6	VEHICLES	plane	5	AEREO_jet	13	3.615384615384616	0.40625	1	7	0.0625	0.2602298672169999	0.1843494165409455	False	jet
AEREO	2	6	VEHICLES	plane	5	AEREO_militare	16	3.0625	0.5	2	10	0.0	0.3797150534911186	0.3258502705181184	False	aereo militare
AEREO	2	6	VEHICLES	plane	5	AEREO_passeggeri	4	1.0	0.125	1	1	0.125	0.125	0.125	False	aereo passeggeri
AEREO	2	6	VEHICLES	plane	5	AEREO_privato	7	2.714285714285714	0.21875	1	4	0.03125	0.1205143286567671	0.07587744367745233	False	aereo privato
AGENDA	3	3	STATIONERY	diary	3	AGENDA_ad anelli	4	3.75	0.125	1	5	0.03125	0.03729409825523659	0.04308408560057832	False	agenda ad anelli
AGENDA	3	3	STATIONERY	diary	3	AGENDA_annuale	9	2.666666666666667	0.28125	1	5	0.09375	0.1886373147046337	0.145393229838552	False	agenda annuale
AGENDA	3	3	STATIONERY	diary	3	AGENDA_diario	4	3.5	0.125	1	6	0.03125	0.04180347805753083	0.05469863868334608	False	diario
AGENDA	3	3	STATIONERY	diary	3	AGENDA_digitale	4	3.5	0.125	1	6	0.03125	0.04789914191571212	0.05907374735427032	False	agenda digitale
AGENDA	3	3	STATIONERY	diary	3	AGENDA_giornaliera	18	2.722222222222222	0.5625	1	7	0.15625	0.4540834814070763	0.3332891758366887	False	agenda giornaliera
AGENDA	3	3	STATIONERY	diary	3	AGENDA_mensile	20	2.2	0.625	1	6	0.15625	0.5451463878399051	0.3992002143346159	False	agenda mensile
AGENDA	3	3	STATIONERY	diary	3	AGENDA_settimanale	20	2.25	0.625	1	5	0.1875	0.5421544425217923	0.364440190826047	False	agenda settimanale
AGENDA	3	3	STATIONERY	diary	3	AGENDA_tascabile	4	2.5	0.125	1	5	0.0625	0.07069972605065854	0.07552798790943303	False	agenda tascabile
APPENDIABITI	4	1	FURNISHINGS/FITTINGS	clothes hanger	2	APPENDIABITI_a rastrelliera	6	3.0	0.1875	3	3	0.0	0.0747223202033464	0.0187985331980257	False	appendiabiti a rastrelliera
APPENDIABITI	4	1	FURNISHINGS/FITTINGS	clothes hanger	2	APPENDIABITI_da muro	9	1.333333333333333	0.28125	1	3	0.21875	0.2597762948618105	0.231777987909433	False	appendiabiti da muro
APPENDIABITI	4	1	FURNISHINGS/FITTINGS	clothes hanger	2	APPENDIABITI_da parete	15	2.066666666666667	0.46875	1	7	0.1875	0.4032522792259816	0.3474653400502411	False	appendiabiti da parete
APPENDIABITI	4	1	FURNISHINGS/FITTINGS	clothes hanger	2	APPENDIABITI_da terra	14	1.5	0.4375	1	2	0.21875	0.4020284256626105	0.2406816220643633	False	appendiabiti da terra
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_a battente	8	1.625	0.25	1	3	0.125	0.2086932708763719	0.1578177859956238	False	armadio a battente
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_a due ante	10	2.0	0.3125	1	5	0.125	0.2517989897894115	0.2083660965103025	False	armadio a due ante
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_a libro	6	2.5	0.1875	1	3	0.03125	0.1007924940576557	0.05367725450844588	False	armadio a libro
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_a muro	10	2.1	0.3125	1	6	0.1875	0.2536728034032261	0.2306762526054375	False	armadio a muro
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_a tre ante	5	2.2	0.15625	1	3	0.03125	0.08620885238662557	0.05730597581886607	False	armadio a tre ante
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_ad ante	5	2.0	0.15625	1	3	0.03125	0.09389848049374752	0.06406778599562386	False	armadio ad ante
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_cabina	7	4.285714285714286	0.21875	2	10	0.0	0.0924361646381994	0.1157475001438052	False	cabina armadio
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_in legno	8	3.5	0.25	1	7	0.0625	0.1327310366997468	0.1233615594203907	False	armadio in legno
ARMADIO	5	10	FURNITURE	closet	8	ARMADIO_scorrevole	14	1.857142857142857	0.4375	1	3	0.15625	0.3791566955900548	0.2250186608575853	False	armadio scorrevole
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_a bustina	5	2.8	0.15625	1	4	0.03125	0.06986524192911894	0.05877786847516278	False	astuccio a bustina
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_a cerniera	6	1.833333333333333	0.1875	1	2	0.03125	0.1298880696104572	0.04691544433168809	False	astuccio a cerniera
ASTUCCIO	6	5	STATIONERY	case	2	ASTUCCIO_a tre cerniere	4	2.0	0.125	1	3	0.03125	0.06702916012876603	0.05417288695252845	False	astuccio a tre cerniere
