category	concept_eng	concept	concept_exemplar	exemplar	length	freq_ass	freq_rel	outlier
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_4x4	automobile 4x4	2	6	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_audi	audi	1	15073	1.04	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_audi	automobile audi	2	4	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_berlina	berlina	1	37213	2.56	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_berlina	automobile berlina	2	25	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_cabrio	cabrio	1	12411	0.86	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_cabrio	automobile cabrio	2	5	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_citycar	citycar	1	5025	0.35	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_citycar	automobile citycar	2	0	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_coupé	coupé	1	17096	1.18	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_coupé	automobile coupé	2	9	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_crossover	crossover	1	31789	2.19	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_crossover	automobile crossover	2	1	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_decappottabile	automobile decappottabile	2	24	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_elettrica	automobile elettrica	2	554	0.04	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_familiare	automobile familiare	2	36	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_ferrari	ferrari	1	11333	0.78	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_ferrari	automobile ferrari	2	0	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_fuoristrada	fuoristrada	1	35774	2.46	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_fuoristrada	automobile fuoristrada	2	11	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_ibrida	automobile ibrida	2	99	0.01	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_limousine	limousine	1	10400	0.72	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_limousine	automobile limousine	2	0	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_monovolume	monovolume	1	10221	0.7	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_monovolume	automobile monovolume	2	8	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_nuova	automobile nuova	2	551	0.04	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_sportiva	automobile sportiva	2	312	0.02	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_suv	suv	1	20473	1.41	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_suv	automobile suv	2	1	0	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_utilitaria	utilitaria	1	15403	1.06	no
VEHICLES	car	AUTOMOBILE	AUTOMOBILE_utilitaria	automobile utilitaria	2	50	0	no
CLOTHES	singlet	CANOTTIERA	CANOTTIERA_bianca	canottiera bianca	2	436	0.03	no
CLOTHES	singlet	CANOTTIERA	CANOTTIERA_colorata	canottiera colorata	2	10	0	no
CLOTHES	singlet	CANOTTIERA	CANOTTIERA_intima	canottiera intima	2	63	0	no
CLOTHES	singlet	CANOTTIERA	CANOTTIERA_larga	canottiera larga	2	10	0	no
CLOTHES	singlet	CANOTTIERA	CANOTTIERA_lunga	canottiera lunga	2	8	0	no
CLOTHES	singlet	CANOTTIERA	CANOTTIERA_nera	canottiera nera	2	155	0.01	no
CLOTHES	singlet	CANOTTIERA	CANOTTIERA_sportiva	canottiera sportiva	2	11	0	no
BODY PARTS	brain	CERVELLO	CERVELLO_animale	cervello animale	2	113	0.01	no
BODY PARTS	brain	CERVELLO	CERVELLO_artificiale	cervello artificiale	2	262	0.02	no
BODY PARTS	brain	CERVELLO	CERVELLO_rettiliano	cervello rettiliano	2	369	0.03	no
BODY PARTS	brain	CERVELLO	CERVELLO_umano	cervello umano	2	12841	0.88	no
FURNITURE	cupboard	CREDENZA	CREDENZA_antica	credenza antica	2	129	0.01	no
FURNITURE	cupboard	CREDENZA	CREDENZA_popolare	credenza popolare	2	4328	0.3	no
FURNITURE	cupboard	CREDENZA	CREDENZA_religiosa	credenza religiosa	2	1249	0.09	no
FURNITURE	cupboard	CREDENZA	CREDENZA_vetrinetta	vetrinetta	1	2806	0.19	no
FURNITURE	cupboard	CREDENZA	CREDENZA_vetrinetta	credenza vetrinetta	2	1	0	no
FURNITURE	sofa	DIVANO	DIVANO_componibile	divano componibile	2	404	0.03	no
FURNITURE	sofa	DIVANO	DIVANO_letto	letto	1	44513	3.07	yes
FURNITURE	sofa	DIVANO	DIVANO_letto	divano letto	2	38937	2.68	no
FURNITURE	sofa	DIVANO	DIVANO_piccolo	divano piccolo	2	33	0	no
FURNITURE	sofa	DIVANO	DIVANO_poltrona	poltrona	1	31934	2.2	yes
FURNITURE	sofa	DIVANO	DIVANO_poltrona	divano poltrona	2	8	0	no
FURNITURE	sofa	DIVANO	DIVANO_reclinabile	divano reclinabile	2	34	0	no
VEHICLES	helicopter	ELICOTTERO	ELICOTTERO_civile	elicottero civile	2	65	0	no
VEHICLES	helicopter	ELICOTTERO	ELICOTTERO_militare	elicottero militare	2	724	0.05	no
VEHICLES	helicopter	ELICOTTERO	ELICOTTERO_privato	elicottero privato	2	269	0.02	no
FURNITURE	bed	LETTO	LETTO_brandina	brandina	1	2614	0.18	no
FURNITURE	bed	LETTO	LETTO_brandina	letto brandina	2	3	0	no
FURNITURE	bed	LETTO	LETTO_divano	divano	1	33353	2.3	yes
FURNITURE	bed	LETTO	LETTO_divano	letto divano	2	38937	2.68	no
FURNITURE	bed	LETTO	LETTO_matrimoniale	letto matrimoniale	2	67060	4.62	no
FURNITURE	bed	LETTO	LETTO_singolo	letto singolo	2	12981	0.89	no
HOBBIES	book	LIBRO	LIBRO_biografia	biografia	1	33902	2.34	no
HOBBIES	book	LIBRO	LIBRO_biografia	libro biografia	2	48	0	no
HOBBIES	book	LIBRO	LIBRO_diario	diario	1	36885	2.54	no
HOBBIES	book	LIBRO	LIBRO_diario	libro diario	2	36	0	no
HOBBIES	book	LIBRO	LIBRO_digitale	libro digitale	2	2194	0.15	no
HOBBIES	book	LIBRO	LIBRO_dizionario	dizionario	1	22746	1.57	no
HOBBIES	book	LIBRO	LIBRO_dizionario	libro dizionario	2	5	0	no
HOBBIES	book	LIBRO	LIBRO_enciclopedia	enciclopedia	1	34577	2.38	no
HOBBIES	book	LIBRO	LIBRO_enciclopedia	libro enciclopedia	2	5	0	no
HOBBIES	book	LIBRO	LIBRO_fantasy	fantasy	1	36480	2.51	no
