,participant,concept,exemplar,rank_order,normed_rank_order
0,gpt3.5_iter0,abete,abete rosso,1,1.0
1,gpt3.5_iter0,abete,abete bianco,2,0.9
2,gpt3.5_iter0,abete,abete coreano,3,0.8
3,gpt3.5_iter0,abete,abete di douglas,4,0.7
4,gpt3.5_iter0,abete,abete del colorado,5,0.6
5,gpt3.5_iter0,abete,abete di nordmann,6,0.5
6,gpt3.5_iter0,abete,abete di fraser,7,0.4
7,gpt3.5_iter0,abete,abete di siberia,8,0.30000000000000004
8,gpt3.5_iter0,abete,abete di norway,9,0.19999999999999996
9,gpt3.5_iter0,abete,abete di picea,10,0.09999999999999998
10,gpt3.5_iter1,aereo,aereo di linea,1,1.0
11,gpt3.5_iter1,aereo,aereo da caccia,2,0.96875
12,gpt3.5_iter1,aereo,elicottero,3,0.9375
13,gpt3.5_iter1,aereo,aereo da turismo,4,0.90625
14,gpt3.5_iter1,aereo,aereo cargo,5,0.875
15,gpt3.5_iter1,aereo,aereo da addestramento,6,0.84375
16,gpt3.5_iter1,aereo,aereo da trasporto militare,7,0.8125
17,gpt3.5_iter1,aereo,aereo da acrobazie,8,0.78125
18,gpt3.5_iter1,aereo,aereo da carico,9,0.75
19,gpt3.5_iter1,aereo,aereo da pattugliamento marittimo,10,0.71875
20,gpt3.5_iter1,aereo,aereo da ricognizione,11,0.6875
21,gpt3.5_iter1,aereo,aereo da combattimento,12,0.65625
22,gpt3.5_iter1,aereo,aereo da bombardamento,13,0.625
23,gpt3.5_iter1,aereo,aereo da sorveglianza,14,0.59375
24,gpt3.5_iter1,aereo,aereo da trasporto vip,15,0.5625
25,gpt3.5_iter1,aereo,aereo da volo acrobatico,16,0.53125
26,gpt3.5_iter1,aereo,aereo da trasporto sanitario,17,0.5
27,gpt3.5_iter1,aereo,aereo da trasporto merci,18,0.46875
28,gpt3.5_iter1,aereo,aereo da trasporto passeggeri,19,0.4375
29,gpt3.5_iter1,aereo,aereo da trasporto a lungo raggio,20,0.40625
30,gpt3.5_iter1,aereo,aereo da trasporto regionale,21,0.375
31,gpt3.5_iter1,aereo,aereo da trasporto privato,22,0.34375
32,gpt3.5_iter1,aereo,aereo da trasporto militare strategico,23,0.3125
33,gpt3.5_iter1,aereo,aereo da trasporto militare tattico,24,0.28125
34,gpt3.5_iter1,aereo,aereo da trasporto anfibio,25,0.25
41,gpt3.5_iter1,aereo,aereo da trasporto anfib,32,0.03125
42,gpt3.5_iter2,agenda,giornaliera,1,1.0
43,gpt3.5_iter2,agenda,settimanale,2,0.975
44,gpt3.5_iter2,agenda,mensile,3,0.95
45,gpt3.5_iter2,agenda,annuale,4,0.925
46,gpt3.5_iter2,agenda,digitale,5,0.9
47,gpt3.5_iter2,agenda,cartacea,6,0.875
48,gpt3.5_iter2,agenda,tascabile,7,0.85
49,gpt3.5_iter2,agenda,da scrivania,8,0.825
50,gpt3.5_iter2,agenda,con copertina rigida,9,0.8
51,gpt3.5_iter2,agenda,con copertina morbida,10,0.775
52,gpt3.5_iter2,agenda,con elastico,11,0.75
53,gpt3.5_iter2,agenda,con anelli,12,0.725
54,gpt3.5_iter2,agenda,con chiusura a zip,13,0.7
55,gpt3.5_iter2,agenda,con tasche interne,14,0.675
56,gpt3.5_iter2,agenda,con segnalibri,15,0.65
57,gpt3.5_iter2,agenda,con pagine colorate,16,0.625
58,gpt3.5_iter2,agenda,con pagine a righe,17,0.6
59,gpt3.5_iter2,agenda,con pagine a quadretti,18,0.575
60,gpt3.5_iter2,agenda,con pagine bianche,19,0.55
61,gpt3.5_iter2,agenda,con calendario integrato,20,0.525
62,gpt3.5_iter2,agenda,con sezioni per note,21,0.5
63,gpt3.5_iter2,agenda,con sezioni per contatti,22,0.475
64,gpt3.5_iter2,agenda,con sezioni per obiettivi,23,0.44999999999999996
65,gpt3.5_iter2,agenda,con sezioni per appuntamenti,24,0.42500000000000004
66,gpt3.5_iter2,agenda,con sezioni per liste,25,0.4
67,gpt3.5_iter2,agenda,con sezioni per progetti,26,0.375
68,gpt3.5_iter2,agenda,con sezioni per budget,27,0.35
69,gpt3.5_iter2,agenda,con sezioni per password,28,0.32499999999999996
70,gpt3.5_iter2,agenda,con sezioni per viaggi,29,0.30000000000000004
71,gpt3.5_iter2,agenda,con sezioni per ricette,30,0.275
72,gpt3.5_iter2,agenda,con sezioni per fitness,31,0.25
73,gpt3.5_iter2,agenda,con sezioni per meditazione,32,0.22499999999999998
74,gpt3.5_iter2,agenda,con sezioni per libri da leggere,33,0.19999999999999996
75,gpt3.5_iter2,agenda,con sezioni per film da vedere,34,0.17500000000000004
76,gpt3.5_iter2,agenda,con sezioni per obiettivi di vita,35,0.15000000000000002
77,gpt3.5_iter2,agenda,con sezioni per gratitudine,36,0.125
78,gpt3.5_iter2,agenda,con sezioni per abitudini,37,0.09999999999999998
79,gpt3.5_iter2,agenda,con sezioni per obiettivi finanziari,38,0.07499999999999996
80,gpt3.5_iter2,agenda,con sezioni per obiettivi di carriera,39,0.050000000000000044
81,gpt3.5_iter2,agenda,con,40,0.025000000000000022
82,gpt3.5_iter3,appendiabiti,a muro,1,1.0
83,gpt3.5_iter3,appendiabiti,a terra,2,0.9545454545454546
84,gpt3.5_iter3,appendiabiti,da porta,3,0.9090909090909091
85,gpt3.5_iter3,appendiabiti,da parete,4,0.8636363636363636
86,gpt3.5_iter3,appendiabiti,girevole,5,0.8181818181818181
87,gpt3.5_iter3,appendiabiti,con ruote,6,0.7727272727272727
88,gpt3.5_iter3,appendiabiti,a scomparsa,7,0.7272727272727273
89,gpt3.5_iter3,appendiabiti,a ventaglio,8,0.6818181818181819
90,gpt3.5_iter3,appendiabiti,a spirale,9,0.6363636363636364
91,gpt3.5_iter3,appendiabiti,a forma di albero,10,0.5909090909090908
92,gpt3.5_iter3,appendiabiti,a forma di animale,11,0.5454545454545454
93,gpt3.5_iter3,appendiabiti,a forma di persona,12,0.5
94,gpt3.5_iter3,appendiabiti,con ripiani,13,0.4545454545454546
95,gpt3.5_iter3,appendiabiti,con ganci multipli,14,0.40909090909090906
96,gpt3.5_iter3,appendiabiti,con appendi-scarpe,15,0.36363636363636365
97,gpt3.5_iter3,appendiabiti,con specchio,16,0.31818181818181823
98,gpt3.5_iter3,appendiabiti,con luce integrata,17,0.2727272727272727
99,gpt3.5_iter3,appendiabiti,con portabiti aggiuntivi,18,0.2272727272727273
100,gpt3.5_iter3,appendiabiti,con ruotino per borse,19,0.18181818181818177
101,gpt3.5_iter3,appendiabiti,con portachiavi integrato,20,0.13636363636363635
102,gpt3.5_iter3,appendiabiti,con ripiano per accessori,21,0.09090909090909094
103,gpt3.5_iter3,appendiabiti,con appendi-cinture,22,0.045454545454545414
104,gpt3.5_iter4,armadio,armadio a due ante,1,1.0
105,gpt3.5_iter4,armadio,armadio a tre ante,2,0.9
106,gpt3.5_iter4,armadio,armadio a specchio,3,0.8
107,gpt3.5_iter4,armadio,armadio a muro,4,0.7
108,gpt3.5_iter4,armadio,armadio a ponte,5,0.6
109,gpt3.5_iter4,armadio,armadio ad angolo,6,0.5
110,gpt3.5_iter4,armadio,armadio a cassetti,7,0.4
111,gpt3.5_iter4,armadio,armadio a scaffale,8,0.30000000000000004
112,gpt3.5_iter4,armadio,armadio a scomparsa,9,0.19999999999999996
113,gpt3.5_iter4,armadio,armadio guardaroba,10,0.09999999999999998
114,gpt3.5_iter5,astuccio,astuccio per penne,1,1.0
115,gpt3.5_iter5,astuccio,astuccio per matite,2,0.9090909090909091
116,gpt3.5_iter5,astuccio,astuccio per trucchi,3,0.8181818181818181
117,gpt3.5_iter5,astuccio,astuccio per occhiali,4,0.7272727272727273
118,gpt3.5_iter5,astuccio,astuccio per gioielli,5,0.6363636363636364
119,gpt3.5_iter5,astuccio,astuccio per strumenti musicali,6,0.5454545454545454
120,gpt3.5_iter5,astuccio,astuccio per telefoni cellulari,7,0.4545454545454546
121,gpt3.5_iter5,astuccio,astuccio per chiavi,8,0.36363636363636365
