participant,concept,exemplar,rank_order,normed_rank_order,abs_freq
gpt3.5_iter0,abete,abete rosso,1,1.0,15104.0
gpt3.5_iter0,abete,abete bianco,2,0.9,224.0
gpt3.5_iter0,abete,abete coreano,3,0.8,10.0
gpt3.5_iter0,abete,abete di douglas,4,0.7,21.0
gpt3.5_iter0,abete,abete del colorado,5,0.6,27.0
gpt3.5_iter0,abete,abete di nordmann,6,0.5,3.0
gpt3.5_iter0,abete,abete di fraser,7,0.4,23.0
gpt3.5_iter0,abete,abete di siberia,8,0.3,0.0
gpt3.5_iter0,abete,abete di norway,9,0.1999999999999999,0.0
gpt3.5_iter0,abete,abete di picea,10,0.0999999999999999,0.0
gpt3.5_iter1,aereo,aereo di linea,1,1.0,25.0
gpt3.5_iter1,aereo,aereo da caccia,2,0.96875,62.0
gpt3.5_iter1,aereo,elicottero,3,0.9375,30198.0
gpt3.5_iter1,aereo,aereo da turismo,4,0.90625,44.0
gpt3.5_iter1,aereo,aereo cargo,5,0.875,70.0
gpt3.5_iter1,aereo,aereo da addestramento,6,0.84375,74.0
gpt3.5_iter1,aereo,aereo da trasporto militare,7,0.8125,68.0
gpt3.5_iter1,aereo,aereo da acrobazie,8,0.78125,2.0
gpt3.5_iter1,aereo,aereo da carico,9,0.75,40.0
gpt3.5_iter1,aereo,aereo da pattugliamento marittimo,10,0.71875,22.0
gpt3.5_iter1,aereo,aereo da ricognizione,11,0.6875,2070.0
gpt3.5_iter1,aereo,aereo da combattimento,12,0.65625,102.0
gpt3.5_iter1,aereo,aereo da bombardamento,13,0.625,30.0
gpt3.5_iter1,aereo,aereo da sorveglianza,14,0.59375,25.0
gpt3.5_iter1,aereo,aereo da trasporto vip,15,0.5625,6.0
gpt3.5_iter1,aereo,aereo da volo acrobatico,16,0.53125,1.0
gpt3.5_iter1,aereo,aereo da trasporto sanitario,17,0.5,0.0
gpt3.5_iter1,aereo,aereo da trasporto merci,18,0.46875,16.0
gpt3.5_iter1,aereo,aereo da trasporto passeggeri,19,0.4375,20.0
gpt3.5_iter1,aereo,aereo da trasporto a lungo raggio,20,0.40625,7.0
gpt3.5_iter1,aereo,aereo da trasporto regionale,21,0.375,7.0
gpt3.5_iter1,aereo,aereo da trasporto privato,22,0.34375,3.0
gpt3.5_iter1,aereo,aereo da trasporto militare strategico,23,0.3125,1.0
gpt3.5_iter1,aereo,aereo da trasporto militare tattico,24,0.28125,0.0
gpt3.5_iter1,aereo,aereo da trasporto anfibio,25,0.25,0.0
gpt3.5_iter1,aereo,aereo da trasporto anfib,32,0.03125,0.0
gpt3.5_iter2,agenda,giornaliera,1,1.0,25110.0
gpt3.5_iter2,agenda,settimanale,2,0.975,33902.0
gpt3.5_iter2,agenda,mensile,3,0.95,17128.0
gpt3.5_iter2,agenda,annuale,4,0.925,22089.0
gpt3.5_iter2,agenda,digitale,5,0.9,18961.0
