participant,concept,exemplar,rank_order,normed_rank_order,count,average_normed_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability
gpt3.5_iter0,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter1,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter3,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter4,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter0,scarpa,stivale,2,0.962962962962963,3,0.9731547149986867,0.6,2,2,0.0,0.18998206162743195,0.060155306233682246
gpt3.5_iter3,scarpa,stivale,2,0.9787234042553191,3,0.9731547149986867,0.6,2,2,0.0,0.18998206162743195,0.060155306233682246
gpt3.5_iter4,scarpa,stivale,2,0.9777777777777777,3,0.9731547149986867,0.6,2,2,0.0,0.18998206162743195,0.060155306233682246
gpt3.5_iter0,scarpa,sandalo,3,0.9259259259259259,4,0.9424906931876852,0.8,3,3,0.0,0.17265206671895184,0.080207074978243
gpt3.5_iter1,scarpa,sandalo,3,0.9310344827586207,4,0.9424906931876852,0.8,3,3,0.0,0.17265206671895184,0.080207074978243
gpt3.5_iter3,scarpa,sandalo,3,0.9574468085106383,4,0.9424906931876852,0.8,3,3,0.0,0.17265206671895184,0.080207074978243
gpt3.5_iter4,scarpa,sandalo,3,0.9555555555555556,4,0.9424906931876852,0.8,3,3,0.0,0.17265206671895184,0.080207074978243
gpt3.5_iter0,scarpa,mocassino,4,0.8888888888888888,4,0.899796201190185,0.8,4,5,0.0,0.058733997578074876,0.11137275819828088
gpt3.5_iter1,scarpa,mocassino,5,0.8620689655172413,4,0.899796201190185,0.8,4,5,0.0,0.058733997578074876,0.11137275819828088
gpt3.5_iter3,scarpa,mocassino,5,0.9148936170212766,4,0.899796201190185,0.8,4,5,0.0,0.058733997578074876,0.11137275819828088
gpt3.5_iter4,scarpa,mocassino,4,0.9333333333333333,4,0.899796201190185,0.8,4,5,0.0,0.058733997578074876,0.11137275819828088
gpt3.5_iter0,scarpa,décolleté,5,0.8518518518518519,3,0.8417887195094336,0.6,5,8,0.0,0.004084554682349675,0.12751823239161533
gpt3.5_iter1,scarpa,décolleté,8,0.7586206896551724,3,0.8417887195094336,0.6,5,8,0.0,0.004084554682349675,0.12751823239161533
gpt3.5_iter2,scarpa,décolleté,5,0.9148936170212766,3,0.8417887195094336,0.6,5,8,0.0,0.004084554682349675,0.12751823239161533
gpt3.5_iter0,scarpa,infradito,6,0.8148148148148149,5,0.8397869623108069,1.0,6,9,0.0,0.03727507750166484,0.1863293170919034
gpt3.5_iter1,scarpa,infradito,7,0.7931034482758621,5,0.8397869623108069,1.0,6,9,0.0,0.03727507750166484,0.1863293170919034
gpt3.5_iter2,scarpa,infradito,7,0.8723404255319149,5,0.8397869623108069,1.0,6,9,0.0,0.03727507750166484,0.1863293170919034
gpt3.5_iter3,scarpa,infradito,9,0.8297872340425532,5,0.8397869623108069,1.0,6,9,0.0,0.03727507750166484,0.1863293170919034
gpt3.5_iter4,scarpa,infradito,6,0.8888888888888888,5,0.8397869623108069,1.0,6,9,0.0,0.03727507750166484,0.1863293170919034
gpt3.5_iter0,scarpa,ciabatta,7,0.7777777777777778,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151
gpt3.5_iter1,scarpa,ciabatta,6,0.8275862068965517,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151
gpt3.5_iter3,scarpa,ciabatta,6,0.8936170212765957,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151
gpt3.5_iter4,scarpa,ciabatta,7,0.8666666666666667,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151
gpt3.5_iter0,scarpa,sabot,8,0.7407407407407407,5,0.7696725632455639,1.0,7,14,0.0,0.0131768397915214,0.23645991544309466
gpt3.5_iter1,scarpa,sabot,10,0.6896551724137931,5,0.7696725632455639,1.0,7,14,0.0,0.0131768397915214,0.23645991544309466
