participant,concept,exemplar,rank_order,normed_rank_order,count,average_normed_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,abs_freq
gpt3.5_iter0,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,8138
gpt3.5_iter1,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,8138
gpt3.5_iter3,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,8138
gpt3.5_iter4,scarpa,sneaker,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,8138
gpt3.5_iter0,scarpa,stivale,2,0.962962962962963,3,0.9731547149986868,0.6,2,2,0.0,0.1899820616274319,0.0601553062336822,44712
gpt3.5_iter3,scarpa,stivale,2,0.9787234042553192,3,0.9731547149986868,0.6,2,2,0.0,0.1899820616274319,0.0601553062336822,44712
gpt3.5_iter4,scarpa,stivale,2,0.9777777777777776,3,0.9731547149986868,0.6,2,2,0.0,0.1899820616274319,0.0601553062336822,44712
gpt3.5_iter0,scarpa,sandalo,3,0.925925925925926,4,0.9424906931876852,0.8,3,3,0.0,0.1726520667189518,0.080207074978243,63948
gpt3.5_iter1,scarpa,sandalo,3,0.9310344827586208,4,0.9424906931876852,0.8,3,3,0.0,0.1726520667189518,0.080207074978243,63948
gpt3.5_iter3,scarpa,sandalo,3,0.9574468085106383,4,0.9424906931876852,0.8,3,3,0.0,0.1726520667189518,0.080207074978243,63948
gpt3.5_iter4,scarpa,sandalo,3,0.9555555555555556,4,0.9424906931876852,0.8,3,3,0.0,0.1726520667189518,0.080207074978243,63948
gpt3.5_iter0,scarpa,mocassino,4,0.8888888888888888,4,0.899796201190185,0.8,4,5,0.0,0.0587339975780748,0.1113727581982808,20840
gpt3.5_iter1,scarpa,mocassino,5,0.8620689655172413,4,0.899796201190185,0.8,4,5,0.0,0.0587339975780748,0.1113727581982808,20840
gpt3.5_iter3,scarpa,mocassino,5,0.9148936170212766,4,0.899796201190185,0.8,4,5,0.0,0.0587339975780748,0.1113727581982808,20840
gpt3.5_iter4,scarpa,mocassino,4,0.9333333333333332,4,0.899796201190185,0.8,4,5,0.0,0.0587339975780748,0.1113727581982808,20840
gpt3.5_iter0,scarpa,décolleté,5,0.8518518518518519,3,0.8417887195094336,0.6,5,8,0.0,0.0040845546823496,0.1275182323916153,11726
gpt3.5_iter1,scarpa,décolleté,8,0.7586206896551724,3,0.8417887195094336,0.6,5,8,0.0,0.0040845546823496,0.1275182323916153,11726
gpt3.5_iter2,scarpa,décolleté,5,0.9148936170212766,3,0.8417887195094336,0.6,5,8,0.0,0.0040845546823496,0.1275182323916153,11726
gpt3.5_iter0,scarpa,infradito,6,0.8148148148148149,5,0.8397869623108069,1.0,6,9,0.0,0.0372750775016648,0.1863293170919034,14335
gpt3.5_iter1,scarpa,infradito,7,0.7931034482758621,5,0.8397869623108069,1.0,6,9,0.0,0.0372750775016648,0.1863293170919034,14335
gpt3.5_iter2,scarpa,infradito,7,0.8723404255319149,5,0.8397869623108069,1.0,6,9,0.0,0.0372750775016648,0.1863293170919034,14335
gpt3.5_iter3,scarpa,infradito,9,0.8297872340425532,5,0.8397869623108069,1.0,6,9,0.0,0.0372750775016648,0.1863293170919034,14335
gpt3.5_iter4,scarpa,infradito,6,0.8888888888888888,5,0.8397869623108069,1.0,6,9,0.0,0.0372750775016648,0.1863293170919034,14335
gpt3.5_iter0,scarpa,ciabatta,7,0.7777777777777778,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151,20013
gpt3.5_iter1,scarpa,ciabatta,6,0.8275862068965517,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151,20013
gpt3.5_iter3,scarpa,ciabatta,6,0.8936170212765957,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151,20013
gpt3.5_iter4,scarpa,ciabatta,7,0.8666666666666667,4,0.841411918154398,0.8,6,7,0.0,0.4836661794017181,0.8343263270072151,20013
gpt3.5_iter0,scarpa,sabot,8,0.7407407407407407,5,0.7696725632455639,1.0,7,14,0.0,0.0131768397915214,0.2364599154430946,2614
gpt3.5_iter1,scarpa,sabot,10,0.6896551724137931,5,0.7696725632455639,1.0,7,14,0.0,0.0131768397915214,0.2364599154430946,2614
gpt3.5_iter2,scarpa,sabot,14,0.7234042553191489,5,0.7696725632455639,1.0,7,14,0.0,0.0131768397915214,0.2364599154430946,2614
gpt3.5_iter3,scarpa,sabot,7,0.8723404255319149,5,0.7696725632455639,1.0,7,14,0.0,0.0131768397915214,0.2364599154430946,2614
gpt3.5_iter4,scarpa,sabot,9,0.8222222222222222,5,0.7696725632455639,1.0,7,14,0.0,0.0131768397915214,0.2364599154430946,2614
gpt3.5_iter0,scarpa,zoccolo,9,0.7037037037037037,4,0.7808374772424662,0.8,8,9,0.0,0.0027356034943575,0.0935651860283336,34012
gpt3.5_iter1,scarpa,zoccolo,9,0.7241379310344828,4,0.7808374772424662,0.8,8,9,0.0,0.0027356034943575,0.0935651860283336,34012
gpt3.5_iter3,scarpa,zoccolo,8,0.851063829787234,4,0.7808374772424662,0.8,8,9,0.0,0.0027356034943575,0.0935651860283336,34012
gpt3.5_iter4,scarpa,zoccolo,8,0.8444444444444444,4,0.7808374772424662,0.8,8,9,0.0,0.0027356034943575,0.0935651860283336,34012
gpt3.5_iter0,scarpa,ballerina,10,0.6666666666666667,4,0.8526249286704165,0.8,4,10,0.0,0.0496203246194078,0.2778342784454301,16896
gpt3.5_iter1,scarpa,ballerina,4,0.896551724137931,4,0.8526249286704165,0.8,4,10,0.0,0.0496203246194078,0.2778342784454301,16896
gpt3.5_iter3,scarpa,ballerina,4,0.9361702127659576,4,0.8526249286704165,0.8,4,10,0.0,0.0496203246194078,0.2778342784454301,16896
gpt3.5_iter4,scarpa,ballerina,5,0.9111111111111112,4,0.8526249286704165,0.8,4,10,0.0,0.0496203246194078,0.2778342784454301,16896
