participant,concept,exemplar,rank_order,normed_rank_order,count,average_normed_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability
gpt3.5_iter0,pennello,pittura,1,1.0,1,1.0,0.2,1,1,0.2,0.2,0.2
gpt3.5_iter0,pennello,trucco,2,0.9090909090909091,1,0.9090909090909091,0.2,2,2,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,vernice,3,0.8181818181818181,1,0.8181818181818181,0.2,3,3,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,acquerello,4,0.7272727272727273,1,0.7272727272727273,0.2,4,4,0.0,0.6000000000000001,0.11729104696064166
gpt3.5_iter0,pennello,smalto,5,0.6363636363636364,1,0.6363636363636364,0.2,5,5,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,eyeliner,6,0.5454545454545454,1,0.5454545454545454,0.2,6,6,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,fondotinta,7,0.4545454545454546,1,0.4545454545454546,0.2,7,7,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,ombretto,8,0.36363636363636365,1,0.36363636363636365,0.2,8,8,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,rossetto,9,0.2727272727272727,1,0.2727272727272727,0.2,9,9,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,mascara,10,0.18181818181818177,1,0.18181818181818177,0.2,10,10,0.0,0.2,0.02005176874456075
gpt3.5_iter0,pennello,pennello per unghie,11,0.09090909090909094,5,0.42123737373737374,1.0,7,11,0.0,0.015262296479031765,0.17555968132757763
gpt3.5_iter1,pennello,pennello per unghie,8,0.30000000000000004,5,0.42123737373737374,1.0,7,11,0.0,0.015262296479031765,0.17555968132757763
gpt3.5_iter2,pennello,pennello per unghie,7,0.6666666666666667,5,0.42123737373737374,1.0,7,11,0.0,0.015262296479031765,0.17555968132757763
gpt3.5_iter3,pennello,pennello per unghie,10,0.4375,5,0.42123737373737374,1.0,7,11,0.0,0.015262296479031765,0.17555968132757763
gpt3.5_iter4,pennello,pennello per unghie,8,0.6111111111111112,5,0.42123737373737374,1.0,7,11,0.0,0.015262296479031765,0.17555968132757763
gpt3.5_iter1,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter2,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter3,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter4,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8
gpt3.5_iter1,pennello,pennello tondo,2,0.9,4,0.9020833333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter2,pennello,pennello tondo,2,0.9444444444444444,4,0.9020833333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter3,pennello,pennello tondo,3,0.875,4,0.9020833333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter4,pennello,pennello tondo,3,0.8888888888888888,4,0.9020833333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter1,pennello,pennello a ventaglio,3,0.8,4,0.8927083333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter2,pennello,pennello a ventaglio,3,0.8888888888888888,4,0.8927083333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter3,pennello,pennello a ventaglio,2,0.9375,4,0.8927083333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter4,pennello,pennello a ventaglio,2,0.9444444444444444,4,0.8927083333333333,0.8,2,3,0.0,0.2721496415038405,0.16675824524074284
gpt3.5_iter1,pennello,pennello per acquerello,4,0.7,4,0.7670138888888889,0.8,4,6,0.0,0.06448278037758087,0.17099890058041464
gpt3.5_iter2,pennello,pennello per acquerello,6,0.7222222222222222,4,0.7670138888888889,0.8,4,6,0.0,0.06448278037758087,0.17099890058041464
gpt3.5_iter3,pennello,pennello per acquerello,4,0.8125,4,0.7670138888888889,0.8,4,6,0.0,0.06448278037758087,0.17099890058041464
gpt3.5_iter4,pennello,pennello per acquerello,4,0.8333333333333334,4,0.7670138888888889,0.8,4,6,0.0,0.06448278037758087,0.17099890058041464
gpt3.5_iter1,pennello,pennello per olio,5,0.6,3,0.7092592592592593,0.6,5,5,0.0,0.006031101446780152,0.060155306233682246
gpt3.5_iter3,pennello,pennello per olio,5,0.75,3,0.7092592592592593,0.6,5,5,0.0,0.006031101446780152,0.060155306233682246
gpt3.5_iter4,pennello,pennello per olio,5,0.7777777777777778,3,0.7092592592592593,0.6,5,5,0.0,0.006031101446780152,0.060155306233682246
gpt3.5_iter1,pennello,pennello per vernice,6,0.5,3,0.6134259259259259,0.6,5,8,0.0,0.0027107436927248916,0.11247032148816655
gpt3.5_iter2,pennello,pennello per vernice,5,0.7777777777777778,3,0.6134259259259259,0.6,5,8,0.0,0.0027107436927248916,0.11247032148816655
gpt3.5_iter3,pennello,pennello per vernice,8,0.5625,3,0.6134259259259259,0.6,5,8,0.0,0.0027107436927248916,0.11247032148816655
gpt3.5_iter1,pennello,pennello per trucco,7,0.4,4,0.6312500000000001,0.8,4,7,0.0,0.026082870191340903,0.12348266010949291
gpt3.5_iter2,pennello,pennello per trucco,4,0.8333333333333334,4,0.6312500000000001,0.8,4,7,0.0,0.026082870191340903,0.12348266010949291
gpt3.5_iter3,pennello,pennello per trucco,7,0.625,4,0.6312500000000001,0.8,4,7,0.0,0.026082870191340903,0.12348266010949291
gpt3.5_iter4,pennello,pennello per trucco,7,0.6666666666666667,4,0.6312500000000001,0.8,4,7,0.0,0.026082870191340903,0.12348266010949291
gpt3.5_iter1,pennello,pennello per barba,9,0.19999999999999996,3,0.3768518518518518,0.6,9,11,0.0,4.244177945456352e-05,0.08357873918732903
gpt3.5_iter3,pennello,pennello per barba,11,0.375,3,0.3768518518518518,0.6,9,11,0.0,4.244177945456352e-05,0.08357873918732903
gpt3.5_iter4,pennello,pennello per barba,9,0.5555555555555556,3,0.3768518518518518,0.6,9,11,0.0,4.244177945456352e-05,0.08357873918732903
gpt3.5_iter1,pennello,pennello per capelli,10,0.09999999999999998,2,0.20625,0.4,10,12,0.0,2.067654079244773e-10,0.05051435299720575
gpt3.5_iter3,pennello,pennello per capelli,12,0.3125,2,0.20625,0.4,10,12,0.0,2.067654079244773e-10,0.05051435299720575
gpt3.5_iter2,pennello,pennello per sfumature,8,0.6111111111111112,2,0.3888888888888889,0.4,8,16,0.0,2.0365207594147648e-08,0.08842518058081655
gpt3.5_iter4,pennello,pennello per sfumature,16,0.16666666666666663,2,0.3888888888888889,0.4,8,16,0.0,2.0365207594147648e-08,0.08842518058081655
gpt3.5_iter2,pennello,pennello per eyeliner,9,0.5555555555555556,1,0.5555555555555556,0.2,9,9,0.0,0.2,0.02005176874456075
gpt3.5_iter2,pennello,pennello per fondotinta,10,0.5,1,0.5,0.2,10,10,0.0,0.2,0.02005176874456075
gpt3.5_iter2,pennello,pennello per polvere,11,0.4444444444444444,1,0.4444444444444444,0.2,11,11,0.0,0.2,0.02005176874456075
