participant,concept,exemplar,rank_order,normed_rank_order,count,average_normed_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,abs_freq
gpt3.5_iter0,pennello,pittura,1,1.0,1,1.0,0.2,1,1,0.2,0.2,0.2,20799
gpt3.5_iter0,pennello,trucco,2,0.9090909090909092,1,0.9090909090909092,0.2,2,2,0.0,0.2,0.0200517687445607,24649
gpt3.5_iter0,pennello,vernice,3,0.8181818181818181,1,0.8181818181818181,0.2,3,3,0.0,0.2,0.0200517687445607,38356
gpt3.5_iter0,pennello,acquerello,4,0.7272727272727273,1,0.7272727272727273,0.2,4,4,0.0,0.6000000000000001,0.1172910469606416,15382
gpt3.5_iter0,pennello,smalto,5,0.6363636363636364,1,0.6363636363636364,0.2,5,5,0.0,0.2,0.0200517687445607,33178
gpt3.5_iter0,pennello,eyeliner,6,0.5454545454545454,1,0.5454545454545454,0.2,6,6,0.0,0.2,0.0200517687445607,14285
gpt3.5_iter0,pennello,fondotinta,7,0.4545454545454546,1,0.4545454545454546,0.2,7,7,0.0,0.2,0.0200517687445607,18976
gpt3.5_iter0,pennello,ombretto,8,0.3636363636363636,1,0.3636363636363636,0.2,8,8,0.0,0.2,0.0200517687445607,18007
gpt3.5_iter0,pennello,rossetto,9,0.2727272727272727,1,0.2727272727272727,0.2,9,9,0.0,0.2,0.0200517687445607,21889
gpt3.5_iter0,pennello,mascara,10,0.1818181818181817,1,0.1818181818181817,0.2,10,10,0.0,0.2,0.0200517687445607,22515
gpt3.5_iter0,pennello,pennello per unghie,11,0.0909090909090909,5,0.4212373737373737,1.0,7,11,0.0,0.0152622964790317,0.1755596813275776,14
gpt3.5_iter1,pennello,pennello per unghie,8,0.3,5,0.4212373737373737,1.0,7,11,0.0,0.0152622964790317,0.1755596813275776,14
gpt3.5_iter2,pennello,pennello per unghie,7,0.6666666666666667,5,0.4212373737373737,1.0,7,11,0.0,0.0152622964790317,0.1755596813275776,14
gpt3.5_iter3,pennello,pennello per unghie,10,0.4375,5,0.4212373737373737,1.0,7,11,0.0,0.0152622964790317,0.1755596813275776,14
gpt3.5_iter4,pennello,pennello per unghie,8,0.6111111111111112,5,0.4212373737373737,1.0,7,11,0.0,0.0152622964790317,0.1755596813275776,14
gpt3.5_iter1,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,1137
gpt3.5_iter2,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,1137
gpt3.5_iter3,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,1137
gpt3.5_iter4,pennello,pennello piatto,1,1.0,4,1.0,0.8,1,1,0.8,0.8,0.8,1137
gpt3.5_iter1,pennello,pennello tondo,2,0.9,4,0.9020833333333332,0.8,2,3,0.0,0.2721496415038405,0.1667582452407428,249
