participant,category,concept,concept_eng,exemplar,rank,abs_freq
iter1,PLANTS,abete,fir,albero,1,17569.0
iter1,PLANTS,abete,fir,arbusto,2,14939.0
iter1,PLANTS,abete,fir,cespuglio,3,12131.0
iter1,PLANTS,abete,fir,piante,4,25266.0
iter1,PLANTS,abete,fir,arbore,5,11703.0
iter1,PLANTS,abete,fir,albero da frullo,6,0.0
iter1,PLANTS,abete,fir,albero da frutto,7,353.0
iter1,PLANTS,abete,fir,albero da legno,8,26.0
iter1,PLANTS,abete,fir,albero da gomma,9,21.0
iter1,PLANTS,abete,fir,albero da silicone,10,0.0
iter1,PLANTS,abete,fir,albero da resina,11,3.0
iter1,PLANTS,abete,fir,albero da olio,12,3.0
iter1,PLANTS,abete,fir,albero da olio extravergine,13,0.0
iter1,PLANTS,abete,fir,albero da olio di oliva,14,0.0
iter1,PLANTS,abete,fir,albero da olio di palma,15,0.0
iter1,PLANTS,abete,fir,albero da olio di palma extravergine,16,0.0
iter1,PLANTS,abete,fir,albero da olio di palma extra,17,0.0
iter1,PLANTS,abete,fir,albero da olio di palma extraver,18,0.0
iter1,VEHICLES,aereo,plane,aereo,1,962449.0
iter1,VEHICLES,aereo,plane,aereoplano,2,1547.0
iter1,VEHICLES,aereo,plane,aereo nero,3,38.0
iter1,VEHICLES,aereo,plane,aereo militare,4,91.0
iter1,VEHICLES,aereo,plane,aereo civile,5,51.0
iter1,VEHICLES,aereo,plane,aereo da combattimento,6,51.0
iter1,VEHICLES,aereo,plane,aereo da trasporto,7,35.0
iter1,VEHICLES,aereo,plane,aereo da ricognizione,8,1035.0
iter1,VEHICLES,aereo,plane,aereo da addestramento,9,37.0
iter1,VEHICLES,aereo,plane,aereo da caccia,10,31.0
iter1,VEHICLES,aereo,plane,aereo da trasporto militare,11,34.0
iter1,VEHICLES,aereo,plane,aereo da trasporto civile,12,48.0
iter1,VEHICLES,aereo,plane,aereo da addestramento militare,13,9.0
iter1,VEHICLES,aereo,plane,aereo da addestramento civile,14,2.0
iter1,VEHICLES,aereo,plane,aereo da caccia militare,15,5.0
iter1,VEHICLES,aereo,plane,aereo da caccia civile,16,0.0
iter1,VEHICLES,aereo,plane,aereo da ricognizione militare,17,0.0
iter1,VEHICLES,aereo,plane,aereo da,18,28.0
iter1,STATIONERY,agenda,diary,agenda giornaliera,1,387.0
iter1,STATIONERY,agenda,diary,agenda settimanale,2,26.0
iter1,STATIONERY,agenda,diary,agenda mensile,3,65.0
iter1,STATIONERY,agenda,diary,agenda annuale,4,103.0
iter1,STATIONERY,agenda,diary,agenda di lavoro,5,23.0
iter1,STATIONERY,agenda,diary,agenda di studio,6,35.0
iter1,STATIONERY,agenda,diary,agenda di viaggio,7,23.0
iter1,STATIONERY,agenda,diary,agenda di vacanza,8,3.0
iter1,STATIONERY,agenda,diary,agenda di eventi,9,22.0
iter1,STATIONERY,agenda,diary,agenda di riunioni,10,4.0
iter1,STATIONERY,agenda,diary,agenda di appuntamenti,11,20.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di lavoro,12,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di studio,13,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di eventi,14,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di viaggio,15,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di vacanza,16,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di eventi di lavoro,17,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di eventi di studio,18,0.0
iter1,STATIONERY,agenda,diary,agenda di riunioni di eventi di viaggio,19,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,scarpe,1,459506.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calze,2,24821.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,pantaloni,3,24566.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,camicie,4,27358.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,magliette,5,22472.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,gonne,6,25421.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,pantaloncini,7,24465.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini,8,26716.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da bagno,9,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da ginnastica,10,6.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da sport,11,1.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da lavoro,12,7.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da corsa,13,23.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da tennis,14,20.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da pallavolo,15,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da calcio,16,4.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da golf,17,5.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da squash,18,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da vela,19,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da sci,20,11.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da snowboard,21,0.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini da surf,22,0.0
iter1,FURNITURE,armadio,closet,armadio,1,21279.0
iter1,FURNITURE,armadio,closet,armadio a serratura,2,0.0
iter1,FURNITURE,armadio,closet,armadio a chiave,3,15.0
iter1,FURNITURE,armadio,closet,armadio a serratura a chiave,4,0.0
iter1,FURNITURE,armadio,closet,armadio a serratura a chiave e a manovra,5,0.0
iter1,FURNITURE,armadio,closet,armadio a serratura a chiave e a manovra elettrico,6,0.0
iter1,FURNITURE,armadio,closet,armadio a serratura a chiave e a manovra elettrico e con raccoglitore,7,0.0
iter1,FURNITURE,armadio,closet,armadio a serratura a chiave e a manovra elettrico e con raccoglitore e con raccoglitore interno,8,0.0
iter1,FURNITURE,armadio,closet,armadio a serratura a chiave e a manovra elettrico e con raccoglitore interno e con,9,0.0
iter1,STATIONERY,astuccio,case,radiator,1,695.0
iter1,STATIONERY,astuccio,case,calorifora,2,0.0
iter1,STATIONERY,astuccio,case,stufa,3,16319.0
iter1,STATIONERY,astuccio,case,fornace,4,17263.0
iter1,STATIONERY,astuccio,case,riscaldamento,5,20586.0
iter1,STATIONERY,astuccio,case,riscaldamento elettrico,6,42.0
iter1,STATIONERY,astuccio,case,riscaldamento a gas,7,31.0
iter1,STATIONERY,astuccio,case,riscaldamento a biomassa,8,27.0
iter1,STATIONERY,astuccio,case,riscaldamento a legna,9,20.0
iter1,STATIONERY,astuccio,case,riscaldamento a pellet,10,33.0
