participant,category,concept,concept_eng,exemplar,rank,abs_freq
iter1,PLANTS,abete,fir,pino,1,83720.0
iter1,PLANTS,abete,fir,cedro,2,23542.0
iter1,PLANTS,abete,fir,faggio,3,28184.0
iter1,PLANTS,abete,fir,abete,4,36428.0
iter1,PLANTS,abete,fir,larice,5,39082.0
iter1,PLANTS,abete,fir,pino d'aleppo,6,0.0
iter1,PLANTS,abete,fir,pino silvestre,7,1018.0
iter1,PLANTS,abete,fir,pino nero,8,210.0
iter1,PLANTS,abete,fir,pino mugo,9,1730.0
iter1,PLANTS,abete,fir,pino pino,10,108.0
iter1,PLANTS,abete,fir,pino cicladico,11,0.0
iter1,PLANTS,abete,fir,pino d'italia,12,0.0
iter1,PLANTS,abete,fir,pino d'africa,13,0.0
iter1,PLANTS,abete,fir,pino d'inghilterra,14,0.0
iter1,PLANTS,abete,fir,pino d'arabia,15,0.0
iter1,PLANTS,abete,fir,pino d'argentina,16,0.0
iter1,PLANTS,abete,fir,pino d'austria,17,0.0
iter1,PLANTS,abete,fir,pino d'australia,18,0.0
iter1,PLANTS,abete,fir,pino d'azerbaigian,19,0.0
iter1,PLANTS,abete,fir,pino d,20,77.0
iter1,VEHICLES,aereo,plane,aereoplano,1,3094.0
iter1,VEHICLES,aereo,plane,elicottero,2,30198.0
iter1,VEHICLES,aereo,plane,aereo,3,1924898.0
iter1,VEHICLES,aereo,plane,aereo con eliche,4,2.0
iter1,STATIONERY,agenda,diary,calendario,1,30666.0
iter1,STATIONERY,agenda,diary,agenda digitale,2,1132.0
iter1,STATIONERY,agenda,diary,agenda quadripartita,3,0.0
iter1,STATIONERY,agenda,diary,agenda di lavoro,4,46.0
iter1,STATIONERY,agenda,diary,agenda di viaggio,5,46.0
iter1,STATIONERY,agenda,diary,agenda di famiglia,6,12.0
iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,appendiabiti,1,11382.0
iter1,FURNITURE,armadio,closet,armadio aperta,1,25.0
iter1,FURNITURE,armadio,closet,armadio chiuso,2,568.0
iter1,FURNITURE,armadio,closet,armadio con divise,3,0.0
iter1,FURNITURE,armadio,closet,armadio con vestiti,4,13.0
iter1,FURNITURE,armadio,closet,armadio con stoffe,5,0.0
iter1,FURNITURE,armadio,closet,armadio con scarpe,6,1.0
iter1,FURNITURE,armadio,closet,armadio con indumenti,7,1.0
iter1,FURNITURE,armadio,closet,armadio con accessori,8,3.0
iter1,STATIONERY,astuccio,case,suitcase grande con ruote e manico,1,0.0
iter1,STATIONERY,astuccio,case,suitcase medio con ruote e manico,2,0.0
iter1,STATIONERY,astuccio,case,suitcase piccolo con ruote e manico,3,0.0
iter1,STATIONERY,astuccio,case,suitcase mini con ruote e manico,4,0.0
iter1,STATIONERY,astuccio,case,suitcase portatile con ruote e manico,5,0.0
iter1,STATIONERY,astuccio,case,suitcase dalle stelle,6,0.0
iter1,HOBBIES,attrezzo,tool,pattino,1,22273.0
iter1,HOBBIES,attrezzo,tool,pole,2,27537.0
iter1,HOBBIES,attrezzo,tool,spade,3,23761.0
iter1,HOBBIES,attrezzo,tool,tennis racket,4,3.0
iter1,HOBBIES,attrezzo,tool,trapezio,5,15993.0
iter1,HOBBIES,attrezzo,tool,racchetta,6,43336.0
iter1,HOBBIES,attrezzo,tool,pattino da danza,7,0.0
iter1,HOBBIES,attrezzo,tool,pattino da ghiaccio,8,36.0
iter1,HOBBIES,attrezzo,tool,pattino da pattinaggio,9,8.0
