,participant,category,concept,concept_eng,exemplar,rank,abs_freq
0,iter1,PLANTS,abete,fir,acacia,1,17402.0
1,iter1,PLANTS,abete,fir,aratro,2,14317.0
2,iter1,PLANTS,abete,fir,bambù,3,15842.0
3,iter1,PLANTS,abete,fir,biace,4,18.0
4,iter1,PLANTS,abete,fir,biella,5,32841.0
5,iter1,PLANTS,abete,fir,butano,6,2463.0
6,iter1,PLANTS,abete,fir,canfora,7,13312.0
7,iter1,PLANTS,abete,fir,canna,8,12407.0
8,iter1,PLANTS,abete,fir,cannella,9,17275.0
9,iter1,PLANTS,abete,fir,carbone,10,22664.0
10,iter1,PLANTS,abete,fir,castanha,11,35.0
11,iter1,PLANTS,abete,fir,chiodo,12,16845.0
12,iter1,PLANTS,abete,fir,cipresso,13,17231.0
13,iter1,PLANTS,abete,fir,cisalpino,14,1610.0
14,iter1,PLANTS,abete,fir,città,15,14305.0
15,iter1,PLANTS,abete,fir,coniglio,16,14407.0
16,iter1,PLANTS,abete,fir,cotonico,17,0.0
17,iter1,PLANTS,abete,fir,cucce,18,6532.0
18,iter1,PLANTS,abete,fir,cucchiaro,19,263.0
19,iter1,PLANTS,abete,fir,dei,20,25188.0
20,iter1,PLANTS,abete,fir,denim,21,14943.0
21,iter1,PLANTS,abete,fir,diavolo,22,20826.0
22,iter1,PLANTS,abete,fir,diavolo nero,23,229.0
23,iter1,PLANTS,abete,fir,dio,24,26498.0
24,iter1,PLANTS,abete,fir,edelweiss,25,3276.0
25,iter1,PLANTS,abete,fir,elmeto,26,3.0
26,iter1,PLANTS,abete,fir,euromilioniario,27,0.0
27,iter1,PLANTS,abete,fir,euronote,28,9.0
28,iter1,PLANTS,abete,fir,eurostampa,29,47.0
29,iter1,PLANTS,abete,fir,eurotreno,30,1.0
30,iter1,PLANTS,abete,fir,esame,31,18220.0
31,iter1,PLANTS,abete,fir,essi,32,17046.0
32,iter1,PLANTS,abete,fir,,33,0.0
33,iter1,VEHICLES,aereo,plane,volo,1,21523.0
34,iter1,VEHICLES,aereo,plane,aereo,2,962449.0
35,iter1,VEHICLES,aereo,plane,drone,3,21592.0
36,iter1,VEHICLES,aereo,plane,palloncino,4,20071.0
37,iter1,VEHICLES,aereo,plane,helicottero,5,2.0
38,iter1,VEHICLES,aereo,plane,jet,6,16758.0
39,iter1,VEHICLES,aereo,plane,airplane,7,2733.0
40,iter1,STATIONERY,agenda,diary,elenco dell'utilizzatore,1,0.0
41,iter1,STATIONERY,agenda,diary,lista di appuntamenti,2,21.0
42,iter1,STATIONERY,agenda,diary,programma di lavoro,3,63.0
43,iter1,STATIONERY,agenda,diary,pianificazione quotidiana,4,61.0
44,iter1,STATIONERY,agenda,diary,elenco giornaliero,5,56.0
45,iter1,STATIONERY,agenda,diary,calendario scolastico,6,194.0
46,iter1,STATIONERY,agenda,diary,elenco delle prove scolastiche,7,0.0
47,iter1,STATIONERY,agenda,diary,calendario di lavori,8,22.0
48,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calze,1,24821.0
49,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,mitelli,2,921.0
50,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,scarpe,3,459506.0
51,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,borselline,4,1.0
52,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,calzini,5,26716.0
53,iter1,FURNISHINGS/FITTINGS,appendiabiti,clothes hanger,lenzuoli,6,3093.0
54,iter1,FURNITURE,armadio,closet,armario,1,322.0
55,iter1,FURNITURE,armadio,closet,cassaforte,2,11085.0
56,iter1,FURNITURE,armadio,closet,armadio libri,3,8.0
57,iter1,FURNITURE,armadio,closet,armadio scarpe,4,10.0
58,iter1,FURNITURE,armadio,closet,armadio tè,5,0.0
59,iter1,FURNITURE,armadio,closet,armadio vestiti,6,32.0
60,iter1,STATIONERY,astuccio,case,radiatorio,1,1.0
61,iter1,STATIONERY,astuccio,case,forniaio,2,0.0
62,iter1,STATIONERY,astuccio,case,asciugatori,3,271.0
