participant,category,concept,concept_eng,exemplar,rank,abs_freq
iter1,PLANTS,abete,fir,abete bianco,1,224.0
iter1,PLANTS,abete,fir,abete rosso,2,15104.0
iter1,PLANTS,abete,fir,abete nero,3,104.0
iter1,PLANTS,abete,fir,abete gigante,4,102.0
iter1,PLANTS,abete,fir,abete rosso del nord,5,48.0
iter1,PLANTS,abete,fir,abete bianco americano,6,12.0
iter1,PLANTS,abete,fir,abete bianco di colorado,7,0.0
iter1,PLANTS,abete,fir,abete bianco di scozia,8,0.0
iter1,PLANTS,abete,fir,abete rosso di nord america,9,0.0
iter1,PLANTS,abete,fir,abete rosso di scozia,10,0.0
iter1,PLANTS,abete,fir,abete rosso di norvegia,11,0.0
iter1,PLANTS,abete,fir,abete rosso di russia,12,0.0
iter1,PLANTS,abete,fir,abete rosso di cina,13,0.0
iter1,PLANTS,abete,fir,abete rosso di corea,14,0.0
iter1,PLANTS,abete,fir,abete rosso di giappone,15,0.0
iter1,PLANTS,abete,fir,abete rosso di mongolia,16,0.0
iter1,PLANTS,abete,fir,abete rosso di alaska,17,0.0
iter1,VEHICLES,aereo,plane,aereo commerciale,1,43.0
iter1,VEHICLES,aereo,plane,aereo militare,2,182.0
iter1,VEHICLES,aereo,plane,aereo da addestramento,3,74.0
iter1,VEHICLES,aereo,plane,aereo da ricognizione,4,2070.0
iter1,VEHICLES,aereo,plane,aereo da cargo,5,16.0
iter1,VEHICLES,aereo,plane,aereo da turismo,6,44.0
iter1,VEHICLES,aereo,plane,aereo da alta quota,7,22.0
iter1,VEHICLES,aereo,plane,aereo sperimentale,8,580.0
iter1,VEHICLES,aereo,plane,aereo idrovolante,9,52.0
iter1,VEHICLES,aereo,plane,aereo a elicotteri rotanti,10,0.0
iter1,VEHICLES,aereo,plane,aereo a ala fissa,11,2.0
iter1,VEHICLES,aereo,plane,aereo a ala volante,12,0.0
iter1,VEHICLES,aereo,plane,aereo a elica,13,394.0
iter1,VEHICLES,aereo,plane,aereo a reazione,14,44.0
iter1,VEHICLES,aereo,plane,aereo a razzo,15,40.0
iter1,STATIONERY,agenda,diary,calendario digitale,1,140.0
iter1,STATIONERY,agenda,diary,calendario da tasca,2,10.0
iter1,STATIONERY,agenda,diary,calendario da tavolo,3,74.0
iter1,STATIONERY,agenda,diary,calendario da murale,4,0.0
iter1,STATIONERY,agenda,diary,calendario da desktop,5,7.0
iter1,STATIONERY,agenda,diary,calendario ical,6,28.0
iter1,STATIONERY,agenda,diary,calendario paperback,7,0.0
iter1,STATIONERY,agenda,diary,calendario per anno,8,16.0
