exemplar,abs_freq,rel_freq
terrazzo a giardino medievale,0,0.0
centro di massa del sistema universale,0,0.0
t-shirt con maniche blu,0,0.0
milza,21089,1.45
topofero,0,0.0
scriviin,0,0.0
vite di fibra di carbonio,0,0.0
gatto sokolka,0,0.0
cassettiera per giornali e riviste e libri,0,0.0
minibus,11863,0.82
bocche di pesce,9,0.0
aroma base per olio,0,0.0
finestra di servizio,22,0.0
matita a grafite a gomma a punta superfine,0,0.0
quercia nera,58,0.0
vetrine per piatti,0,0.0
il boss,139,0.01
tigrillino,0,0.0
fusiformi,744,0.05
edera di lana,0,0.0
sedia a piano alto,0,0.0
motocicletta da rally raid,1,0.0
mano di un essere mitologico,0,0.0
fotocronaca,462,0.03
lenzuoli,3093,0.21
agenda di eventi,22,0.0
sandali da beach,0,0.0
sciarpa di lana tessuta grezza,0,0.0
pizza di pesce,2,0.0
figo con gocce rosse arancio,0,0.0
gambarotta,1784,0.12
canottiera da canoa da canoeismo di maratona di velocità,0,0.0
piatto di risparmio,2,0.0
oleodipunto,0,0.0
cornice di laboratorio,4,0.0
olio d'oliva di olivo di olivo vergine,0,0.0
morella ro,0,0.0
candelabro di carta,0,0.0
cioccolato al limone,20,0.0
porta in ingresso,25,0.0
gommide di salice,0,0.0
maglia di fila,0,0.0
abete di vino rosso,0,0.0
maiale bagnato,0,0.0
pi,30947,2.13
sovrapposta,8062,0.56
girasole a volpi,0,0.0
lasagne,18397,1.27
testa di maiale cucciolo,0,0.0
pasticcino,14921,1.03
rotelloni,5,0.0
bambù,15842,1.09
smart mirror,36,0.0
di francese,86,0.01
edera africana,0,0.0
locomotiva 020,0,0.0
cervello di rettiliano,0,0.0
latte con,179,0.01
pane farina,30,0.0
insalata di pomodori,20,0.0
topo di deserto,0,0.0
cavallo di corrida,0,0.0
candelabro a colonne,0,0.0
bocca aperta,847,0.06
terrazzo a strisce,0,0.0
tulipano giallo,263,0.02
spaghetti,16684,1.15
salice semplice,0,0.0
cornice in ghisa,7,0.0
canotta da bagno,0,0.0
gelsomino,15031,1.04
muratura a vista con metallo,0,0.0
danciarino,0,0.0
terrazzo a tavolato,0,0.0
animale,11096,0.76
prova evidente,35,0.0
divano estra-sofa,0,0.0
pentola,14077,0.97
segale,18222,1.26
pipistrello,19231,1.32
giubbino da paracadutismo,0,0.0
risotto di riso rosso integrale,0,0.0
mais in grano,18,0.0
orologio da giard,0,0.0
maiale nero di messico,0,0.0
pennello da oli,0,0.0
balcone scoprito,0,0.0
broccolo,6987,0.48
mais in sacco di plastica,0,0.0
carte di telefono landline,0,0.0
"comò di pioggia, neve e vento",0,0.0
colla di tapioca,0,0.0
zona ripostiglio,41,0.0
mimosa gialla,22,0.0
fan,20029,1.38
quadro di registro,0,0.0
tè,14939,1.03
