category,concept,human,llama-3.1-70b,llama-3.1-70b-order_match,llama-3.1-70b-simple_match,llama-3.1-8b,llama-3.1-8b-order_match,llama-3.1-8b-simple_match,llama-3.2-3b,llama-3.2-3b-order_match,llama-3.2-3b-simple_match,mistral-7b,mistral-7b-order_match,mistral-7b-simple_match,mixtral-8x7b,mixtral-8x7b-order_match,mixtral-8x7b-simple_match,nemo-12b,nemo-12b-order_match,nemo-12b-simple_match,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-order_match,llava-v1.6-mistral-7b-simple_match,llava-v1.6-mistral-7b-img,llava-v1.6-mistral-7b-img-order_match,llava-v1.6-mistral-7b-img-simple_match,idefics2-8b,idefics2-8b-order_match,idefics2-8b-simple_match,idefics2-8b-img,idefics2-8b-img-order_match,idefics2-8b-img-simple_match
plants,abete,rosso,bianco,0,1,rosso,1,1,di montagna,0,0,bianco,0,1,bianco,0,1,rosso,1,1,albero,0,1,pino,0,0,acacia,0,0,rosso,1,1
plants,abete,bianco,balsamico,0,0,bianco,1,1,di foresta,0,0,rosso,0,1,di douglas,0,0,bianco,1,1,arbusto,0,0,pino d'alpe,0,0,acer,0,0,rosso del nord,0,0
plants,abete,di natale,di douglas,0,0,nero,0,0,di piantagione,0,0,nero,0,0,di spagna,0,0,argentato,0,0,cespuglio,0,0,pino nobile,0,0,birch,0,0,rosso del nord occidentale,0,0
plants,abete,albero,rosso,0,1,fuso,0,0,di giardino,0,0,gigante,0,0,del caucaso,0,0,dei boschi,0,0,piante,0,0,pino silvestre,0,0,cedar,0,0,rosso del nord orientale,0,0
vehicles,aereo,militare,da trasporto,0,0,da carico,0,0,da passeggeri,0,0,commerciale,0,0,da combattimento,0,0,di linea,0,1,aereoplano,0,0,con ali,0,0,aeroplano,0,0,elicottero,0,0
vehicles,aereo,di linea,da combattimento,0,0,da trasporto,0,0,da trasporto,0,0,militare,0,1,da trasporto,0,0,da guerra,0,0,nero,0,0,con elica,0,0,elicottero,0,0,aeroplano,0,0
vehicles,aereo,jet,da addestramento,0,0,da combattimento,0,0,da combattimento,0,0,da addestramento,0,0,da turismo,0,0,da trasporto,0,0,militare,0,1,con elica e ali,0,0,aerostato,0,0,dirigibile,0,0
vehicles,aereo,passeggeri,da ricognizione,0,0,da turismo,0,0,da ricognizione,0,0,da ricognizione,0,0,da addestramento,0,0,da caccia,0,0,civile,0,0,con ali e motore,0,0,aerostato dirigibile,0,0,drone,0,0
vehicles,aereo,caccia,da trasporto militare,0,0,da trasporto di linea,0,0,da addestramento,0,0,da sorveglianza,0,0,da caccia,0,0,da ricognizione,0,0,da turismo,0,0,con ali e motore a elica,0,0,aerostato non dirigibile,0,0,glider,0,0
stationery,agenda,mensile,scolastica,0,0,cartacea,0,0,calendario,0,0,calendario digitale,0,0,elettronica,0,0,cartacea,0,0,calendario,0,0,calendario,0,0,calendario,0,0,calendario,0,0
stationery,agenda,settimanale,settimanale,1,1,digitale,0,0,piano,0,0,calendario da tasca,0,0,di carta,0,0,elettronica,0,0,calendario digitale,0,0,diario,0,0,diario,0,0,diario,0,0
stationery,agenda,giornaliera,mensile,0,1,calendario,0,0,elenco,0,0,calendario da tavolo,0,0,digitale,0,0,online,0,0,calendario di lavoro,0,0,digitale,0,0,organizzatore,0,0,,0,0
stationery,agenda,annuale,annuale,1,1,orologio,0,0,tabella,0,0,calendario da murale,0,0,settimanale,0,1,a spirale,0,0,calendario di appuntamenti,0,0,di lavoro,0,0,calendario digitale,0,0,,0,0
stationery,agenda,tascabile,digitale,0,0,planner,0,0,elenco di attività,0,0,calendario da desktop,0,0,mensile,0,1,a quaderni,0,0,calendario di eventi,0,0,personalizzata,0,0,calendario online,0,0,,0,0
furnishings/fittings,appendiabiti,da parete,gruccia,0,0,a stendibiancheria,0,0,cassettone,0,0,vestaglia,0,0,gancio appendiabiti,0,0,a parete,0,0,scarpe,0,0,hangar,0,0,jeans,0,0,camisa,0,0
furnishings/fittings,appendiabiti,da terra,attaccapanni,0,0,a parete,0,0,cassettiera,0,0,cintura per cintura,0,0,portaombrelli,0,0,a piantana,0,0,calze,0,0,pannello,0,0,pantaloni,0,0,pantaloni,0,0
furnishings/fittings,appendiabiti,da muro,a muro,0,0,a muro,0,0,cassettiera a muro,0,0,cintura per pantaloni,0,0,attaccapanni a muro,0,0,da viaggio,0,0,pantaloni,0,0,tavolo,0,0,camise,0,0,giacca,0,0
furnishings/fittings,appendiabiti,a rastrelliera,a stanga,0,0,a soffitto,0,0,cassettiera a tenda,0,0,cintura per camicie,0,0,attaccapanni da parete,0,0,da porta,0,0,camicie,0,0,tavolo di legno,0,0,giacche,0,0,jeans,0,0
furniture,armadio,a muro,a muro,1,1,a muro,1,1,a muro,1,1,a porta rovescia,0,0,a due ante,0,1,a muro,1,1,a scomparsa,0,0,aperto,0,0,armario,0,0,scaffale,0,0
furniture,armadio,scorrevole,scorrevole,1,1,a tre ante,0,0,a cassettone,0,0,arredo a parete,0,0,a una ante,0,0,guardaroba,0,0,a vista,0,0,chiuso,0,0,scaffale,0,0,scaffale mobile,0,0
furniture,armadio,a due ante,a ponte,0,0,a due ante,1,1,a stile,0,0,armatura a cassettone,0,0,angolare,0,0,a ponte,0,0,a vista aperto,0,0,aperto con porte aperte,0,0,scaffale per biciclette,0,0,scaffale per biancheria,0,0
furniture,armadio,a battente,a giorno,0,0,a quattro ante,0,0,a vetro,0,0,armatura a stivali,0,0,a muro,0,1,a cassetti,0,0,a vista chiuso,0,0,aperto con porte chiuse,0,0,scaffale per scarpe,0,0,scaffale per abbigliamento,0,0
furniture,armadio,in legno,a specchio,0,0,a cassettone,0,0,a porta,0,0,armatura a scomposte,0,0,a quattro ante,0,0,a colonna,0,0,a vista chiuso con chiave,0,0,aperto con porte aperte e contenuto,0,0,scaffale per abbigliamento,0,0,scaffale per scarpe,0,0
stationery,astuccio,rigido,per occhiali,0,0,borsa,0,0,cappello,0,0,tazza,0,0,per matite,0,0,per matite,0,0,fornace,0,0,a mano,0,0,per caffè,0,0,valigia,0,0
stationery,astuccio,portapenne,per penna,0,0,cartellino,0,0,guanti,0,0,coppa,0,0,per penne,0,0,per penne,0,0,radiatore,0,0,elettrico,0,0,per tè,0,0,valigia a mano,0,0
stationery,astuccio,per la scuola,per trucco,0,0,cassetta,0,0,guanti da lavoro,0,0,calice,0,0,per colori,0,0,per pennarelli,0,0,stufa,0,0,a vapore,0,0,per caffè e tè,0,0,valigia a due mani,0,0
stationery,astuccio,portaocchiali,per strumenti musicali,0,0,cassetta di metallo,0,0,guanti da neve,0,0,bicchierino,0,0,per trucchi,0,0,per colori,0,0,caldaia,0,0,a vapore elettrico,0,0,per caffè e tè e cioccolata,0,0,valigia a ruote,0,0
stationery,astuccio,a bustina,per pistola,0,0,cassetta di plastica,0,0,guanti da sci,0,0,ciotola,0,0,per matite colorate,0,0,per strumenti da disegno,0,0,riscaldamento,0,0,a vapore elettrico con funzione di riscaldamento,0,0,,0,0,valigia a ruote a mano,0,0
hobbies,attrezzo,martello,martello,1,1,martello,1,1,forbici,0,0,martello,1,1,cacciavite,0,1,martello,1,1,pala,0,0,da lavoro,0,0,scopa,0,0,martello,1,1
hobbies,attrezzo,cacciavite,cacciavite,1,1,sega,0,0,forbici da cucito,0,0,scala,0,0,martello,0,1,chiave inglese,0,1,raccapo,0,0,da giardinaggio,0,0,spugna,0,0,scopa,0,0
hobbies,attrezzo,chiave inglese,pinza,0,0,trapano,0,1,forbici da giardinaggio,0,0,chiavetta,0,0,pinza,0,0,cacciavite,0,1,scopa,0,0,da cucina,0,1,spugna per lavaggio,0,0,sciabola,0,0
hobbies,attrezzo,da cucina,tenaglia,0,0,scalpello,0,0,forbici da pesca,0,0,ruota spia,0,0,chiave inglese,0,1,pinza,0,0,spazzola,0,0,da pesca,0,0,spugna per pulitura,0,0,scovolatore,0,0
hobbies,attrezzo,trapano,scalpello,0,0,cesoie,0,0,forbici da cucina,0,0,pinzette,0,0,lima,0,0,forbice,0,0,tazza,0,0,da gioco,0,0,spugna per pulit,0,0,,0,0
vehicles,autobus,a due piani,a due piani,1,1,filobus,0,0,urbano,0,0,urbano,0,0,urbano,0,0,urbano,0,0,bus,0,0,bus,0,0,pullman,0,1,pullman,0,1
vehicles,autobus,di linea,a tre assi,0,0,a due piani,0,1,interurbano,0,0,interurbano,0,0,interurbano,0,0,interurbano,0,0,minibus,0,0,minibus,0,0,pullman-standard,0,0,pullman-bus,0,0
vehicles,autobus,scuolabus,a pianale ribassato,0,0,a tre piani,0,0,notturno,0,0,scolastico,0,0,scolastico,0,0,turistico,0,0,pullman,0,1,tram,0,0,pullman-sleeper,0,0,pullman-limousine,0,0
vehicles,autobus,elettrico,a pianale rialzato,0,0,a lunga percorrenza,0,0,a lungo percorso,0,0,extraurbano,0,0,turistico,0,0,scolastico,0,0,a due piani,0,1,trolleybus,0,0,pullman-palace,0,0,pullman-sonnenwagen,0,0
vehicles,autobus,pullman,a propulsione ibrida,0,0,a corta percorrenza,0,0,a lungo percorso con fermate,0,0,a pianale alto,0,0,a due piani,0,1,a due piani,0,1,a tre piani,0,0,school bus,0,0,pullman-park,0,0,pullman-sonnenwagen-limousine,0,0
vehicles,automobile,elettrica,berlina,0,0,auto,0,0,auto,0,0,berlina,0,0,berlina,0,0,berline,0,0,berlina,0,0,berlina,0,0,auto,0,0,auto,0,0
vehicles,automobile,suv,coupé,0,0,camion,0,0,motocicletta,0,0,monoposto,0,0,coupé,0,0,suv,1,1,coupé,0,0,station wagon,0,0,motociclette,0,0,auto da turismo,0,0
vehicles,automobile,a benzina,cabriolet,0,0,furgone,0,0,autobus,0,0,sedan,0,0,cabriolet,0,0,coupé,0,0,station wagon,0,0,coupé,0,0,camion,0,0,auto da competizione,0,0
vehicles,automobile,monovolume,spider,0,0,camper,0,0,camion,0,0,sport utility vehicle,0,0,station wagon,0,0,cabriolet,0,0,minivan,0,0,cabriolet,0,0,furgonette,0,0,auto da corsa,0,0
vehicles,automobile,ibrida,station wagon,0,0,motocicletta,0,0,scooter,0,0,pick-up,0,0,suv,0,1,furgone,0,0,suv,0,1,pickup,0,0,autobus,0,0,auto da strada,0,0
housing buildings,bagno,pubblico,vasca,0,0,vasca,0,0,doccia,0,0,doccia,0,0,vasca da bagno,0,0,vasca da bagno,0,0,vaso,0,0,doccia,0,0,vaso da bagno,0,0,lavandino,0,0
housing buildings,bagno,turco,doccia,0,0,doccia,0,0,vasca,0,0,vasca da bagno,0,0,doccia,0,0,doccia,0,0,bidet,0,0,vaso,0,0,doccia,0,0,vasca,0,0
housing buildings,bagno,giapponese,bidet,0,0,bidet,0,0,bidet,0,0,turco,0,1,water,0,0,water,0,0,doccia,0,0,bidet,0,0,vaso da doccia,0,0,toilette,0,0
