exemplar,abs_freq,rel_freq
'olivastro' - l'olivo olivastro che produce oli verde e nero,0,0.0
'olivo' - l'olivo bianco che produce olio di olivo bianco,0,0.0
'ulivo' - il genere che contiene i vari tipi di ulivo,0,0.0
* piatto da caffeteria,0,0.0
* piatto da cucina,40,0.0
* piatto da lavoro,8,0.0
* piatto da tavola,46,0.0
*cattleya* ,5460,0.38
*geraniaceae*; ,0,0.0
*geraniol*; ,0,0.0
*pelargonium*; ,0,0.0
12 corde (in chitarra elettrica),0,0.0
15.015,40,0.0
15.020,38,0.0
15.020: dentoni,0,0.0
15.025,50,0.0
15.035,28,0.0
15.040,22,0.0
15.040: spicchiere,0,0.0
15.050,160,0.02
15.050: filo,0,0.0
15.060,42,0.0
15.065,28,0.0
15.065: spade,0,0.0
15.070,42,0.0
15.070: matita dorsale,0,0.0
15.080,86,0.0
15.085,32,0.0
15.100,662,0.04
15.100: mat,0,0.0
35mm,25336,1.74
360 degree,96,0.0
3d,43190,2.98
3ds,30686,2.12
4k,52340,3.6
4t,21304,1.46
`gonna`: è una parola che indica la determinazione di fare qualcosa. ,0,0.0
`natura`: i crociante,0,0.0
"`ratti`, `rattuccio`",0,0.0
`rattopelago`,0,0.0
`tapetumusgricium`,0,0.0
`tenero`: gli sposini,0,0.0
`topo`,0,0.0
`topogeometria`,0,0.0
`topologo`,0,0.0
`topometria`,0,0.0
`toponomia`,0,0.0
`toponomista`,0,0.0
`topotomo` ,0,0.0
`umano`: falco. ,0,0.0
a,36748,2.54
a forn,18,0.0
a fornace,44,0.0
a fornace a elettrico,0,0.0
a fornace a forno,0,0.0
a fornace a gas,0,0.0
a fornace a legna,0,0.0
a fornace a pietra,0,0.0
a fornace a serra,0,0.0
a fornace a stufa,0,0.0
a fornace a vetrata,0,0.0
a forno,112,0.0
a legna,1304,0.08
a muro,584,0.04
a parapetti,44,0.0
a piazza,70,0.0
a pietra,310,0.02
a serra,140,0.0
a sosta,156,0.02
a stufa,60,0.0
a tavolo,26,0.0
a tetto,86,0.0
a vetrata,56,0.0
abbigliamento,55304,3.82
abbigliamento da ballerina,4,0.0
abbigliamento da calzolai,0,0.0
abbigliamento da ginnasta,2,0.0
abbigliamento da gita,6,0.0
abbigliamento da lavoratore,0,0.0
abbigliamento da lavoro,108,0.0
abbigliamento da lavoro cas,0,0.0
abbigliamento da lavoro formale,14,0.0
abbigliamento da lavoro leggero,2,0.0
abbigliamento da lavoro pesante,0,0.0
abbigliamento da nuotatore,0,0.0
abbigliamento da passeggiata,14,0.0
abbigliamento da sport,18,0.0
abbigliamento da tuffatore,0,0.0
abbigliamento invernale,84,0.0
abdomine,1,0.0
abete,36428,2.5
abete bianco,224,0.02
abete bianco americano,12,0.0
abete bianco di appalach,0,0.0
abete bianco di carpazi,0,0.0
abete bianco di caucaso,0,0.0
abete bianco di colorado,0,0.0
abete bianco di crimea,0,0.0
abete bianco di norvegia,0,0.0
abete bianco di romania,0,0.0
abete bianco di sassfrancia,0,0.0
abete bianco di scozia,0,0.0
abete bianco di siberia,0,0.0
abete bianco di transilvania,0,0.0
abete bianco di vosges,0,0.0
abete bianco europeo,3,0.0
abete bianco siberiano,1,0.0
abete chinino,0,0.0
abete comune,38,0.0
abete di acqua,0,0.0
abete di lana,2,0.0
abete di olio,0,0.0
abete di pietra,0,0.0
abete di sale,0,0.0
abete di sapone,0,0.0
abete di vino,0,0.0
abete di vino bianco,0,0.0
abete di vino bianco spumante,0,0.0
abete di vino ros,0,0.0
abete di vino rosso,0,0.0
abete di vino rosso spumante,0,0.0
abete di zucchero,0,0.0
abete giallo,6,0.0
abete gigante,102,0.0
abete nero,104,0.0
abete rosso,15104,1.04
abete rosso del caucaso,1,0.0
abete rosso del messico,0,0.0
abete rosso del nord,48,0.0
abete rosso del nord america,0,0.0
abete rosso del pacifico,0,0.0
abete rosso del sud america,0,0.0
abete rosso di alaska,0,0.0
abete rosso di cina,0,0.0
abete rosso di colorado,0,0.0
abete rosso di corea,0,0.0
abete rosso di giappone,0,0.0
abete rosso di mongolia,0,0.0
abete rosso di nord america,0,0.0
abete rosso di norvegia,0,0.0
abete rosso di romania,0,0.0
abete rosso di russia,0,0.0
abete rosso di scozia,0,0.0
abete rosso di siberia,0,0.0
abiti da festa,20,0.0
abiti da festa da pranzo,0,0.0
abiti da festa da sera,0,0.0
abiti da gala,15,0.0
abiti da gala formale,0,0.0
abiti da gala informale,0,0.0
abiti da lavoro,30,0.0
abiti da lavoro formale,0,0.0
abiti da lavoro informale,1,0.0
abiti da pranzo,2,0.0
abiti da pranzo formale,0,0.0
abiti da pranzo informale,0,0.0
abiti da sera,93,0.01
abiti da sposa,397,0.03
abito,38262,2.64
abito da slip,2,0.0
abito da spiaggia,320,0.02
abito da strada,32,0.0
abito di forma,16,0.0
abracadabra,3882,0.26
abs systems,0,0.0
abuso,44680,3.08
abyssinian,83,0.01
acacia,34804,2.4
acacia con fiori,0,0.0
acanthod,0,0.0
acanto (in latino,0,0.0
acanto (in latino: calystus),0,0.0
acciaio,39884,2.74
accu da motociclo,0,0.0
accumulatore da scooter,0,0.0
acer,35356,2.44
acero,26036,1.8
acero ,28650,1.98
acerola,4542,0.32
acetati,2896,0.2
acetilsalicina,0,0.0
aceto di ulivo,2,0.0
acido cloridrico,1576,0.1
acido cloroformico,16,0.0
acido nitrico,752,0.06
acido solforico,612,0.04
acqua,33092,2.28
acqua ,39534,2.72
acqua carbone,12,0.0
acqua di solicito,0,0.0
acqua melon,0,0.0
acquabagni,0,0.0
acquabasile,0,0.0
