exemplar,abs_freq,rel_freq
abeto,256,0.02
abeto rosso,4,0.0
abeto bianco,1,0.0
abeto azzurro,0,0.0
abeto a grosse foglie,0,0.0
birch,2352,0.16
cedar,0,0.0
cypress,1669,0.11
elm,4003,0.28
maple,3204,0.22
pine,7168,0.49
pinus,4935,0.34
araucaria,875,0.06
acidana,0,0.0
abies,2136,0.15
eucalyptus,1636,0.11
thuja,954,0.07
podocarpus,173,0.01
bamboo,12953,0.89
cedro,23542,1.62
cipresso,34462,2.38
giacinti,4753,0.33
raffia,647,0.04
pinestra,6,0.0
acacia,34804,2.4
abece,9,0.0
acero,26036,1.8
amorfa,3728,0.26
americana,23978,1.65
barbatella,414,0.03
bosso,21171,1.46
canella,3677,0.25
cilindro,35650,2.46
fagia,33,0.0
frassino,26254,1.8
lupino,3680,0.25
pin,12000,0.83
tasso,23610,1.63
ulivo,292424,20.14
acacia melanoxylon,12,0.0
abete di australia,0,0.0
abete di nord,0,0.0
abete di tasmania,0,0.0
abete rosso,15104,1.04
abeto nordamericano,0,0.0
abeto a corno,0,0.0
abeto rossiccia,0,0.0
boeing 747,1703,0.12
airbus a320,1246,0.09
embraer,3572,0.24
aviation oil,2,0.0
delta,19077,1.31
jetblue,1036,0.08
alitalia,39187,2.7
british airways,4802,0.34
aeromobile,17120,1.18
aerostato,3318,0.22
aeroplano,27876,1.92
alianto,73,0.01
elicottero,30198,2.08
dirigibili,4067,0.28
aeroplino,0,0.0
drone,43184,2.98
uav,3702,0.26
ew,2877,0.2
helicopter,2655,0.18
jet,33516,2.3
fighter jet,23,0.0
aereo commerciale,43,0.0
airship,267,0.02
dirigibile,12297,0.85
calendario,30666,2.12
calendare digitali,0,0.0
calendare della zona,0,0.0
calendare dell'annuale,0,0.0
telefonare,16346,1.13
registratore,21144,1.46
notebook,32084,2.22
calendar app,4,0.0
calendario digitale,140,0.0
calendario sul telefonino,0,0.0
listino,13288,0.92
programma,20269,1.4
scheda da portare,9,0.0
documento con risultati,7,0.0
applicazione per telefonini cellulari/telefoni,0,0.0
applicazione web/sito web,0,0.0
applicazione per le tacche,0,0.0
applicazione di calendario personalizzata per il software,0,0.0
t-shirt,35456,2.44
jeans,31070,2.14
abbetine,0,0.0
camisa,3124,0.22
pantaloni,49132,3.38
piastra,41884,2.88
calzifoghi,0,0.0
calze,49642,3.42
bretelle,9995,0.69
pantoloon,0,0.0
pollo,39192,2.7
salsicia,16,0.0
scacciola,0,0.0
ustica,20726,1.43
spada,37042,2.56
maiale,29242,2.02
pantaholder,0,0.0
pugni,26604,1.83
cascinette,612,0.04
rivetini,0,0.0
insetti,21819,1.5
ghette,2365,0.16
sottoghette,0,0.0
adidas,45706,3.14
nike,35078,2.42
puma,19213,1.32
new balance,74,0.01
asics,5614,0.39
armadio per vestiti,23,0.0
armadio per abbigliamenti,0,0.0
armadio per libri,12,0.0
armatore,17685,1.22
armatore a bocca,0,0.0
armatore a tua,0,0.0
armatore a taver,0,0.0
scoppiofiamma,0,0.0
armatino,1,0.0
giacche armadio,0,0.0
camice armadio,0,0.0
scarpe armadio,4,0.0
armati,27738,1.91
scritto,27562,1.9
muro,43260,2.98
closet a tenuta,0,0.0
rack orlato,0,0.0
casserole,254,0.02
coltello,32680,2.26
lingue di maiale,5,0.0
misto di verdure,20,0.0
olive,53076,3.66
pane,34818,2.4
pesce,39748,2.74
polenta,34962,2.4
riso,726124,50.02
strutto,14217,0.98
agua caliente,136,0.01
agua fría,14,0.0
agua fría con espuma,0,0.0
agua fría con espuma de soda,0,0.0
piatto coni,0,0.0
piatto stampato,33,0.0
bocca di scure,0,0.0
picchio,20317,1.4
forno a legna,578,0.04
forno elettrico/gas,0,0.0
forno d'acqua-cibio,0,0.0
forno,41362,2.84
pannarelli o pizza a portafoglio,0,0.0
biscotti,52370,3.6
"lavatrice, un attrezzo usato per ripulire e riscldere indumenti",0,0.0
"granulatore, un attrezzo utilizzato per trasformare un sistema di produzione di potenza con diversi consumi di potenza in un sistema di produzione con un solo consumo",0,0.0
"bobino, un attrezzo che si usa per impacchettare o spostare dei materiali",0,0.0
macchina per lava lavandere a secca,0,0.0
macchina da scultura,0,0.0
fotocamera,46368,3.2
macchina da lavoro,51,0.0
bicicletta,37606,2.6
telefono,1973300,135.96
"attrezzo unico,",0,0.0
"attrezzo multiuse,",0,0.0
"attrezzo legale,",0,0.0
"attrezzo illimitato,",0,0.0
attrezzo personalizzato,13,0.0
astea,1171,0.08
asce,8394,0.58
scappole,0,0.0
