exemplar,abs_freq,rel_freq
abete bianco,224,0.02
abete balsamico,40,0.0
abete di douglas,21,0.0
abete rosso,15104,1.04
abete amabile,2,0.0
abete delle filippine,0,0.0
abete di spagna,21,0.0
abete della sierra,0,0.0
abete di fraser,23,0.0
abete di nordmann,3,0.0
abete di veitch,0,0.0
abete canadese,74,0.01
abete inglese,0,0.0
abete nero,104,0.0
abete argentato,48,0.0
abete delle rocce,4,0.0
abete spinoso,0,0.0
abete himalayano,0,0.0
abete coreano,10,0.0
abete del colorado,27,0.0
abete giapponese,4,0.0
abete marittimo,1,0.0
abete del,39,0.0
abete delle marianne,0,0.0
abete dei nebrodi,33,0.0
abete orientale,7,0.0
abete rosso del giappone,0,0.0
abete siberiano,53,0.0
abete dei balcani,4,0.0
abete marocchino,0,0.0
abete del caucaso,24,0.0
abete della corea,1,0.0
abete della turchia,0,0.0
abete di vancouver,3,0.0
abete delle montagne rocc,0,0.0
aereo da caccia,62,0.0
aereo da trasporto,70,0.0
aereo da addestramento,74,0.0
aereo da turismo,44,0.0
aereo da attacco al suolo,30,0.0
aereo da ricognizione,2070,0.14
aereo da trasporto militare,68,0.0
aereo da trasporto civile,96,0.0
aereo da soccorso,4,0.0
aereo da ricerca e soccorso,4,0.0
aereo da pattugliamento,27,0.0
aereo da guerra elettronica,27,0.0
aereo da rifornimento in volo,16,0.0
aereo da trasporto vip,6,0.0
aereo da trasporto cargo,2,0.0
aereo da trasporto passeggeri,20,0.0
aereo da trasporto merci,16,0.0
aereo da combattimento,102,0.0
aereo da pattugliamento marittimo,22,0.0
aereo da collegamento,117,0.01
aereo da osservazione,53,0.0
aereo da ricognizione strategica,7,0.0
aereo da attacco,24,0.0
elicottero,30198,2.08
aereo da supporto,21,0.0
aereo da sorveglianza,25,0.0
aliscafo,13389,0.92
aliante,21346,1.48
aereo cargo,70,0.0
aereo di linea,25,0.0
aereo militare,182,0.02
aereo sperimentale,580,0.04
aereo supersonico,39,0.0
aereo subsonico,46,0.0
autogiro,1926,0.14
biplano,6073,0.42
bombardiere,20377,1.4
caccia,39930,2.76
caccia intercettore,336,0.02
aereo da ricerca e salvataggio,1,0.0
aereo da pattugliamento aereo,0,0.0
agenda scolastica,204,0.01
agenda settimanale,52,0.0
agenda mensile,130,0.0
agenda elettronica,38,0.0
agenda cartacea,28,0.0
agenda personale,520,0.04
agenda di lavoro,46,0.0
agenda di viaggio,46,0.0
agenda romantica,0,0.0
agenda sociale,235,0.02
agenda lavorativa,61,0.0
agenda digitale,1132,0.08
agenda annuale,206,0.02
agenda di studio,70,0.0
agenda online,258,0.02
agenda viaggi,25,0.0
agenda degli appuntamenti,178,0.01
agenda quotidiana,268,0.02
agenda impegno,25,0.0
agenda lavoro,14,0.0
gruccia,6253,0.43
asta,14848,1.02
attaccapanni,4205,0.29
appendiabiti a muro,32,0.0
appendiabiti a pavimento,4,0.0
appendiabiti a ruote,1,0.0
portabiti,388,0.03
portagiacca,12,0.0
appendiabiti a scomparsa,14,0.0
appendiabiti a stanga,0,0.0
appendiabiti a rotazione,0,0.0
appendiabiti pieghevole,20,0.0
appendiabiti da viaggio,2,0.0
appendiabiti per abiti lunghi,0,0.0
appendiabiti per cappotti,2,0.0
appendiabiti per cappelli,1,0.0
appendiabiti per borse,2,0.0
appendiabiti da parete,31,0.0
appendiabiti da terra,22,0.0
cabina armadio,1047,0.07
armadio a muro,48,0.0
armadio scorrevole,69,0.0
armadio a ponte,24,0.0
armadio a giorno,21,0.0
armadio guardaroba,167,0.01
armadio a specchio,25,0.0
armadio a due ante,27,0.0
armadio a tre ante,22,0.0
armadio a quattro ante,26,0.0
armadio a sei ante,23,0.0
armadio a otto ante,7,0.0
armadio a dieci ante,4,0.0
guardaroba,29842,2.06
armadietto,32978,2.28
mobile,55528,3.82
scaffalatura,17175,1.18
pensile,17688,1.22
