exemplar,abs_freq,rel_freq
abete bianco,224,0.02
abete balsamico,40,0.0
abete di douglas,21,0.0
abete rosso,15104,1.04
abete amabile,2,0.0
abete di spagna,21,0.0
abete di nordmann,3,0.0
abete argentato,48,0.0
abete marocchino,0,0.0
abete del colorado,27,0.0
abete delle rocce,4,0.0
abete di fraser,23,0.0
abete gigante,102,0.0
abete siberiano,53,0.0
abete coreano,10,0.0
abete giapponese,4,0.0
abete di veitch,0,0.0
abete di amuri,0,0.0
abete di sachalin,0,0.0
abete di manciuria,2,0.0
aereo da trasporto,70,0.0
aereo da combattimento,102,0.0
aereo da addestramento,74,0.0
aereo da ricognizione,2070,0.14
aereo da trasporto militare,68,0.0
aereo da trasporto civile,96,0.0
aereo da turismo,44,0.0
aereo da competizione,25,0.0
aereo da acrobazia,12,0.0
aereo da ricerca,29,0.0
aereo da soccorso,4,0.0
aereo da collegamento,117,0.01
aereo da osservazione,54,0.0
aereo da attacco al suolo,30,0.0
aereo da caccia,62,0.0
aereo da intercettazione,12,0.0
aereo da pattugliamento,27,0.0
agenda scolastica,204,0.01
agenda settimanale,52,0.0
agenda mensile,130,0.0
agenda annuale,206,0.02
agenda digitale,1132,0.08
agenda cartacea,28,0.0
agenda personale,520,0.04
agenda aziendale,24,0.0
agenda di viaggio,46,0.0
agenda di studio,70,0.0
gruccia,6253,0.43
attaccapanni,4205,0.29
appendiabiti a muro,32,0.0
appendiabiti a stanga,0,0.0
appendiabiti a ruote,1,0.0
appendiabiti da parete,31,0.0
appendiabiti da terra,22,0.0
appendiabiti pieghevole,20,0.0
appendiabiti a forma di albero,5,0.0
appendiabiti a forma di ombrello,0,0.0
appendiabiti a forma di scala,0,0.0
appendiabiti a forma di griglia,0,0.0
appendiabiti a forma di rastrello,0,0.0
appendiabiti a forma di ventaglio,0,0.0
armadio a muro,48,0.0
armadio scorrevole,69,0.0
armadio a ponte,24,0.0
armadio a giorno,91,0.01
armadio a specchio,25,0.0
armadio guardaroba,167,0.01
armadio cabina,114,0.01
armadio a scomparsa,21,0.0
armadio a due ante,27,0.0
armadio a tre ante,22,0.0
armadio a quattro ante,26,0.0
armadio a sei ante,23,0.0
armadio a otto ante,7,0.0
armadio a dieci ante,4,0.0
armadio a dodici ante,1,0.0
armadio a ruote,1,0.0
armadio angolare,31,0.0
armadio appendiabiti,42,0.0
armadio attrezzato,163,0.01
astuccio per occhiali,23,0.0
astuccio per penna,26,0.0
astuccio per trucco,5,0.0
astuccio per strumenti musicali,0,0.0
astuccio per pistola,0,0.0
astuccio per coltello,3,0.0
astuccio per matite,29,0.0
astuccio per forbici,1,0.0
astuccio per ago e filo,0,0.0
astuccio per pennelli,5,0.0
astuccio per scalpelli,0,0.0
astuccio per bisturi,0,0.0
astuccio per pietre preziose,0,0.0
astuccio per orologi,14,0.0
astuccio per gioielli,21,0.0
martello,35294,2.44
cacciavite,18238,1.26
pinza,36776,2.54
tenaglia,13689,0.94
scalpello,26602,1.84
cesoia,9726,0.67
forbici,22189,1.53
trapano,17985,1.24
sega,40972,2.82
livella,8934,0.62
chiave inglese,50,0.0
cacciavite a stella,37,0.0
cacciavite piatto,28,0.0
cacciavite a croce,20,0.0
cacciavite a testa svasata,0,0.0
cacciavite a testa esagonale,0,0.0
cacciavite a testa a stella,0,0.0
cacciavite a testa a croce,0,0.0
cacciavite a testa piatta,21,0.0
autobus a due piani,68,0.0
autobus a tre assi,15,0.0
autobus a pianale ribassato,29,0.0
autobus a pianale rialzato,4,0.0
autobus a propulsione ibrida,3,0.0
autobus a propulsione elettrica,5,0.0
autobus a propulsione diesel,0,0.0
autobus a propulsione a gas,0,0.0
autobus a propulsione a idrogeno,0,0.0
autobus a propulsione ibrido diesel-elettrico,0,0.0
autobus a propulsione ibrido diesel-idrogeno,0,0.0
autobus a propulsione ibrido benzina-elettrico,0,0.0
