exemplar,abs_freq,rel_freq
abete rosso,15104,1.04
abete bianco,224,0.02
abete nero,104,0.0
abete fuso,0,0.0
abete cembro,0,0.0
abete di douglas,21,0.0
abete siberiano,53,0.0
abete gigante,102,0.0
abete di nord america,0,0.0
abete di canada,0,0.0
abete di colorado,0,0.0
abete di nordamerica,0,0.0
abete di siberia,0,0.0
abete laricio,0,0.0
abete alba,0,0.0
abete silver fir,0,0.0
abete bianco di siberia,0,0.0
abete roso,8,0.0
abete di nordmann,3,0.0
abete di weihenstephaner,0,0.0
abete di fraser,23,0.0
aereo da carico,40,0.0
aereo da trasporto,70,0.0
aereo da combattimento,102,0.0
aereo da turismo,44,0.0
aereo da addestramento,74,0.0
aereo da trasporto vip,6,0.0
elicottero,30198,2.08
aerostato,3318,0.22
dirigibile,12297,0.85
paracadutista,19458,1.34
aereo da caccia,62,0.0
aereo da trasporto militare,68,0.0
aereo da trasporto passeggeri,20,0.0
aereo da ricognizione,2070,0.14
aereo da pattugliamento marittimo,22,0.0
aereo da pattugliamento terrestre,0,0.0
aereo da pattugliamento aereo,0,0.0
aereo da ricerca e soccorso,4,0.0
aereo da trasporto sanitario,0,0.0
aereo da,56,0.0
aereo da trasporto di linea,2,0.0
aereo da trasporto charter,0,0.0
aeroplano,27876,1.92
aliante,21346,1.48
parapendio,16259,1.12
paracadute,20531,1.41
sonda,16142,1.11
aereo da pattuglia,4,0.0
aereo da trasporto cargo,2,0.0
aereo da trasporto tattico,22,0.0
aereo da trasporto strategico,25,0.0
aereo da sci,3,0.0
aereo da parapendio,0,0.0
aereo da ballo,0,0.0
aereo da sorveglianza,25,0.0
aereo da salvataggio,0,0.0
agenda cartacea,28,0.0
agenda digitale,1132,0.08
agenda elettronica,38,0.0
agenda personale,520,0.04
agenda quotidiana,268,0.02
agenda settimanale,52,0.0
agenda mensile,130,0.0
agenda annuale,206,0.02
agenda di viaggio,46,0.0
agenda di lavoro,46,0.0
agenda di studio,70,0.0
agenda di appuntamenti,40,0.0
diario,40702,2.8
calendario,30666,2.12
rubrica,35574,2.46
appunti,24005,1.65
giornale,20562,1.42
libro di appunti,21,0.0
taccuino,36308,2.5
orologio,36846,2.54
agenda di contatto,30,0.0
orario,8888,0.61
programma,20269,1.4
app,20377,1.4
planner,32956,2.28
quaderno,39352,2.72
appuntatore,12,0.0
cartellino,17119,1.18
appunti di lavoro,103,0.01
agenda aziendale,24,0.0
agenda scolastica,204,0.01
agenda universitaria,10,0.0
appunti di studio,21,0.0
cartellino di appunti,0,0.0
quaderno di appunti,50,0.0
appendiabiti da parete,31,0.0
appendiabiti da muro,27,0.0
appendiabiti a muro,32,0.0
appendiabiti a parete,25,0.0
appendiabiti a stelo,18,0.0
appendiabiti a barra,3,0.0
appendiabiti a parete a stelo,0,0.0
appendiabiti a parete a barra,0,0.0
appendiabiti a muro a stelo,0,0.0
appendiabiti a muro a barra,0,0.0
appendiabiti in legno,23,0.0
appendiabiti in metallo,27,0.0
appendiabiti in plastica,20,0.0
appendiabiti a soffitto,4,0.0
appendiabiti per bagno,1,0.0
appendiabiti per camera da letto,1,0.0
appendiabiti per cucina,0,0.0
appendiabiti per corridoio,0,0.0
appendiabiti per stanza,0,0.0
appendiabiti a staffa,0,0.0
appendiabiti a gancio,4,0.0
appendiabiti a gruccia,1,0.0
appendiabiti a stantuffo,0,0.0
appendiabiti a grappolo,0,0.0
appendiabiti a catena,1,0.0
appendiabiti a cappuccio,0,0.0
appendiabiti a tenda,0,0.0
appendiabiti a gancio a molla,0,0.0
appendiabiti a cerniera,0,0.0
appendiabiti a stendibiancheria,0,0.0
appendiabiti a muro con ganci,1,0.0
appendiabiti a muro con grucce,0,0.0
appendiabiti a muro con maniglione,0,0.0
appendiabiti a muro con grucce a vite,0,0.0
appendiabiti a muro con grucce a vite a molla,0,0.0
appendiabiti a muro con grucce a vite a molla con maniglione,0,0.0
appendiabiti a muro con grucce a vite a molla con man,0,0.0
appendiabiti da soffitto,5,0.0
appendiabiti da parete a scomparsa,5,0.0
appendiabiti da soffitto a scomparsa,0,0.0
appendiabiti a parete a scomparsa,0,0.0
appendiabiti a parete con gancio,0,0.0
appendiabiti a soffitto con gancio,0,0.0
appendiabiti a muro con gancio,2,0.0
appendiabiti a parete con cerniera,0,0.0
armadio a muro,48,0.0
armadio a tre ante,22,0.0
armadio a due ante,27,0.0
armadio a quattro ante,26,0.0
cassettiera,23130,1.6
guardaroba,29842,2.06
cassettone,34200,2.36
guardaroba a muro,26,0.0
armadio a porta girevole,0,0.0
armadio a cassettiera,11,0.0
armadio a specchio,25,0.0
armadio a soppalco,3,0.0
armadio a parete,24,0.0
armadio a soffitta,1,0.0
armadio a cassettone,4,0.0
armadio a tre cassetti,1,0.0
armadio a due cassetti,0,0.0
armadio a tre cassetti a muro,0,0.0
armadio a quattro cassetti,1,0.0
armadio a due ante a muro,0,0.0
armadio a specchio a muro,0,0.0
armadio a scomparsa,21,0.0
armadio a vetrina,44,0.0
armadio a muro a 3 ante,4,0.0
armadio a muro a 4 ante,6,0.0
armadio a muro a 5 ante,2,0.0
armadio a muro a 6 ante,2,0.0
armadio a muro a 7 ante,0,0.0
armadio a muro a 8 ante,3,0.0
armadio a cassetti scorrevoli,0,0.0
armadio a cassetti ribaltabili,0,0.0
armadio a cassetti scorrevoli ribaltabili,0,0.0
armadio a soppalco a cassetti,0,0.0
arm,36956,2.54
borsa,35752,2.46
valigetta,17538,1.21
cassetto,37236,2.56
scatola,49094,3.38
cappello da notte,21,0.0
scatola portaoggetti,161,0.01
borsa a mano,25,0.0
borsa da viaggio,36,0.0
busta,19235,1.33
cassetto portaoggetti,315,0.02
astuccio da disegno,2,0.0
astuccio da scarpe,0,0.0
cassetto da scarpe,0,0.0
scatola portaoggetti per ufficio,0,0.0
cassetta,31474,2.16
cassetta di metallo,21,0.0
astuccio da lavoro,4,0.0
astuccio da viaggio,21,0.0
astuccio da donna,1,0.0
astuccio da uomo,0,0.0
astuccio da chitarra,0,0.0
astuccio da computer,0,0.0
astuccio da macchina fotografica,0,0.0
astuccio da telefonia,0,0.0
astuccio da occhiali,0,0.0
astuccio da portafoglio,0,0.0
astuccio da portaoggetti,0,0.0
astuccio da portaaccessori,0,0.0
custodia,19621,1.35
tasca,17192,1.18
zaino,13173,0.91
portafoglio,44690,3.08
astuccio da porta chiavi,0,0.0
astuccio da cosmetici,0,0.0
astuccio da libri,0,0.0
astuccio da tessuti,0,0.0
astuccio da musica,0,0.0
astuccio da strumenti,0,0.0
astuccio da oggetti vari,0,0.0
astuccio di camicie,0,0.0
astuccio per documenti,2,0.0
astuccio per oggetti personali,0,0.0
astuccio per disegni,0,0.0
astuccio per accessori,8,0.0
astuccio per gioielli,21,0.0
astuccio per oggetti vari,0,0.0
astuccio per libri,0,0.0
astuccio per oggetti da regalo,0,0.0
astuccio per oggetti da viaggio,0,0.0
astuccio per oggetti di cartoleria,0,0.0
astuccio per oggetti di cancelleria,0,0.0
astuccio per oggetti di scrittura,0,0.0
martello,35294,2.44
sega,40972,2.82
trapano,17985,1.24
scalpello,26602,1.84
cesoie,7030,0.48
gancio,21765,1.5
pinze,23953,1.65
forbici,22189,1.53
pialla,4007,0.28
livella,8934,0.62
squadra,15855,1.09
tassello,22669,1.56
vanga,6994,0.48
rullo,22642,1.56
raschietto,3120,0.21
chiodo,33690,2.32
chiodino,1587,0.11
cacciavite,18238,1.26
chiave inglese,50,0.0
chiave a molla,11,0.0
morsa,16529,1.14
mazzetta,16528,1.14
spatola,24642,1.7
spazzola,41570,2.86
spugna,37694,2.6
spazzolone,3312,0.22
spazzola per pavimenti,23,0.0
penn,15731,1.08
pinza,36776,2.54
sega circolare,127,0.01
trapano a mano,27,0.0
righello,23782,1.64
misuratore,28170,1.94
livella ottica,7,0.0
martello a molla,5,0.0
martello pneumatico,274,0.02
lima,34882,2.4
sega a nastro,109,0.01
sega a mano,24,0.0
sega a mano manuale,0,0.0
sega a mano per il legno,0,0.0
cesoie a mano,14,0.0
pialla a mano,21,0.0
cesoio,2,0.0
scalpello a mano,20,0.0
martello a mano,8,0.0
trena,84,0.01
corda,15027,1.04
chiave inglese a stella,0,0.0
chiave inglese a croce,0,0.0
chiave ingle,1,0.0
trivella,15407,1.06
tappo,21332,1.47
bullone,25088,1.73
cacciavite phillips,68,0.0
pinzetta,24408,1.68
raccatto,331,0.02
rasoio,19742,1.36
serra,21636,1.49
spago,38892,2.68
spago da calza,0,0.0
spago da scarpe,0,0.0
spago da stivali,0,0.0
spago per lenzuola,0,0.0
spago per len,0,0.0
punterello,0,0.0
scalpello da carpenteria,0,0.0
tazza,37292,2.56
livella a muro,0,0.0
livella a corda,0,0.0
squadra a mano,4,0.0
squadra elettrica,3,0.0
sega a filo,24,0.0
sega a manubrio,0,0.0
sega a mano manubrio,0,0.0
sega a mano a mano,0,0.0
filobus,10710,0.74
trolleybus,66,0.0
autocarro,38636,2.66
pullman,35948,2.48
bus,600430,41.36
minibus,23726,1.64
autobus a due piani,68,0.0
autobus a tre piani,20,0.0
girovagante,75,0.01
bus a lunga percorrenza,26,0.0
bus a corta percorrenza,0,0.0
bus urbano,61,0.0
bus suburbano,24,0.0
bus extraurbano,139,0.01
bus interurbano,24,0.0
autobus a piano unico,0,0.0
autobus a giro d'isola,0,0.0
autobus a pianale alto,2,0.0
autobus a pianale basso,10,0.0
autobus a pianale ridotto,0,0.0
autobus a pianale normale,0,0.0
autobus a pianale esteso,0,0.0
autobus a due assi,20,0.0
autobus a tre assi,15,0.0
autobus a quattro assi,0,0.0
autobus a cinque assi,0,0.0
autobus a sei assi,0,0.0
autobus a sette assi,0,0.0
autobus a otto assi,0,0.0
