exemplar,abs_freq,rel_freq
abete rosso,15104,1.04
abete bianco,224,0.02
abete cuneese,0,0.0
abete d'alpi,0,0.0
abete fylkesnøtt,0,0.0
abete grigio,7,0.0
abete nero,104,0.0
abete nero del giura,0,0.0
abete nero di vosges,0,0.0
abete rosso di svezia,0,0.0
abete rosso di danimarca,0,0.0
abete rosso di siberia,0,0.0
abete rosso euroasiatico,0,0.0
abete sciotto,0,0.0
abete serbo,0,0.0
abete sessile,0,0.0
abete siberiano,53,0.0
abete soglio,0,0.0
abete di douglas,21,0.0
faggio,28184,1.94
larice,39082,2.7
abete cembalo,0,0.0
abete cuniphoro,0,0.0
abete morbido,1,0.0
abete fuso,0,0.0
abete dalmata,0,0.0
abete di davide,0,0.0
abete silver fir,0,0.0
abete bianco canadese,0,0.0
abete montano,9,0.0
abete bianco alba,0,0.0
aeroplano,27876,1.92
elicottero,30198,2.08
mongolfiera,17601,1.21
dirigibile,12297,0.85
paracadute,20531,1.41
aereo da trasporto,70,0.0
aereo da combattimento,102,0.0
aereo da addestramento,74,0.0
aereo da turismo,44,0.0
boeing,38034,2.62
airbus,19828,1.37
f-16,4084,0.28
spitfire,4313,0.3
harrier,2374,0.16
l-1011,107,0.01
concorde,57743,3.98
f-35,9364,0.65
b-2,1346,0.09
alitalia,101449,6.99
aereo da carriera,0,0.0
aliscafo,13389,0.92
eliocarro,1,0.0
aeromobile,17120,1.18
aerostato,3318,0.22
gommone,21065,1.45
aerostile,1,0.0
velivolo,105626,7.28
impianto di lancio,28,0.0
aeroplano da caccia,50,0.0
bimotore,5083,0.35
monoplano,4046,0.28
biplano,6073,0.42
dirigibile rigido,91,0.01
dirigibile gonfiabile,2,0.0
aereo da trasporto militare,68,0.0
aereo da carico,40,0.0
aereo da trasporto passeggeri,20,0.0
aereo da ricognizione,2070,0.14
aereo da trasporto cargo,2,0.0
aereo da pattugliamento marittimo,22,0.0
diario,40702,2.8
calendario,30666,2.12
agenda elettronica,38,0.0
agenda digitale,1132,0.08
orario,8888,0.61
rubrica,35574,2.46
programma di pianificazione,23,0.0
planner,32956,2.28
giornale personale,65,0.0
agenda fisica,2,0.0
giornale,20562,1.42
doppia faccia,69,0.0
quadratino,14073,0.97
quaderno,39352,2.72
appello,21146,1.46
programma,20269,1.4
app mobile,191,0.01
cartellino,17119,1.18
agenda personale,520,0.04
piano d'azione,0,0.0
app per organizzare gli impegni,0,0.0
orologio,36846,2.54
agenda cartacea,28,0.0
calendario digitale,140,0.0
rubrica telefonica,279,0.02
agenda quotidiana,268,0.02
agenda oraria,11,0.0
agenda settimanale,52,0.0
agenda mensile,130,0.0
agenda annuale,206,0.02
appendiabiti a sospensione,0,0.0
appendiabiti in camera da letto,1,0.0
appendiabiti in bagno,2,0.0
appendiabiti per corta corda,0,0.0
appendiabiti per lunga corda,0,0.0
appendiabiti a muro,32,0.0
appendiabiti da soffitto,5,0.0
appendiabiti a cappotto,0,0.0
appendiabiti da scala,0,0.0
appendiabiti automatico,0,0.0
appendiabiti meccanico,0,0.0
appendiabiti elettrico,1,0.0
appendiabiti da muro,27,0.0
appendiabiti portatile,1,0.0
appendiabiti a terra,3,0.0
appendiabiti a stendibiancheria,0,0.0
appendiabiti a gancio,4,0.0
appendiabiti da parete,31,0.0
appendiabiti con griglia,0,0.0
appendiabiti a staffa,0,0.0
appendiabiti con maniglia,1,0.0
appendiabiti su tavolo,0,0.0
appendiabiti a tenda,0,0.0
appendiabiti ad arco,0,0.0
appendiabiti a piastra,0,0.0
appendiabiti con catenella,0,0.0
appendiabiti per bagno,1,0.0
armadio a muro,48,0.0
armadio a due ante,27,0.0
cassettiera,23130,1.6
cabina armadio,1047,0.07
armadio a tre ante,22,0.0
armadio a pedane,0,0.0
armoire,86,0.01
vestiario,40614,2.8
cassettone,34200,2.36
guardaroba,29842,2.06
armadio a scomparsa,21,0.0
ippocastano,5431,0.37
comò,9425,0.65
mobiletto,11415,0.79
armadio a piazza,0,0.0
cassettone di legno,21,0.0
armadio chiuso,568,0.04
armadio verticale,28,0.0
armadio base,30,0.0
armadio cassetto,16,0.0
scaffale,42692,2.94
armadio in legno,28,0.0
armadio metallico,74,0.01
guardaroba per bambini,9,0.0
armadio da guardaroba,2,0.0
credenza,284378,19.6
stanziero,0,0.0
portafoglio,44690,3.08
borsa,35752,2.46
cartellina,9406,0.65
scatola,49094,3.38
cassetta,31474,2.16
tasca,17192,1.18
astuccio da lavoro,4,0.0
astuccio da ufficio,0,0.0
astuccio da disegno,2,0.0
astuccio da portaombrelli,0,0.0
cassetto,37236,2.56
cassettoncino,12,0.0
astuccio di plastica,22,0.0
astuccio di cuoio,20,0.0
valigetta,17538,1.21
borsa a tracolla,88,0.01
astuccio per portamonete,0,0.0
astuccio per biglietti,5,0.0
zaino,13173,0.91
cappelliera,2513,0.17
cartella,16741,1.15
album,29392,2.02
astuccio per disegni,0,0.0
portaoggetti,15598,1.07
busta,19235,1.33
borsa da spiaggia,34,0.0
cappotto,22182,1.52
valigia,40010,2.76
astuccio di pelle,21,0.0
portadocumenti,2898,0.2
portafogli,29494,2.03
portavaliglie,0,0.0
astuccio di camicie,0,0.0
astuccio per documenti,2,0.0
astuccio per chiavi,1,0.0
portasciarpa,0,0.0
astuccio per scarpe,0,0.0
martello,35294,2.44
vanga,6994,0.48
paletta,28316,1.96
pialla,4007,0.28
scalpello,26602,1.84
sega,40972,2.82
cacciavite,18238,1.26
chiave inglese,50,0.0
tonda,16561,1.14
forbice,39252,2.7
lancia,20992,1.45
penna,28584,1.96
pennello,30606,2.1
pennello per dipingere,20,0.0
pennello da parquet,0,0.0
pennello per stucco,0,0.0
pennello ad acqua,15,0.0
pennello da olio,6,0.0
pennello a scomparsa,0,0.0
pennello da makeup,11,0.0
pennello di colore,20,0.0
pennello per disegno,6,0.0
pennello ad aria compressa,0,0.0
pennello per,53,0.0
tavoletta,29902,2.06
chiodo,33690,2.32
morsa,16529,1.14
foro,25333,1.75
colla,41820,2.88
collare,36092,2.48
stucco,32392,2.24
bullone,25088,1.73
vite,44778,3.08
forbici,22189,1.53
trapano,17985,1.24
aghiello,0,0.0
ecc,11105,0.77
lime,43422,2.99
cesoie,7030,0.48
rasoio,19742,1.36
sega circolare,127,0.01
pinza,36776,2.54
pinzetta,24408,1.68
aghi,50080,3.46
spilli,9213,0.63
temperino,6860,0.48
lima,34882,2.4
forbici da toeletta,3,0.0
rasoio da barba,28,0.0
rasoio da capelli,0,0.0
punteruolo,7948,0.55
chiave a batteria,3,0.0
martelletto,4882,0.34
picco,13032,0.9
mannaia,9484,0.65
pinza da viti,0,0.0
coltellino,11040,0.76
scuotitrappo,0,0.0
trivelle,12514,0.86
scalpello da legno,21,0.0
seghetto da,57,0.0
attaccapanni,4205,0.29
badile,5181,0.36
bidone,30504,2.1
calamita,11040,0.76
corda,15027,1.04
forchetta,19429,1.34
guanto,53394,3.68
pinze,23953,1.65
ramo,18910,1.3
scala,32538,2.24
serpentina,12955,0.89
strumento,3337715,229.96
utensile,11804,0.81
ventosa,15650,1.08
zappona,6,0.0
filobus,10710,0.74
treno,33080,2.28
metropolitana,22530,1.55
monorotaia,3727,0.26
funicolare,33302,2.3
taxi,32854,2.26
autocarro,38636,2.66
pullman,35948,2.48
autobus ecologico,219,0.02
bus navetta,14551,1.0
bus a lunga percorrenza,26,0.0
bus,600430,41.36
autobus a due piani,68,0.0
bus turistico,148,0.01
autobus a terra,1,0.0
autobus a tre piani,20,0.0
autobus a nido di uccello,0,0.0
troleibus,1,0.0
minibus,23726,1.64
autobus a piano unico con due portiere,0,0.0
autobus a pianale basso,10,0.0
autocarro per linea,0,0.0
omnibus,15579,1.07
autobus a due porte,12,0.0
autobus pubblico,454,0.03
autobus urbano,238,0.02
autobus extraurbano,248,0.02
autobus filoviabile,0,0.0
tram,42702,2.94
autobus turistico,184,0.02
minibus chiamato 'giallo',0,0.0
giallo,35694,2.46
berlina,38856,2.68
suv,38682,2.66
camper,30022,2.06
furgone,33420,2.3
furgoncino,22930,1.58
spider,18285,1.26
station wagon,7302,0.5
coupe,14564,1.0
cabriolet,19356,1.34
limousine,29658,2.04
minivan,15870,1.1
pickup,31418,2.16
roadster,18488,1.28
hatchback,3422,0.24
fiat,46886,3.24
ferrari,60320,4.16
ferrari 488 gtb,139,0.01
renault,47282,3.26
volkswagen,54080,3.72
mercedes-benz,44784,3.08
porsche,20553,1.42
lamborghini,53394,3.68
ferrari f8 tributo,78,0.01
alfa romeo,6102,0.42
maserati,34694,2.4
jeep,38272,2.64
audi,22622,1.56
mini,34320,2.36
bmw,56986,3.92
lamborghini aventador,938,0.06
aston martin,1995,0.14
chevrolet,14087,0.97
lamborghini huracán,569,0.04
kia,17650,1.22
toyota,28168,1.94
volkswagen golf,1027,0.07
motociclo,33538,2.32
autobus,663876,45.74
autoarticolato,5916,0.41
monovolume,11428,0.79
coupé,42702,2.94
suv a 7 posti,25,0.0
pick-up,30836,2.12
auto sportiva,72,0.0
scooter,50306,3.46
moto,33864,2.34
bicicletta,37606,2.6
motocicletta,37296,2.56
camion,31796,2.2
camioncino,18600,1.28
automobile d'epoca,0,0.0
veicolo da competizione,41,0.0
auto,37910,2.62
auto elettrica,267,0.02
fuoristrada,21868,1.5
motore,32944,2.26
cabina doccia,364,0.03
vasca,40030,2.76
doccia,31052,2.14
wc,18729,1.29
lavabo,14324,0.99
vaschetta,14313,0.99
box doccia,1286,0.09
bidet,34738,2.4
rubinetto,18893,1.3
acqua calda,459,0.03
rubinetto della doccia,28,0.0
water,72109,4.97
scaldavivande,1813,0.12
doccetta,3682,0.25
vasca da bagno,770,0.06
bidet angolare,0,0.0
doccia con vasca,20,0.0
