exemplar,abs_freq,rel_freq
acacia,34804,2.4
cedro,23542,1.62
quercia,28244,1.94
pino,83720,5.76
robbio,3288,0.23
picea,1348,0.09
pino silvestre,1018,0.08
abete sardo,0,0.0
cedro del marmellato,0,0.0
tartaro,17051,1.17
fagio,172,0.01
fresno,1693,0.12
pioppo,31078,2.14
"tuttavia questo è solo un esempio di alcune specie di alberi che possono appartenere al genere abete, si prega di consultare i ricercatori locali per poter essere informato sulle specie che vivono nella propria zona",0,0.0
betulla,39058,2.7
faggio,28184,1.94
tuaia,4,0.0
pino verde,328,0.02
ontano,5340,0.37
olivo,51200,3.52
pineta,37696,2.6
tiglio,36996,2.54
aeroplano,27876,1.92
elicottero,30198,2.08
aeronave,2524,0.17
aerostato,3318,0.22
aeroe,10,0.0
jet,33516,2.3
aereostato,9,0.0
aeronave giovanile,0,0.0
aeronave a fusoliera,0,0.0
aeronave con corpo ovale,0,0.0
aeronave con corpo rotondo,0,0.0
aeronave con corpo quadrato,0,0.0
aeronave con corpo triangolare,0,0.0
aeronave a guscio,0,0.0
aereo nero,76,0.0
aereo di linea,25,0.0
aereo nero a lungo raggio,0,0.0
aereo bianco,70,0.0
aereo de havilland canada,2,0.0
aereo civile,102,0.0
aerea,21577,1.49
aeroplanino,3435,0.24
aerobus,3406,0.24
aerotrain,11,0.0
drone,43184,2.98
calendario,30666,2.12
diario,40702,2.8
pager,512,0.04
organizzatore,23171,1.6
schedule,6808,0.46
calendario da inghiermata,0,0.0
rubrica,35574,2.46
giornaliera,25110,1.73
mensile,17128,1.18
bimestrale,12000,0.83
settimanale,33902,2.34
mensuale,225,0.02
elenco compiuto,13,0.0
to-do list,768,0.06
scheda giornaliera,28,0.0
programmazione mensuale,0,0.0
agenda personale,520,0.04
agenda professionale,46,0.0
scheda di lavoro,22,0.0
orario,8888,0.61
programma,20269,1.4
tavolo grafico,2,0.0
tabella di aggiornamento,17,0.0
guanto,53394,3.68
scarpe,919012,63.32
calze,49642,3.42
t-shirt,35456,2.44
jeans,31070,2.14
reggiseno,18544,1.28
gambetta,11512,0.8
ginnice,0,0.0
pantaloni,49132,3.38
vestiti da bagnare,0,0.0
costumi,51644,3.56
cintura,43008,2.96
pantaloni corti,893,0.06
polo,39028,2.68
camicie,54716,3.76
magliette,44944,3.1
scarpe con tacche,0,0.0
abiti da lavoro,30,0.0
abiti per eventi,23,0.0
costumi da coprilettere,0,0.0
costumi da partire,0,0.0
scarpe ad alto calzale,0,0.0
calze di leggings,0,0.0
leggins,3596,0.25
t-shirt con ghiragge,0,0.0
jeans con guscio,0,0.0
maglietta,35332,2.44
camicia,34140,2.36
cravatta,34874,2.4
calcetterie,0,0.0
maggie,16804,1.16
occhiali,43520,3.0
berrette,992,0.06
polso di gesso,0,0.0
spazzoletta per la dente,0,0.0
schiumatorezza,0,0.0
adesivo per capelli,2,0.0
adesivo per barba,1,0.0
colla per la ricostruzione dei capelli,0,0.0
collo,37834,2.6
polso,30924,2.14
costole,21065,1.45
braccio,34464,2.38
ginocchia,48380,3.34
ginocchiali,2,0.0
piedi,72884,5.02
armadietto,32978,2.28
cassetto,37236,2.56
armadio a vuoto,1,0.0
armadio a battute,0,0.0
cassa vetrata,0,0.0
tiro,17993,1.24
gabinetto,37890,2.62
armoirino,0,0.0
armadiere,0,0.0
armadietto a scambiellamento automatica,0,0.0
armdio dei documenti,0,0.0
armoio per la musica,0,0.0
armadio di legno,44,0.0
armadio fotovoltaico,0,0.0
armadio in vetro lucido,0,0.0
armadio in vetro per l'illuminazione,0,0.0
armadio in vitrocelolina,0,0.0
armadio in vetro per libri,0,0.0
armadio ottico,1,0.0
armadio per il raddarioferro,0,0.0
armadio per la radiolujola,0,0.0
armario in lacca,0,0.0
armariere in plexiglaso,0,0.0
armadietto con tavuliera,0,0.0
vano,14129,0.97
scrivania,45254,3.12
armadio a cuneo,0,0.0
commode,450,0.03
armadio a chiusura sporgente,0,0.0
armadio antico,107,0.01
vano adibita ad armadio,0,0.0
armadio in gesso,1,0.0
armadio su tavolo,0,0.0
armadio in cucina,22,0.0
armadio sospeso,26,0.0
armadio in bagno,12,0.0
armadio scarpe,20,0.0
armadio a battenere,0,0.0
armadio da pranzo,0,0.0
armadio a doccioni,0,0.0
armadio a lattiera,0,0.0
armadio a tavolo,1,0.0
armadio da libro,1,0.0
reggibuste,0,0.0
poltrona,35906,2.48
caminetto,20653,1.42
cassettino,7542,0.52
armadio a serratura,0,0.0
cappello,34080,2.34
armadio a due porte,6,0.0
armadio a tre porte,1,0.0
armadio grande,74,0.01
armadio piccolo,30,0.0
armadio aperto,194,0.01
arredo,13107,0.9
fornace,34526,2.38
frigorifero,29542,2.04
stufetta,7660,0.52
soffionaia,0,0.0
palloncino,40142,2.76
impianto di riscaldamento,314,0.02
piastra,41884,2.88
