exemplar,abs_freq,rel_freq
abete bianco,224,0.02
abete rosso,15104,1.04
abete giallo,6,0.0
abete nero,104,0.0
abete silvestre,2,0.0
abete bianco americano,12,0.0
abete bianco europeo,3,0.0
abete rosso di norvegia,0,0.0
abete rosso della california,6,0.0
abete rosso del caucaso,1,0.0
abete rosso del nord america,0,0.0
abete rosso del siberia,0,0.0
abete rosso del colorado,3,0.0
abete rosso del marocco,0,0.0
abete rosso del montenegro,0,0.0
abete rosso del portogallo,0,0.0
abete rosso del romania,0,0.0
abete rosso del nord,48,0.0
abete bianco di colorado,0,0.0
abete bianco del nord,3,0.0
abete di douglas,21,0.0
abete di sibiria,0,0.0
abete tannino,0,0.0
abete bianco di siberia,0,0.0
abete gigante,102,0.0
abete blu,13,0.0
abete rosso di vencezia,0,0.0
abete rosso di nordamerica,0,0.0
abete rosso di colorado,0,0.0
abete rosso di washington,0,0.0
abete rosso di mugo,0,0.0
abete rosso di leyland,0,0.0
abete rosso di douglas,0,0.0
abete rosso di monterey,0,0.0
abete roverso,0,0.0
abete di nordmann,3,0.0
abete bianco di california,0,0.0
abete bianco di sibiria,0,0.0
abete rosso di scozia,0,0.0
abete rosso di caucaso,0,0.0
abete rosso di oregon,0,0.0
abete rosso di virginia,0,0.0
abeto del colorado,0,0.0
abete rosso del nord-est,0,0.0
abete rosso del nord-ovest,0,0.0
abete rosso del sibiria,0,0.0
abete bianco del siberia,0,0.0
abete bianco del caucaso,0,0.0
abete bianco della california,0,0.0
abete ros,2,0.0
aereo commerciale,43,0.0
aereo da caccia,62,0.0
aereo da trasporto militare,68,0.0
elicottero,30198,2.08
aereo da addestramento,74,0.0
aereo da ricognizione,2070,0.14
aereo da sorveglianza,25,0.0
aereo da cargo,16,0.0
aereo da turismo,44,0.0
aereo sperimentale,580,0.04
aereo solare,160,0.01
aerostato,3318,0.22
aerobus,3406,0.24
drone aereo,92,0.01
aereo idrovolante,52,0.0
aereo a elica,394,0.02
aereo a reazione,44,0.0
aereo militare,182,0.02
aereo da turismo o aviazione generale,0,0.0
aereo spia,51,0.0
aereo drone,164,0.01
aereo da alta quota,22,0.0
aereo da volo supersonico,0,0.0
aereo da ala fissa,1,0.0
aereo da,56,0.0
jet,33516,2.3
aereo di linea,25,0.0
aereo idrosostante,0,0.0
aereo a turbopropulsione,3,0.0
aereo stratosferico,32,0.0
aereo spaziale,155,0.01
aereo volante ala fissa,0,0.0
aereo volante ala variabile,0,0.0
aereo a al,1,0.0
drone,43184,2.98
aerospacio,0,0.0
elicotterista,1679,0.12
aeroporto,1439826,99.2
compagnia aerea,841,0.06
aeromodellismo,1432,0.1
aerostato dirigeabile,0,0.0
aereo da trasporto merci,16,0.0
aereo da attacco,24,0.0
aereo da trasporto,70,0.0
calendario digitale,140,0.0
calendario paper based,0,0.0
calendario personale,83,0.01
calendario di lavoro,30,0.0
calendario di studio,21,0.0
calendario di eventi,36,0.0
calendario di appuntamenti,26,0.0
calendario di progetti,6,0.0
calendario di viaggi,20,0.0
calendario di ricordi,4,0.0
calendario paper-based,0,0.0
calendario professionale,26,0.0
calendario di appointment booking,0,0.0
calendario di ritmi,1,0.0
calendario di riserve,0,0.0
calendario di pianificazione settimanale,0,0.0
calendario di pianificazione mensile,0,0.0
calendario di pianificazione annuale,0,0.0
agenda digitale,1132,0.08
agenda smartphone,0,0.0
agenda desktop,1,0.0
agenda di post-it,1,0.0
agenda da tasca,3,0.0
agenda da tavolo,21,0.0
agenda da tavolo girovago,0,0.0
calendario personalizzato,42,0.0
calendario di gara,21,0.0
calendario di viaggio,22,0.0
calendario di progetto,20,0.0
calendario di famiglia,23,0.0
calendario di mese,3,0.0
calendario di settimana,8,0.0
calendario di giorno,21,0.0
calendario da tasca,10,0.0
calendario da murale,0,0.0
calendario interattivo,86,0.01
calendario elettronico,62,0.0
calendario sincronizzato,30,0.0
calendario da tavolo,74,0.0
calendario di microsoft outlook,22,0.0
calendario google,232,0.02
calendario apple,16,0.0
calendario paper,0,0.0
calendario di post-it,0,0.0
calendario con annotazioni,0,0.0
calendario con eventi ricorrenti,0,0.0
calendario con memorie,0,0.0
calendario con appuntamenti,26,0.0
calendario con task,0,0.0
calendario con contattini,0,0.0
calendario con note,1,0.0
calendario scolastico,388,0.02
calendario liturgico,163,0.01
calendario agricolo,160,0.01
calendario solare,27,0.0
calendario lunare,205,0.01
calendario degli eventi sportivi,48,0.0
calendario degli eventi musicali,25,0.0
calendario degli eventi culturali,27,0.0
calendario degli eventi politici,0,0.0
calendario degli eventi sociali,4,0.0
vestitario,0,0.0
tavolo per abiti,0,0.0
pettine per abiti,2,0.0
appesantitore,8,0.0
tavolo rotativo,9,0.0
tavolo a ruote,0,0.0
scaffale per abiti,2,0.0
appesantitore ad asse verticale,0,0.0
appesantitore ad asse orizzontale,0,0.0
appesantitore a tamburo,0,0.0
appesantitore a rotelle,0,0.0
appesantitore a piastra,0,0.0
appesantitore a cintura,0,0.0
appesantitore a mano,0,0.0
appesantitore per scarpe,0,0.0
appesantitore per cinture,0,0.0
appesantitore per g,0,0.0
cassetta per cinture,0,0.0
barra per fermagli,0,0.0
anello per cinture,0,0.0
montante per cinture,0,0.0
montante per fodero,0,0.0
montante per cravatte,0,0.0
montante per scarpe,0,0.0
montante per gonne,0,0.0
montante per pantaloni,0,0.0
montante per vesti,0,0.0
vestiti a fusione,0,0.0
fodere per cintura,2,0.0
fodere per pantaloni,0,0.0
fodere per camicie,0,0.0
fodere per giacche,0,0.0
fodere per maglioni,0,0.0
fodere per vestiti da gala,0,0.0
fodere per vestiti da formalità,0,0.0
fodere per vestiti da pranzo,0,0.0
fodere per vestiti da gala da donna,0,0.0
fodere per vestiti da gala da uomo,0,0.0
fodere per vestiti da sposa,0,0.0
fodere per vestiti da festa,0,0.0
fodere per vestiti da lavoro,0,0.0
fodere per vestiti da sport,0,0.0
appenditura per camicie,0,0.0
appenditura per pantaloni,0,0.0
appenditura per maglioni,0,0.0
appenditura per vestiti da gala,0,0.0
appenditura per giacche,0,0.0
appenditura per jeans,0,0.0
appenditura per abiti formali,0,0.0
appenditura per abiti da notte,0,0.0
appenditura per abiti da gala formali,0,0.0
appenditura per abiti da cerimonia,0,0.0
appenditura per abiti da sposa,0,0.0
appenditura per abiti da evocazione,0,0.0
appenditura per abiti da reggiseno,0,0.0
appenditura per abiti da ginnasio,0,0.0
appenditura per abiti da lavor,0,0.0
appendice per cintura,0,0.0
appendice per colletti,0,0.0
appendice per pantaloni,0,0.0
appendice per camicie,0,0.0
appendice per maglioni,0,0.0
appendice per giacche,0,0.0
appendice per vesti da gala,0,0.0
appendice per mantelli,0,0.0
appendice per capezzoli,0,0.0
appendice per bavero,0,0.0
appendice per spalline,0,0.0
appendice per fasce,0,0.0
appendice per cravatte,0,0.0
appendice per cinturini,0,0.0
appendice per gilet,0,0.0
appendice per abiti da formalità,0,0.0
appendice per abiti da gala,0,0.0
appendice per abiti da cerimonia,0,0.0
appendice per,32,0.0
armadio a due porte,6,0.0
armadio a quattro porte,2,0.0
armadio a rotaia,0,0.0
armario a scomposte,0,0.0
armario a testa bassa,0,0.0
armario a testa alta,0,0.0
armario a schiena liscia,0,0.0
armario a schiena ripida,0,0.0
armario a portelle,0,0.0
armario a serrature,0,0.0
armario a ruote,0,0.0
armario a scomposte con porta,0,0.0
armario a scomposte senza porta,0,0.0
armario per bambini,0,0.0
armario per documei,0,0.0
armario per vestiti,0,0.0
armario per,2,0.0
armadio a porta rovescia,0,0.0
arredo a scaffoldatura,0,0.0
arredo a scompartimenti,0,0.0
arredo a stucco,0,0.0
arredo a vetro,0,0.0
arredo a serratura,0,0.0
arredo a cassettone,0,0.0
arredo a bilancia,0,0.0
arredo a testiera,0,0.0
arredo a ruote,0,0.0
arredo a sospensione,1,0.0
arredo a falda,0,0.0
arredo a colonna,1,0.0
arredo a parete,21,0.0
arredo a tiro,0,0.0
arredo a cassette,0,0.0
arredo a scaffale,0,0.0
arredo a t,0,0.0
arredo a tamburo,0,0.0
arredo a scomposte,0,0.0
arredo a vetrina,0,0.0
arredo a due porte,0,0.0
arredo a quattro porte,0,0.0
arredo a scomparti,0,0.0
arredo a serratura digitale,0,0.0
arredo a serratura a chiave,0,0.0
arredo a serratura combinata,0,0.0
arredo a serratura elettrica,0,0.0
arredo a serratura smart,0,0.0
arredo a serratura biometrico,0,0.0
arredo a s,0,0.0
arredo a porta piana,0,0.0
armatore,17685,1.22
armario per libri,0,0.0
armario per musica,0,0.0
armario per documenti,0,0.0
armario per cucina,0,0.0
armario per bagno,0,0.0
armario per armi,0,0.0
armario per dischi,0,0.0
armario per scarpe,0,0.0
armario per abiti formali,0,0.0
armario per cassette da musica,0,0.0
armario per biciclette,0,0.0
armario per armi da caccia,0,0.0
armadio a portelle,0,0.0
arredo per cameretta,21,0.0
