exemplar,abs_freq,rel_freq
abete di douglas,21,0.0
abete bianco,224,0.02
abete rosso,15104,1.04
abete del colorado,27,0.0
abete di nordmann,3,0.0
abete nobile,10,0.0
abete di picea,0,0.0
abete di siberia,0,0.0
abete di vancouver,3,0.0
abete di fraser,23,0.0
abete di nobile,0,0.0
abete di serbia,2,0.0
abete di grecia,0,0.0
abete di virginia,0,0.0
abete di cork,0,0.0
abete di lamarck,0,0.0
abete di mugho,0,0.0
abete di sawara,0,0.0
abete di tsuga,0,0.0
abete di thuya,0,0.0
abete di metasequoia,0,0.0
abete di ketele,0,0.0
abete di spagna,21,0.0
abete del caucaso,61,0.0
abete di sitka,8,0.0
abete di macedonia,1,0.0
abete di jack,0,0.0
abete di bristlecone,0,0.0
abete di foxtail,0,0.0
abete di santa lucia,2,0.0
abete di subalpino,0,0.0
abete di hemlock,0,0.0
ab,17689,1.22
abete di farges,2,0.0
abete di nootka,0,0.0
abete di sacramento,0,0.0
abete di cilicia,1,0.0
abete di rumelia,0,0.0
abete di bulgaria,0,0.0
abete di siebold,0,0.0
abete di nikko,0,0.0
abete di je,0,0.0
abete di gmelin,0,0.0
abete di ciliegia,0,0.0
abete di guatemala,0,0.0
abete di oaxaca,0,0.0
abete di durango,0,0.0
abete di chihuahua,0,0.0
abete di pfitzer,0,0.0
abete di noble,0,0.0
abete di sardegna,0,0.0
abete di cefalonia,19,0.0
abete di picea omorika,0,0.0
abete di picea mariana,0,0.0
abete di picea glauca,0,0.0
abete di picea sitchensis,0,0.0
abete di picea engelmannii,0,0.0
abete di picea abies,0,0.0
abete di picea je,0,0.0
aereo da combattimento,102,0.0
aereo da trasporto,70,0.0
aereo da turismo,44,0.0
aereo da addestramento,74,0.0
aereo da caccia,62,0.0
aereo da pattugliamento marittimo,22,0.0
aereo da ricognizione,2070,0.14
aereo da traino alianti,11,0.0
aereo da trasporto passeggeri,20,0.0
aereo acrobatico,343,0.02
aereo anfibio,156,0.01
aereo cargo,70,0.0
aereo da collegamento,117,0.01
aereo da osservazione,54,0.0
aereo da soccorso,4,0.0
aereo da spionaggio,4,0.0
aereo da attacco al suolo,30,0.0
aereo da traino banner,0,0.0
aereo da spion,0,0.0
aereo da trasporto merci,16,0.0
aereo a getto,40,0.0
aereo a elica,394,0.02
aereo a reazione,44,0.0
aereo leggero,252,0.02
aereo ultralegger,0,0.0
aereo da allenamento,2,0.0
aereo da traino bersagli,8,0.0
aereo da soccorso aereo,0,0.0
aereo da bombardamento,30,0.0
aereo da cargo,16,0.0
aereo da trasporto truppe,15,0.0
aereo bombardiere,124,0.01
