exemplar,abs_freq,rel_freq
abete rosso,15104,1.04
abete bianco,224,0.02
abete d silver,0,0.0
abete canadese,74,0.01
abete colorato,13,0.0
abete nano,23,0.0
abete norvege,0,0.0
abete di douglas,21,0.0
abete dei boschi,6,0.0
abete dello himalaya,0,0.0
abete argentato,48,0.0
abete dei caucasian,0,0.0
abete del colorado,27,0.0
abete dei pirenei,1,0.0
abete di oregone,0,0.0
abete del alaska,1,0.0
abete di engadine,0,0.0
abete blu,13,0.0
abete delle roche,0,0.0
abete della catawba,0,0.0
abete della virginia,0,0.0
abete del monte carro,0,0.0
abete del giappone,0,0.0
abete silver,2,0.0
abete dei laghi,0,0.0
abete dell'himalaya,0,0.0
abete del cile,0,0.0
abete di norfolk,0,0.0
albero diabeti,0,0.0
abete dei prati,0,0.0
abete cembro,0,0.0
abete di nordmann,3,0.0
abete del kazakistan,0,0.0
jet,33516,2.3
cessna,3183,0.22
aereo da trasporto,70,0.0
aereo militare,182,0.02
aereo a elica,394,0.02
aereo ad ala fissa,36,0.0
aeroplano,27876,1.92
aereo da caccia,62,0.0
aereo da guerra,80,0.0
aereo da ricognizione,2070,0.14
aereo da soccorso,4,0.0
aereo da turismo,44,0.0
aereo da trasporto truppe,15,0.0
aereo da addestramento,74,0.0
dirigibile,12297,0.85
aerosilos,0,0.0
aereo spia,51,0.0
aereo da combattimento,102,0.0
elicottero,30198,2.08
aereo a reazione,44,0.0
aereo senza pilota,182,0.01
aereo di linea,25,0.0
aereo da battaglia,17,0.0
aereo da attacco al suolo,30,0.0
jet privato,201,0.01
aereo sperimentale,580,0.04
drone,43184,2.98
velivolo,15743,1.08
airbus,19828,1.37
boeing,38034,2.62
agenda cartacea,28,0.0
agenda elettronica,38,0.0
google agenda,5,0.0
ical,878,0.06
calendario a parete,21,0.0
planner,32956,2.28
agenda condivisa,37,0.0
google calendar,262,0.02
outlook calendar,18,0.0
yahoo calendar,14,0.0
android calendar,0,0.0
iphone calendar,2,0.0
week calendar,18,0.0
any.do calendar,0,0.0
cozi calendar,0,0.0
familywall calendar,0,0.0
mystudylife calendar,0,0.0
tascabile,16528,1.14
da tavolo,46,0.0
electrondina,0,0.0
professionale,18210,1.25
cartacea,25127,1.73
digitale,18961,1.31
settimanale,33902,2.34
mensile,17128,1.18
annuale,22089,1.52
agenda online,386,0.03
agenda stampabile,2,0.0
agenda a parete,0,0.0
agenda settimanale,52,0.0
agenda mensile,130,0.0
agenda annuale,206,0.02
agenda virtuale,132,0.01
agenda digitale,1132,0.08
agenda cartacea personale,0,0.0
agenda aziendale,24,0.0
agenda virtuale condivisa,3,0.0
agenda elettronica sincronizzata,1,0.0
appendiabiti a parete,25,0.0
porte-appendi,0,0.0
porta-abiti,113,0.01
supporti appendiabiti,1,0.0
portatovaglioli,890,0.06
porta-cappelli,2,0.0
porta-guanciali,1,0.0
porta-abiti multifunzione,0,0.0
porta abiti,447,0.03
appendiabiti pieghevole,20,0.0
stenditoio per vestiti,1,0.0
appendiabiti portatilio,0,0.0
gruccia da parete,0,0.0
attaccapanni per parete,0,0.0
porta abiti da pavimento,0,0.0
appendino da camino,0,0.0
porta abiti da doccia,0,0.0
appendiabiti per bagno,1,0.0
attaccapanni da giardino,0,0.0
supporto per tende,18,0.0
supporto per asciugamani,3,0.0
portaombrelli,2318,0.16
porta guanti,77,0.01
appendiabiti portatile,1,0.0
appendiabiti a piantana,21,0.0
appendiabiti a collo d'oca,0,0.0
appendiabiti con ruote,12,0.0
appendiabiti da viaggio,2,0.0
appendiabiti da giardino,0,0.0
appendiabiti a sacco,0,0.0
appendiabiti con specchio,18,0.0
appendiabiti per bambini,17,0.0
appendiabiti multifunzione,4,0.0
portaabiti,37,0.0
sostegno porta-abiti,0,0.0
gruccia,6253,0.43
attaccapanni,4205,0.29
armadio a muro,48,0.0
armadio guardaroba,167,0.01
armadio a cassetti,24,0.0
armadio sospeso,26,0.0
armadio a colonne,2,0.0
armadio guardaroba con anta,0,0.0
armadio guardaroba senza anta,0,0.0
armadio a due ante,27,0.0
armadio a tre ante,22,0.0
guardaroba,29842,2.06
armadio open-space,0,0.0
armadio a scomparsa,21,0.0
armadio da cucina,28,0.0
armadio da bagno,12,0.0
armadio walk-in,37,0.0
guardaroba a ponte,5,0.0
armadio a ponte,24,0.0
armadio a colonna,20,0.0
armadio a specchio,25,0.0
armadio con ante scorrevoli,32,0.0
armadio per scrivania,0,0.0
armadio a incasso,13,0.0
guardaroba a giorno,14,0.0
armadio guardaroba in stile rustico,0,0.0
armadio guardaroba in stile moderno,1,0.0
chiffonier,28,0.0
armadio con specchio,26,0.0
"armadio a due ante,",0,0.0
"armadio a due ante senza maniglie,",0,0.0
"armadio a tre ante,",0,0.0
"armadio a quattro ante,",0,0.0
"armadio a ante scorrevoli,",0,0.0
"armadio a metà altezza e a tutta altezza,",0,0.0
"armadio guardaroba,",0,0.0
"armadio con cassetti,",0,0.0
"armadio con specchio,",0,0.0
"armadio personalizzato,",0,0.0
"armadio a tempo,",0,0.0
"armadio a ribalta,",0,0.0
"armadio scala,",0,0.0
"armadio con illuminazione,",0,0.0
armadio a parete,24,0.0
astuccio di scuola,20,0.0
astuccio da lavoro,4,0.0
astuccio da trucco,8,0.0
astuccio da makeup,0,0.0
astuccio da gioielliere,0,0.0
astuccio per occhiali,23,0.0
astuccio per medicinali,0,0.0
astuccio per chiavi,1,0.0
astuccio per cellulare,2,0.0
astuccio per matite,29,0.0
astuccio per penne,22,0.0
astuccio per penne a sfera,0,0.0
astuccio per acquerelli,0,0.0
astuccio per pennarello,0,0.0
astuccio per pittura a olio,0,0.0
astuccio per trucchi,3,0.0
astuccio per gioielli,21,0.0
astuccio per dentifricio e spazzolino,0,0.0
astuccio termico,10,0.0
astuccio per occhiali da sole,4,0.0
astuccio da disegno,2,0.0
astuccio per pennarelli,0,0.0
astuccio per forniture da ufficio,0,0.0
astuccio per smartphone,3,0.0
astuccio per monete,1,0.0
astuccio per make-up,0,0.0
astuccio per attrezzi,0,0.0
astuccio per carte da gioco,0,0.0
astuccio per sigarette elettroniche,1,0.0
astuccio per capsule di caffe,0,0.0
penna,28584,1.96
matita,26406,1.82
evidenziatore,3133,0.22
righello,23782,1.64
pennarello,12343,0.85
penna a sfera,66,0.0
penna biro,522,0.04
astuccio portapenne,88,0.01
astuccio portastampanti,0,0.0
astuccio da bijouteria,0,0.0
astuccio da cucito,0,0.0
astuccio portaoggetti,8,0.0
astuccio da make-up,1,0.0
scalpello,26602,1.84
martello,35294,2.44
chiave inglese,50,0.0
trapano,17985,1.24
cacciavite,18238,1.26
pinza,36776,2.54
tenaglia,13689,0.94
metro a nastro,28,0.0
livella,8934,0.62
pennello,30606,2.1
trapani,26028,1.79
chiave a ralla,0,0.0
seghetto alternativo,106,0.01
pompa,39518,2.72
seghetto,14008,0.96
pala,32460,2.24
badile,5181,0.36
zappa,17758,1.22
piccone,11022,0.76
lima,34882,2.4
forbice,39252,2.7
spatola,24642,1.7
autobus turistico,184,0.02
autobus scuolabus,0,0.0
autobus urbani,412,0.02
autobus intercity,69,0.0
autobus a due piani,68,0.0
autobus con aria condizionata,22,0.0
autobus urbano,238,0.02
autobus interurbano,98,0.0
pullman,35948,2.48
bus turistico,148,0.01
bus scolastico,221,0.02
bus navetta,2116,0.15
bus notturno,45,0.0
bus a due piani,21,0.0
bus a due piani aperti,0,0.0
bus con aria condizionata,25,0.0
bus conwi-fi,0,0.0
bus elettrico,28,0.0
bus a benzina,1,0.0
bus a gas naturale,8,0.0
bus ibrido,128,0.01
minibus,23726,1.64
autobus scolastico,342,0.02
autobus articolato,150,0.02
autobus elettrico,70,0.0
autobus ibrido,56,0.0
autobus da viaggio,7,0.0
autobus a 2 piani,34,0.0
autobus privato,948,0.06
autobus di linea,27,0.0
autobus di notte,54,0.0
berline,9119,0.63
suv,38682,2.66
coupé,42702,2.94
cabriolet,19356,1.34
station wagon,7302,0.5
monovolume,11428,0.79
furgone,33420,2.3
pick-up,30836,2.12
jeep,38272,2.64
furgoncino,22930,1.58
auto,37910,2.62
moto,33864,2.34
camper,30022,2.06
cabrio,19615,1.35
berlina,38856,2.68
wagon,36638,2.52
4x4,18565,1.28
hatchback,3422,0.24
crossover,47046,3.24
convertibile,37580,2.58
roadster,18488,1.28
pickup,31418,2.16
minivan,15870,1.1
utility vehicle,502,0.03
autovettura,23129,1.59
automezzo,22315,1.54
fuoristrada,21868,1.5
utilitaria,19338,1.33
vasca da bagno,770,0.06
doccia,31052,2.14
lavandino,37944,2.62
water,72109,4.97
bidet,34738,2.4
wc,18729,1.29
specchio,37906,2.62
armadietto,32978,2.28
accessori da bagno,20,0.0
bidè,2086,0.14
lavabo,14324,0.99
asciugatrice,29346,2.02
rubinetteria,12759,0.88
wc sospeso,73,0.01
cassetta dello scarico,54,0.0
水盆,0,0.0
"bidè""",0,0.0
pieno asciugatrice,0,0.0
armadio,42558,2.94
mobili da bagno,28,0.0
accessori per bagno,41,0.0
tappeto da bagno,44,0.0
piletti da bagno,0,0.0
balcone francese,36,0.0
balcone incassato,103,0.01
balcone aggettante,198,0.01
balcone a tutto tondo,0,0.0
balcone loggiato,24,0.0
balcone panoramico,272,0.02
terrazza,608470,41.92
balcone aloggia,0,0.0
balcone balcone,59,0.0
balcone grande,30,0.0
balcone scoperto,21,0.0
balcone coperto,110,0.0
balcone adiacente,68,0.0
balcone sospeso,55,0.0
balcone attico,3,0.0
balcone panoramico - balcony,0,0.0
balcone loggia - loggia,0,0.0
balcone aereo - aeriel balcony,0,0.0
balcone sospeso - hanging balcony,0,0.0
balcone terrazzino - small balcony,0,0.0
balcone aperto - open balcony,0,0.0
balcone coperto - covered balcony,0,0.0
