participant,category,category_it,concept,exemplar,clean_exemplar,rank
llama3.2-iter1,plants,piante,abete,abete di montagna,di montagna,1
llama3.2-iter1,plants,piante,abete,abete di foresta,di foresta,2
llama3.2-iter1,plants,piante,abete,abete di piantagione,di piantagione,3
llama3.2-iter1,plants,piante,abete,abete di giardino,di giardino,4
llama3.2-iter1,vehicles,veicoli,aereo,aereo da passeggeri,da passeggeri,1
llama3.2-iter1,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2
llama3.2-iter1,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,3
llama3.2-iter1,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,4
llama3.2-iter1,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,5
llama3.2-iter1,vehicles,veicoli,aereo,aereo da trasporto a lungo raggio,da trasporto a lungo raggio,6
llama3.2-iter1,vehicles,veicoli,aereo,aereo da trasporto aereo,da trasporto aereo,7
llama3.2-iter1,vehicles,veicoli,aereo,aereo da pattugliamento,da pattugliamento,8
llama3.2-iter1,vehicles,veicoli,aereo,aereo da ricerca e salvataggio,da ricerca e salvataggio,9
llama3.2-iter1,stationery,cancelleria,agenda,calendario,calendario,1
llama3.2-iter1,stationery,cancelleria,agenda,piano,piano,2
llama3.2-iter1,stationery,cancelleria,agenda,elenco,elenco,3
llama3.2-iter1,stationery,cancelleria,agenda,tabella,tabella,4
llama3.2-iter1,stationery,cancelleria,agenda,elenco di attività,elenco di attività,5
llama3.2-iter1,stationery,cancelleria,agenda,elenco di appuntamenti,elenco di appuntamenti,6
llama3.2-iter1,stationery,cancelleria,agenda,elenco di date,elenco di date,7
llama3.2-iter1,stationery,cancelleria,agenda,elenco di obiettivi,elenco di obiettivi,8
llama3.2-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,cassettone,cassettone,1
llama3.2-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,cassettiera,cassettiera,2
llama3.2-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,cassettiera a muro,cassettiera a muro,3
llama3.2-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,cassettiera a tenda,cassettiera a tenda,4
llama3.2-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,cassettiera a tenda con cassetta,cassettiera a tenda con cassetta,5
llama3.2-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,cassettiera a tenda con cassetta e vetro,cassettiera a tenda con cassetta e vetro,6
llama3.2-iter1,furniture,mobili,armadio,armadio a muro,a muro,1
llama3.2-iter1,furniture,mobili,armadio,armadio a cassettone,a cassettone,2
llama3.2-iter1,furniture,mobili,armadio,armadio a stile,a stile,3
llama3.2-iter1,furniture,mobili,armadio,armadio a vetro,a vetro,4
llama3.2-iter1,furniture,mobili,armadio,armadio a porta,a porta,5
llama3.2-iter1,furniture,mobili,armadio,armadio da letto,da letto,6
llama3.2-iter1,furniture,mobili,armadio,armadio da cucina,da cucina,7
llama3.2-iter1,furniture,mobili,armadio,armadio da bagno,da bagno,8
llama3.2-iter1,stationery,cancelleria,astuccio,cappello,cappello,1
llama3.2-iter1,stationery,cancelleria,astuccio,guanti,guanti,2
llama3.2-iter1,stationery,cancelleria,astuccio,guanti da lavoro,guanti da lavoro,3
llama3.2-iter1,stationery,cancelleria,astuccio,guanti da neve,guanti da neve,4
llama3.2-iter1,stationery,cancelleria,astuccio,guanti da sci,guanti da sci,5
llama3.2-iter1,stationery,cancelleria,astuccio,guanti da cucina,guanti da cucina,6
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici,forbici,1
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici da cucito,forbici da cucito,2
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici da giardinaggio,forbici da giardinaggio,3
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici da pesca,forbici da pesca,4
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici da cucina,forbici da cucina,5
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici da barba,forbici da barba,6
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici da legno,forbici da legno,7
llama3.2-iter1,hobbies,passatempi,attrezzo,forbici da unguento,forbici da unguento,8
llama3.2-iter1,vehicles,veicoli,autobus,autobus urbano,urbano,1
llama3.2-iter1,vehicles,veicoli,autobus,autobus interurbano,interurbano,2
llama3.2-iter1,vehicles,veicoli,autobus,autobus notturno,notturno,3
llama3.2-iter1,vehicles,veicoli,autobus,autobus a lungo percorso,a lungo percorso,4
llama3.2-iter1,vehicles,veicoli,autobus,autobus a lungo percorso con fermate,a lungo percorso con fermate,5
llama3.2-iter1,vehicles,veicoli,autobus,autobus a linea,a linea,6
llama3.2-iter1,vehicles,veicoli,autobus,autobus a linea con fermate,a linea con fermate,7
llama3.2-iter1,vehicles,veicoli,autobus,autobus a linea con fermate e parcheggio,a linea con fermate e parcheggio,8
llama3.2-iter1,vehicles,veicoli,automobile,auto,auto,1
llama3.2-iter1,vehicles,veicoli,automobile,motocicletta,motocicletta,2
llama3.2-iter1,vehicles,veicoli,automobile,autobus,autobus,3
llama3.2-iter1,vehicles,veicoli,automobile,camion,camion,4
llama3.2-iter1,vehicles,veicoli,automobile,scooter,scooter,5
llama3.2-iter1,vehicles,veicoli,automobile,motocicletta da neve,motocicletta da neve,6
llama3.2-iter1,vehicles,veicoli,automobile,motocicletta da montagna,motocicletta da montagna,7
llama3.2-iter1,housing buildings,edifici residenziali,bagno,doccia,doccia,1
llama3.2-iter1,housing buildings,edifici residenziali,bagno,vasca,vasca,2
llama3.2-iter1,housing buildings,edifici residenziali,bagno,bidet,bidet,3
llama3.2-iter1,housing buildings,edifici residenziali,bagno,lavabo,lavabo,4
llama3.2-iter1,housing buildings,edifici residenziali,bagno,lavandino,lavandino,5
llama3.2-iter1,housing buildings,edifici residenziali,bagno,wc,wc,6
llama3.2-iter1,housing buildings,edifici residenziali,balcone,scale,scale,1
llama3.2-iter1,housing buildings,edifici residenziali,balcone,scale a pié,scale a pié,2
llama3.2-iter1,housing buildings,edifici residenziali,balcone,scale a manovella,scale a manovella,3
llama3.2-iter1,housing buildings,edifici residenziali,balcone,scale a cassetta,scale a cassetta,4
llama3.2-iter1,housing buildings,edifici residenziali,balcone,scale a puleggia,scale a puleggia,5
llama3.2-iter1,housing buildings,edifici residenziali,balcone,scale a manovella elettrica,scale a manovella elettrica,6
llama3.2-iter1,housing buildings,edifici residenziali,balcone,scale a manovella elettrica con cassetta,scale a manovella elettrica con cassetta,7
llama3.2-iter1,plants,piante,basilico,basilico comune,comune,1
llama3.2-iter1,plants,piante,basilico,basilico di genova,di genova,2
llama3.2-iter1,plants,piante,basilico,basilico di napoli,di napoli,3
llama3.2-iter1,plants,piante,basilico,basilico di sicilia,di sicilia,4
llama3.2-iter1,plants,piante,basilico,basilico di calabria,di calabria,5
llama3.2-iter1,plants,piante,basilico,basilico di puglia,di puglia,6
llama3.2-iter1,plants,piante,basilico,basilico di sibillini,di sibillini,7
llama3.2-iter1,plants,piante,basilico,basilico di prealpi,di prealpi,8
llama3.2-iter1,plants,piante,basilico,basilico di alpi,di alpi,9
llama3.2-iter1,plants,piante,basilico,basilico di appennini,di appennini,10
llama3.2-iter1,kitchenware,utensili da cucina,bicchiere,bicchiere da vino,da vino,1
llama3.2-iter1,kitchenware,utensili da cucina,bicchiere,bicchiere da acqua,da acqua,2
llama3.2-iter1,kitchenware,utensili da cucina,bicchiere,bicchiere da caffè,da caffè,3
llama3.2-iter1,kitchenware,utensili da cucina,bicchiere,bicchiere da soda,da soda,4
llama3.2-iter1,kitchenware,utensili da cucina,bicchiere,bicchiere da bibita,da bibita,5
llama3.2-iter1,kitchenware,utensili da cucina,bicchiere,bicchiere da cocktail,da cocktail,6
llama3.2-iter1,kitchenware,utensili da cucina,bicchiere,bicchiere da frutta,da frutta,7
llama3.2-iter1,vehicles,veicoli,bicicletta,mountain bike,mountain bike,1
llama3.2-iter1,vehicles,veicoli,bicicletta,bicicletta da strada,da strada,2
llama3.2-iter1,vehicles,veicoli,bicicletta,bicicletta da pista,da pista,3
llama3.2-iter1,vehicles,veicoli,bicicletta,bicicletta da mountain bike,da mountain bike,4
llama3.2-iter1,vehicles,veicoli,bicicletta,bicicletta da corsa,da corsa,5
llama3.2-iter1,vehicles,veicoli,bicicletta,bicicletta da bambini,da bambini,6
llama3.2-iter1,vehicles,veicoli,bicicletta,bicicletta da neve,da neve,7
llama3.2-iter1,vehicles,veicoli,bicicletta,bicicletta elettrica,elettrica,8
llama3.2-iter1,body parts,parti del corpo,bocca,labbra,labbra,1
llama3.2-iter1,body parts,parti del corpo,bocca,narice,narice,2
llama3.2-iter1,body parts,parti del corpo,bocca,lingua,lingua,3
llama3.2-iter1,body parts,parti del corpo,bocca,gola,gola,4
llama3.2-iter1,body parts,parti del corpo,bocca,naso,naso,5
llama3.2-iter1,body parts,parti del corpo,braccio,braccio umano,umano,1
llama3.2-iter1,body parts,parti del corpo,braccio,braccio di un animale,di un animale,2
llama3.2-iter1,body parts,parti del corpo,braccio,braccio di una macchina,di una macchina,3
llama3.2-iter1,body parts,parti del corpo,braccio,braccio di un albero,di un albero,4
llama3.2-iter1,body parts,parti del corpo,braccio,braccio di una struttura,di una struttura,5
llama3.2-iter1,plants,piante,cactus,aloe,aloe,1
llama3.2-iter1,plants,piante,cactus,cardone,cardone,2
llama3.2-iter1,plants,piante,cactus,echeveria,echeveria,3
llama3.2-iter1,plants,piante,cactus,epiphyte,epiphyte,4
llama3.2-iter1,plants,piante,cactus,gasteria,gasteria,5
llama3.2-iter1,plants,piante,cactus,mammillaria,mammillaria,6
llama3.2-iter1,plants,piante,cactus,opuntia,opuntia,7
