participant,category,category_it,concept,exemplar,clean_exemplar,rank
llava-iter1,plants,piante,abete,pino,pino,1
llava-iter1,plants,piante,abete,pino d'alpe,pino d'alpe,2
llava-iter1,plants,piante,abete,pino nobile,pino nobile,3
llava-iter1,plants,piante,abete,pino silvestre,pino silvestre,4
llava-iter1,plants,piante,abete,pino mugo,pino mugo,5
llava-iter1,plants,piante,abete,pino laricio,pino laricio,6
llava-iter1,plants,piante,abete,pino cembro,pino cembro,7
llava-iter1,plants,piante,abete,pino d'acqua,pino d'acqua,8
llava-iter1,plants,piante,abete,pino d'italia,pino d'italia,9
llava-iter1,plants,piante,abete,pino d'aleppo,pino d'aleppo,10
llava-iter1,plants,piante,abete,pino d'aquitania,pino d'aquitania,11
llava-iter1,plants,piante,abete,pino d'austria,pino d'austria,12
llava-iter1,plants,piante,abete,pino d'armenia,pino d'armenia,13
llava-iter1,plants,piante,abete,pino d,pino d,14
llava-iter1,vehicles,veicoli,aereo,aereo con ali,con ali,1
llava-iter1,vehicles,veicoli,aereo,aereo con elica,con elica,2
llava-iter1,vehicles,veicoli,aereo,aereo con elica e ali,con elica e ali,3
llava-iter1,vehicles,veicoli,aereo,aereo con ali e motore,con ali e motore,4
llava-iter1,vehicles,veicoli,aereo,aereo con ali e motore a elica,con ali e motore a elica,5
llava-iter1,vehicles,veicoli,aereo,aereo con ali e motore a elica e elica,con ali e motore a elica e elica,6
llava-iter1,vehicles,veicoli,aereo,aereo con ali e motore a elica e elica e ali,con ali e motore a elica e elica e ali,7
llava-iter1,vehicles,veicoli,aereo,aereo con ali e motore a elica e elica e ali e elica,con ali e motore a elica e elica e ali e elica,8
llava-iter1,vehicles,veicoli,aereo,aereo con ali e motore a elica e elica e ali e elica e elica,con ali e motore a elica e elica e ali e elica e elica,9
llava-iter1,stationery,cancelleria,agenda,calendario,calendario,1
llava-iter1,stationery,cancelleria,agenda,diario,diario,2
llava-iter1,stationery,cancelleria,agenda,agenda digitale,digitale,3
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro,di lavoro,4
llava-iter1,stationery,cancelleria,agenda,agenda personalizzata,personalizzata,5
llava-iter1,stationery,cancelleria,agenda,agenda di viaggio,di viaggio,6
llava-iter1,stationery,cancelleria,agenda,agenda di famiglia,di famiglia,7
llava-iter1,stationery,cancelleria,agenda,agenda di studio,di studio,8
llava-iter1,stationery,cancelleria,agenda,agenda di eventi,di eventi,9
llava-iter1,stationery,cancelleria,agenda,agenda di appuntamenti,di appuntamenti,10
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro personale,di lavoro personale,11
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro professionale,di lavoro professionale,12
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro scolastico,di lavoro scolastico,13
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro universitario,di lavoro universitario,14
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro di un'azienda,di lavoro di un'azienda,15
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro di un'organizzazione,di lavoro di un'organizzazione,16
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro di un'associazione,di lavoro di un'associazione,17
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro di un'associazione sportiva,di lavoro di un'associazione sportiva,18
llava-iter1,stationery,cancelleria,agenda,agenda di lavoro di,di lavoro di,19
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,hangar,hangar,1
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,pannello,pannello,2
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo,tavolo,3
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di legno,tavolo di legno,4
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di plastica,tavolo di plastica,5
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di carta,tavolo di carta,6
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di metallo,tavolo di metallo,7
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di legno con manico,tavolo di legno con manico,8
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di plastica con manico,tavolo di plastica con manico,9
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di carta con manico,tavolo di carta con manico,10
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di metallo con manico,tavolo di metallo con manico,11
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di legno con manico e foro,tavolo di legno con manico e foro,12
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tavolo di plastica con manico e foro,tavolo di plastica con manico e foro,13
