participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
llama3.1-70b-iter1,plants,piante,abete,abete bianco,bianco,1,224.0
llama3.1-70b-iter1,plants,piante,abete,abete balsamico,balsamico,2,40.0
llama3.1-70b-iter1,plants,piante,abete,abete di douglas,di douglas,3,21.0
llama3.1-70b-iter1,plants,piante,abete,abete rosso,rosso,4,15104.0
llama3.1-70b-iter1,plants,piante,abete,abete amabile,amabile,5,2.0
llama3.1-70b-iter1,plants,piante,abete,abete di spagna,di spagna,6,21.0
llama3.1-70b-iter1,plants,piante,abete,abete di nordmann,di nordmann,7,3.0
llama3.1-70b-iter1,plants,piante,abete,abete argentato,argentato,8,48.0
llama3.1-70b-iter1,plants,piante,abete,abete marocchino,marocchino,9,0.0
llama3.1-70b-iter1,plants,piante,abete,abete del colorado,del colorado,10,27.0
llama3.1-70b-iter1,plants,piante,abete,abete delle rocce,delle rocce,11,4.0
llama3.1-70b-iter1,plants,piante,abete,abete di fraser,di fraser,12,23.0
llama3.1-70b-iter1,plants,piante,abete,abete gigante,gigante,13,102.0
llama3.1-70b-iter1,plants,piante,abete,abete siberiano,siberiano,14,53.0
llama3.1-70b-iter1,plants,piante,abete,abete coreano,coreano,15,10.0
llama3.1-70b-iter1,plants,piante,abete,abete giapponese,giapponese,16,4.0
llama3.1-70b-iter1,plants,piante,abete,abete di veitch,di veitch,17,0.0
llama3.1-70b-iter1,plants,piante,abete,abete di amuri,di amuri,18,0.0
llama3.1-70b-iter1,plants,piante,abete,abete di sachalin,di sachalin,19,0.0
llama3.1-70b-iter1,plants,piante,abete,abete di manciuria,di manciuria,20,2.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,1,70.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,2,102.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,3,74.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,4,2070.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da trasporto militare,da trasporto militare,5,68.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da trasporto civile,da trasporto civile,6,96.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da turismo,da turismo,7,44.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da competizione,da competizione,8,25.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da acrobazia,da acrobazia,9,12.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da ricerca,da ricerca,10,29.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da soccorso,da soccorso,11,4.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da collegamento,da collegamento,12,117.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da osservazione,da osservazione,13,54.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da attacco al suolo,da attacco al suolo,14,30.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da caccia,da caccia,15,62.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da intercettazione,da intercettazione,16,12.0
llama3.1-70b-iter1,vehicles,veicoli,aereo,aereo da pattugliamento,da pattugliamento,17,27.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda scolastica,scolastica,1,204.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda settimanale,settimanale,2,52.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda mensile,mensile,3,130.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda annuale,annuale,4,206.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda digitale,digitale,5,1132.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda cartacea,cartacea,6,28.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda personale,personale,7,520.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda aziendale,aziendale,8,24.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda di viaggio,di viaggio,9,46.0
llama3.1-70b-iter1,stationery,cancelleria,agenda,agenda di studio,di studio,10,70.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,gruccia,gruccia,1,6253.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,attaccapanni,attaccapanni,2,4205.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a muro,a muro,3,32.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a stanga,a stanga,4,0.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a ruote,a ruote,5,1.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti da parete,da parete,6,31.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti da terra,da terra,7,22.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti pieghevole,pieghevole,8,20.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a forma di albero,a forma di albero,9,5.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a forma di ombrello,a forma di ombrello,10,0.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a forma di scala,a forma di scala,11,0.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a forma di griglia,a forma di griglia,12,0.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a forma di rastrello,a forma di rastrello,13,0.0
llama3.1-70b-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a forma di ventaglio,a forma di ventaglio,14,0.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a muro,a muro,1,48.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio scorrevole,scorrevole,2,69.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a ponte,a ponte,3,24.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a giorno,a giorno,4,91.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a specchio,a specchio,5,25.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio guardaroba,guardaroba,6,167.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio cabina,cabina,7,114.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a scomparsa,a scomparsa,8,21.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a due ante,a due ante,9,27.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a tre ante,a tre ante,10,22.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a quattro ante,a quattro ante,11,26.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a sei ante,a sei ante,12,23.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a otto ante,a otto ante,13,7.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a dieci ante,a dieci ante,14,4.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a dodici ante,a dodici ante,15,1.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio a ruote,a ruote,16,1.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio angolare,angolare,17,31.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio appendiabiti,appendiabiti,18,42.0
llama3.1-70b-iter1,furniture,mobili,armadio,armadio attrezzato,attrezzato,19,163.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per occhiali,per occhiali,1,23.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per penna,per penna,2,26.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per trucco,per trucco,3,5.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per strumenti musicali,per strumenti musicali,4,0.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per pistola,per pistola,5,0.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per coltello,per coltello,6,3.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per matite,per matite,7,29.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per forbici,per forbici,8,1.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per ago e filo,per ago e filo,9,0.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per pennelli,per pennelli,10,5.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per scalpelli,per scalpelli,11,0.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per bisturi,per bisturi,12,0.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per pietre preziose,per pietre preziose,13,0.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per orologi,per orologi,14,14.0
llama3.1-70b-iter1,stationery,cancelleria,astuccio,astuccio per gioielli,per gioielli,15,21.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,martello,martello,1,35294.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite,cacciavite,2,18238.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,pinza,pinza,3,36776.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,tenaglia,tenaglia,4,13689.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,scalpello,scalpello,5,26602.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cesoia,cesoia,6,9726.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,forbici,forbici,7,22189.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,trapano,trapano,8,17985.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,sega,sega,9,40972.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,livella,livella,10,8934.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,chiave inglese,chiave inglese,11,50.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite a stella,cacciavite a stella,12,37.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite piatto,cacciavite piatto,13,28.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite a croce,cacciavite a croce,14,20.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite a testa svasata,cacciavite a testa svasata,15,0.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite a testa esagonale,cacciavite a testa esagonale,16,0.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite a testa a stella,cacciavite a testa a stella,17,0.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite a testa a croce,cacciavite a testa a croce,18,0.0
llama3.1-70b-iter1,hobbies,passatempi,attrezzo,cacciavite a testa piatta,cacciavite a testa piatta,19,21.0
llama3.1-70b-iter1,vehicles,veicoli,autobus,autobus a due piani,a due piani,1,68.0
