participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
llama3.1-iter1,plants,piante,abete,abete rosso,rosso,1,15104.0
llama3.1-iter1,plants,piante,abete,abete bianco,bianco,2,224.0
llama3.1-iter1,plants,piante,abete,abete nero,nero,3,104.0
llama3.1-iter1,plants,piante,abete,abete fuso,fuso,4,0.0
llama3.1-iter1,plants,piante,abete,abete laricio,laricio,5,0.0
llama3.1-iter1,plants,piante,abete,abete di douglas,di douglas,6,21.0
llama3.1-iter1,plants,piante,abete,abete di nordmann,di nordmann,7,3.0
llama3.1-iter1,plants,piante,abete,abete di siberia,di siberia,8,0.0
llama3.1-iter1,plants,piante,abete,abete di giappone,di giappone,9,0.0
llama3.1-iter1,plants,piante,abete,abete di colorado,di colorado,10,0.0
llama3.1-iter1,plants,piante,abete,abete di nordamerica,di nordamerica,11,0.0
llama3.1-iter1,plants,piante,abete,abete di canada,di canada,12,0.0
llama3.1-iter1,plants,piante,abete,abete di monte carlo,di monte carlo,13,0.0
llama3.1-iter1,plants,piante,abete,abete di fraser,di fraser,14,23.0
llama3.1-iter1,plants,piante,abete,abete di sitka,di sitka,15,8.0
llama3.1-iter1,plants,piante,abete,abete di weihenstephaner,di weihenstephaner,16,0.0
llama3.1-iter1,plants,piante,abete,abete di dahuriano,di dahuriano,17,0.0
llama3.1-iter1,plants,piante,abete,abete di sakhalin,di sakhalin,18,0.0
llama3.1-iter1,plants,piante,abete,abete di kamtschatka,di kamtschatka,19,0.0
llama3.1-iter1,plants,piante,abete,ab,ab,20,17689.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da carico,da carico,1,40.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2,70.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,3,102.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da turismo,da turismo,4,44.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto di linea,da trasporto di linea,5,2.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto charter,da trasporto charter,6,0.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto cargo,da trasporto cargo,7,2.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto passeggeri,da trasporto passeggeri,8,20.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto merci,da trasporto merci,9,16.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto di emergenza,da trasporto di emergenza,10,0.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto sanitario,da trasporto sanitario,11,0.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto militare,da trasporto militare,12,68.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto vip,da trasporto vip,13,6.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto di posta,da trasporto di posta,14,0.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da trasporto di merci speciali,da trasporto di merci speciali,15,0.0
llama3.1-iter1,vehicles,veicoli,aereo,aereo da tras,da tras,16,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda cartacea,cartacea,1,28.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda digitale,digitale,2,1132.0
llama3.1-iter1,stationery,cancelleria,agenda,calendario,calendario,3,30666.0
llama3.1-iter1,stationery,cancelleria,agenda,orologio,orologio,4,36846.0
llama3.1-iter1,stationery,cancelleria,agenda,planner,planner,5,32956.0
llama3.1-iter1,stationery,cancelleria,agenda,appunti,appunti,6,24005.0
llama3.1-iter1,stationery,cancelleria,agenda,rubrica,rubrica,7,35574.0
llama3.1-iter1,stationery,cancelleria,agenda,app di gestione del tempo,app di gestione del tempo,8,7.0
llama3.1-iter1,stationery,cancelleria,agenda,appuntatore,appuntatore,9,12.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda elettronica,elettronica,10,38.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per computer,per computer,11,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per smartphone,per smartphone,12,2.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per tablet,per tablet,13,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per pc,per pc,14,2.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per macchina,per macchina,15,1.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per cellulare,per cellulare,16,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per telefono,per telefono,17,1.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per orologio,per orologio,18,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per orologio da polso,per orologio da polso,19,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per orologio da tasca,per orologio da tasca,20,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per orologio da parete,per orologio da parete,21,0.0
llama3.1-iter1,stationery,cancelleria,agenda,agenda per orologio da muro,per orologio da muro,22,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a stendibiancheria,a stendibiancheria,1,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete,a parete,2,25.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a muro,a muro,3,32.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a soffitto,a soffitto,4,4.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a molla,a parete a molla,5,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a vite,a parete a vite,6,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a clip,a parete a clip,7,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a gancio,a parete a gancio,8,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a catena,a parete a catena,9,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a cerniera,a parete a cerniera,10,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a sospensione,a parete a sospensione,11,0.0
llama3.1-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,appendiabiti a parete a s,a parete a s,12,0.0
llama3.1-iter1,furniture,mobili,armadio,armadio a muro,a muro,1,48.0
llama3.1-iter1,furniture,mobili,armadio,armadio a tre ante,a tre ante,2,22.0
llama3.1-iter1,furniture,mobili,armadio,armadio a due ante,a due ante,3,27.0
llama3.1-iter1,furniture,mobili,armadio,armadio a quattro ante,a quattro ante,4,26.0
llama3.1-iter1,furniture,mobili,armadio,armadio a cassettone,a cassettone,5,4.0
llama3.1-iter1,furniture,mobili,armadio,armadio a specchio,a specchio,6,25.0
llama3.1-iter1,furniture,mobili,armadio,armadio a scomparsa,a scomparsa,7,21.0
llama3.1-iter1,furniture,mobili,armadio,armadio a soppalco,a soppalco,8,3.0
llama3.1-iter1,furniture,mobili,armadio,armadio a soppalco a muro,a soppalco a muro,9,0.0
llama3.1-iter1,furniture,mobili,armadio,armadio a soppalco a parete,a soppalco a parete,10,0.0
llama3.1-iter1,furniture,mobili,armadio,armadio a soppalco a parete a muro,a soppalco a parete a muro,11,0.0
llama3.1-iter1,furniture,mobili,armadio,armadio a soppalco a parete a muro con cassettone,a soppalco a parete a muro con cassettone,12,0.0
llama3.1-iter1,furniture,mobili,armadio,armadio a soppalco a parete con cassettone,a soppalco a parete con cassettone,13,0.0
llama3.1-iter1,stationery,cancelleria,astuccio,borsa,borsa,1,35752.0
llama3.1-iter1,stationery,cancelleria,astuccio,cartellino,cartellino,2,17119.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta,cassetta,3,31474.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di metallo,cassetta di metallo,4,21.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di plastica,cassetta di plastica,5,28.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di legno,cassetta di legno,6,36.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di cartone,cassetta di cartone,7,20.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di pelle,cassetta di pelle,8,1.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di cuoio,cassetta di cuoio,9,2.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di cuoio di pecora,cassetta di cuoio di pecora,10,0.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di cuoio di pecora morbido,cassetta di cuoio di pecora morbido,11,0.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di cuoio di pecora morbido con chiusura a zip,cassetta di cuoio di pecora morbido con chiusura a zip,12,0.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di cuoio di pecora morbido con chiusura a cerniera,cassetta di cuoio di pecora morbido con chiusura a cerniera,13,0.0
llama3.1-iter1,stationery,cancelleria,astuccio,cassetta di,cassetta di,14,141.0
llama3.1-iter1,hobbies,passatempi,attrezzo,martello,martello,1,35294.0
llama3.1-iter1,hobbies,passatempi,attrezzo,sega,sega,2,40972.0
llama3.1-iter1,hobbies,passatempi,attrezzo,trapano,trapano,3,17985.0
llama3.1-iter1,hobbies,passatempi,attrezzo,scalpello,scalpello,4,26602.0
llama3.1-iter1,hobbies,passatempi,attrezzo,cesoie,cesoie,5,7030.0
llama3.1-iter1,hobbies,passatempi,attrezzo,forbici,forbici,6,22189.0
llama3.1-iter1,hobbies,passatempi,attrezzo,pialla,pialla,7,4007.0
llama3.1-iter1,hobbies,passatempi,attrezzo,sega circolare,sega circolare,8,127.0
llama3.1-iter1,hobbies,passatempi,attrezzo,trapano a batteria,trapano a batteria,9,37.0
llama3.1-iter1,hobbies,passatempi,attrezzo,scalpello da stucco,scalpello da stucco,10,0.0
llama3.1-iter1,hobbies,passatempi,attrezzo,cesoie da giardinaggio,cesoie da giardinaggio,11,26.0
llama3.1-iter1,hobbies,passatempi,attrezzo,forbici da cucito,forbici da cucito,12,22.0
llama3.1-iter1,hobbies,passatempi,attrezzo,pialla da legno,pialla da legno,13,3.0
llama3.1-iter1,hobbies,passatempi,attrezzo,sega da legno,sega da legno,14,23.0
llama3.1-iter1,hobbies,passatempi,attrezzo,trapano da muro,trapano da muro,15,9.0
llama3.1-iter1,hobbies,passatempi,attrezzo,scalpello da metallo,scalpello da metallo,16,1.0
llama3.1-iter1,hobbies,passatempi,attrezzo,cesoie per capelli,cesoie per capelli,17,4.0
llama3.1-iter1,hobbies,passatempi,attrezzo,forbici da barbiere,forbici da barbiere,18,28.0
llama3.1-iter1,hobbies,passatempi,attrezzo,pialla per pietra,pialla per pietra,19,0.0
llama3.1-iter1,hobbies,passatempi,attrezzo,sega da pietra,sega da pietra,20,3.0
llama3.1-iter1,vehicles,veicoli,autobus,filobus,filobus,1,10710.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a due piani,a due piani,2,68.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a tre piani,a tre piani,3,20.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a lunga percorrenza,a lunga percorrenza,4,24.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a corta percorrenza,a corta percorrenza,5,0.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a guida autonoma,a guida autonoma,6,19.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus elettrico,elettrico,7,70.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a gas,a gas,8,20.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a idrogeno,a idrogeno,9,32.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a metano,a metano,10,27.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a benzina,a benzina,11,17.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a diesel,a diesel,12,15.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a idrocarburi,a idrocarburi,13,0.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a metano compresso,a metano compresso,14,1.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a metano liquefatto,a metano liquefatto,15,0.0
llama3.1-iter1,vehicles,veicoli,autobus,autobus a metano liquefatto compress,a metano liquefatto compress,16,0.0
llama3.1-iter1,vehicles,veicoli,automobile,auto,auto,1,37910.0
llama3.1-iter1,vehicles,veicoli,automobile,camion,camion,2,31796.0
llama3.1-iter1,vehicles,veicoli,automobile,furgone,furgone,3,33420.0
llama3.1-iter1,vehicles,veicoli,automobile,camper,camper,4,30022.0
llama3.1-iter1,vehicles,veicoli,automobile,motocicletta,motocicletta,5,37296.0
llama3.1-iter1,vehicles,veicoli,automobile,scooter,scooter,6,50306.0
llama3.1-iter1,vehicles,veicoli,automobile,bicicletta,bicicletta,7,37606.0
llama3.1-iter1,vehicles,veicoli,automobile,autobus,autobus,8,663876.0
