participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
mixtral-iter1,plants,piante,abete,abete bianco,bianco,1,224.0
mixtral-iter1,plants,piante,abete,abete di douglas,di douglas,2,21.0
mixtral-iter1,plants,piante,abete,abete di spagna,di spagna,3,21.0
mixtral-iter1,plants,piante,abete,abete del caucaso,del caucaso,4,61.0
mixtral-iter1,plants,piante,abete,abete di nobilis,di nobilis,5,0.0
mixtral-iter1,plants,piante,abete,abete di picea,di picea,6,0.0
mixtral-iter1,plants,piante,abete,abete di sitka,di sitka,7,8.0
mixtral-iter1,plants,piante,abete,abete rosso,rosso,8,15104.0
mixtral-iter1,plants,piante,abete,abete di virginia,di virginia,9,0.0
mixtral-iter1,plants,piante,abete,abete di nordmann,di nordmann,10,3.0
mixtral-iter1,plants,piante,abete,abete di fraser,di fraser,11,23.0
mixtral-iter1,plants,piante,abete,abete di gmelin,di gmelin,12,0.0
mixtral-iter1,plants,piante,abete,abete di nootka,di nootka,13,0.0
mixtral-iter1,plants,piante,abete,abete di sakhalin,di sakhalin,14,0.0
mixtral-iter1,plants,piante,abete,abete di corea,di corea,15,
mixtral-iter1,plants,piante,abete,abete di vancouver,di vancouver,16,3.0
mixtral-iter1,plants,piante,abete,abete di mugho,di mugho,17,0.0
mixtral-iter1,plants,piante,abete,abete di jack,di jack,18,0.0
mixtral-iter1,plants,piante,abete,abete di lodgepole,di lodgepole,19,
mixtral-iter1,plants,piante,abete,abete di balsamo,di balsamo,20,0.0
mixtral-iter1,plants,piante,abete,abete di balsamo giapponese,di balsamo giapponese,21,
mixtral-iter1,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,1,102.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2,70.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da turismo,da turismo,3,44.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,4,74.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da caccia,da caccia,5,62.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da pattugliamento marittimo,da pattugliamento marittimo,6,22.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,7,2070.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da trasporto passeggeri,da trasporto passeggeri,8,20.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da attacco al suolo,da attacco al suolo,9,30.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da collegamento,da collegamento,10,117.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da osservazione,da osservazione,11,54.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da allenamento,da allenamento,12,2.0
mixtral-iter1,vehicles,veicoli,aereo,aereo da traino bersagli,da traino bersagli,13,8.0
