participant,category,category_it,concept,exemplar,clean_exemplar,rank
llava-iter1,plants,piante,abete,albero,albero,1
llava-iter1,plants,piante,abete,alberella,alberella,2
llava-iter1,plants,piante,abete,albero di fiori,albero di fiori,3
llava-iter1,plants,piante,abete,albero di frullati,albero di frullati,4
llava-iter1,plants,piante,abete,albero di legno,albero di legno,5
llava-iter1,plants,piante,abete,albero di legno pregiato,albero di legno pregiato,6
llava-iter1,plants,piante,abete,albero di legno tropicale,albero di legno tropicale,7
llava-iter1,plants,piante,abete,albero di legno tropicale pregiato,albero di legno tropicale pregiato,8
llava-iter1,plants,piante,abete,albero di legno tropicale di magagna,albero di legno tropicale di magagna,9
llava-iter1,plants,piante,abete,albero di legno tropicale di magagna pregiato,albero di legno tropicale di magagna pregiato,10
llava-iter1,plants,piante,abete,albero di legno tropicale di magagna pregiato di maggiore magagna,albero di legno tropicale di magagna pregiato di maggiore magagna,11
llava-iter1,plants,piante,abete,albero di legno tropicale di maggiore magagna pregiato,albero di legno tropicale di maggiore magagna pregiato,12
llava-iter2,plants,piante,abete,palma,palma,1
llava-iter2,plants,piante,abete,acacia,acacia,2
llava-iter2,plants,piante,abete,cedro,cedro,3
llava-iter2,plants,piante,abete,fico,fico,4
llava-iter2,plants,piante,abete,olivo,olivo,5
llava-iter2,plants,piante,abete,pino,pino,6
llava-iter2,plants,piante,abete,quercia,quercia,7
llava-iter2,plants,piante,abete,rovere,rovere,8
llava-iter2,plants,piante,abete,salice,salice,9
llava-iter2,plants,piante,abete,tiglio,tiglio,10
llava-iter3,plants,piante,abete,acacia,acacia,1
llava-iter3,plants,piante,abete,cedro,cedro,2
llava-iter3,plants,piante,abete,faggio,faggio,3
llava-iter3,plants,piante,abete,gelsomino,gelsomino,4
llava-iter3,plants,piante,abete,ginepro,ginepro,5
llava-iter3,plants,piante,abete,magnolia,magnolia,6
llava-iter3,plants,piante,abete,mirtillo,mirtillo,7
llava-iter3,plants,piante,abete,pino,pino,8
llava-iter3,plants,piante,abete,pino d'aleppo,pino d'aleppo,9
llava-iter3,plants,piante,abete,pino silvestre,pino silvestre,10
llava-iter3,plants,piante,abete,pino nero,pino nero,11
llava-iter3,plants,piante,abete,pino pigno,pino pigno,12
llava-iter3,plants,piante,abete,quercia,quercia,13
llava-iter3,plants,piante,abete,tartaro,tartaro,14
llava-iter3,plants,piante,abete,tassello,tassello,15
llava-iter3,plants,piante,abete,tilia,tilia,16
llava-iter3,plants,piante,abete,ulivo,ulivo,17
llava-iter3,plants,piante,abete,vigna,vigna,18
llava-iter3,plants,piante,abete,vite,vite,19
llava-iter3,plants,piante,abete,zamia,zamia,20
llava-iter3,plants,piante,abete,zarico,zarico,21
llava-iter3,plants,piante,abete,zerba,zerba,22
llava-iter3,plants,piante,abete,zerba rossa,zerba rossa,23
llava-iter3,plants,piante,abete,zerba gialla,zerba gialla,24
llava-iter3,plants,piante,abete,zerba verde,zerba verde,25
llava-iter3,plants,piante,abete,zerba bianca,zerba bianca,26
llava-iter3,plants,piante,abete,zerba nera,zerba nera,27
llava-iter3,plants,piante,abete,zerba rossa,zerba rossa,28
llava-iter4,plants,piante,abete,piante,piante,1
llava-iter4,plants,piante,abete,albero,albero,2
llava-iter4,plants,piante,abete,arbore,arbore,3
llava-iter4,plants,piante,abete,cespuglio,cespuglio,4
llava-iter4,plants,piante,abete,piante erbe,piante erbe,5
llava-iter4,plants,piante,abete,albero di natale,albero di natale,6
llava-iter4,plants,piante,abete,albero di tè,albero di tè,7
llava-iter4,plants,piante,abete,albero di mele,albero di mele,8
llava-iter4,plants,piante,abete,albero di fico,albero di fico,9
llava-iter4,plants,piante,abete,albero di limone,albero di limone,10
llava-iter4,plants,piante,abete,albero di frutta,albero di frutta,11
llava-iter4,plants,piante,abete,albero di legno,albero di legno,12
llava-iter4,plants,piante,abete,albero di legno di fiori,albero di legno di fiori,13
