participant,category,category_it,concept,exemplar,clean_exemplar,rank
mixtral-iter1,plants,piante,abete,abete di douglas,di douglas,1
mixtral-iter1,plants,piante,abete,abete bianco,bianco,2
mixtral-iter1,plants,piante,abete,abete rosso,rosso,3
mixtral-iter1,plants,piante,abete,abete del colorado,del colorado,4
mixtral-iter1,plants,piante,abete,abete di nordmann,di nordmann,5
mixtral-iter1,plants,piante,abete,abete nobile,nobile,6
mixtral-iter1,plants,piante,abete,abete di picea,di picea,7
mixtral-iter1,plants,piante,abete,abete di siberia,di siberia,8
mixtral-iter1,plants,piante,abete,abete di vancouver,di vancouver,9
mixtral-iter1,plants,piante,abete,abete di fraser,di fraser,10
mixtral-iter1,plants,piante,abete,abete di nobile,di nobile,11
mixtral-iter1,plants,piante,abete,abete di serbia,di serbia,12
mixtral-iter1,plants,piante,abete,abete di grecia,di grecia,13
mixtral-iter1,plants,piante,abete,abete di virginia,di virginia,14
mixtral-iter1,plants,piante,abete,abete di cork,di cork,15
mixtral-iter1,plants,piante,abete,abete di lamarck,di lamarck,16
mixtral-iter1,plants,piante,abete,abete di mugho,di mugho,17
mixtral-iter1,plants,piante,abete,abete di sawara,di sawara,18
mixtral-iter1,plants,piante,abete,abete di tsuga,di tsuga,19
mixtral-iter1,plants,piante,abete,abete di thuya,di thuya,20
mixtral-iter1,plants,piante,abete,abete di metasequoia,di metasequoia,21
mixtral-iter1,plants,piante,abete,abete di ketele,di ketele,22
mixtral-iter2,plants,piante,abete,abete bianco,bianco,1
mixtral-iter2,plants,piante,abete,abete di douglas,di douglas,2
mixtral-iter2,plants,piante,abete,abete rosso,rosso,3
mixtral-iter2,plants,piante,abete,abete nobile,nobile,4
mixtral-iter2,plants,piante,abete,abete di spagna,di spagna,5
mixtral-iter2,plants,piante,abete,abete del caucaso,del caucaso,6
mixtral-iter2,plants,piante,abete,abete di picea,di picea,7
mixtral-iter2,plants,piante,abete,abete di sitka,di sitka,8
mixtral-iter2,plants,piante,abete,abete di nobile,di nobile,9
mixtral-iter2,plants,piante,abete,abete di serbia,di serbia,10
mixtral-iter2,plants,piante,abete,abete di grecia,di grecia,11
mixtral-iter2,plants,piante,abete,abete di macedonia,di macedonia,12
mixtral-iter2,plants,piante,abete,abete di virginia,di virginia,13
mixtral-iter2,plants,piante,abete,abete di jack,di jack,14
mixtral-iter2,plants,piante,abete,abete di bristlecone,di bristlecone,15
mixtral-iter2,plants,piante,abete,abete di foxtail,di foxtail,16
mixtral-iter2,plants,piante,abete,abete di lamarck,di lamarck,17
mixtral-iter2,plants,piante,abete,abete di santa lucia,di santa lucia,18
mixtral-iter2,plants,piante,abete,abete di subalpino,di subalpino,19
mixtral-iter2,plants,piante,abete,abete di tsuga,di tsuga,20
mixtral-iter2,plants,piante,abete,abete di hemlock,di hemlock,21
mixtral-iter2,plants,piante,abete,ab,ab,22
mixtral-iter3,plants,piante,abete,abete bianco,bianco,1
mixtral-iter3,plants,piante,abete,abete di douglas,di douglas,2
mixtral-iter3,plants,piante,abete,abete di spagna,di spagna,3
mixtral-iter3,plants,piante,abete,abete del colorado,del colorado,4
mixtral-iter3,plants,piante,abete,abete di nordmann,di nordmann,5
mixtral-iter3,plants,piante,abete,abete di picea,di picea,6
mixtral-iter3,plants,piante,abete,abete di siberia,di siberia,7
mixtral-iter3,plants,piante,abete,abete rosso,rosso,8
mixtral-iter3,plants,piante,abete,abete di lamarck,di lamarck,9
mixtral-iter3,plants,piante,abete,abete di farges,di farges,10
mixtral-iter3,plants,piante,abete,abete di nootka,di nootka,11
mixtral-iter3,plants,piante,abete,abete di vancouver,di vancouver,12
mixtral-iter3,plants,piante,abete,abete di sacramento,di sacramento,13
mixtral-iter3,plants,piante,abete,abete di cilicia,di cilicia,14
mixtral-iter3,plants,piante,abete,abete di grecia,di grecia,15
mixtral-iter3,plants,piante,abete,abete di serbia,di serbia,16
mixtral-iter3,plants,piante,abete,abete di macedonia,di macedonia,17
mixtral-iter3,plants,piante,abete,abete di rumelia,di rumelia,18
mixtral-iter3,plants,piante,abete,abete di bulgaria,di bulgaria,19
mixtral-iter3,plants,piante,abete,abete di siebold,di siebold,20
mixtral-iter3,plants,piante,abete,abete di nikko,di nikko,21
mixtral-iter3,plants,piante,abete,abete di je,di je,22
mixtral-iter4,plants,piante,abete,abete bianco,bianco,1
mixtral-iter4,plants,piante,abete,abete di douglas,di douglas,2
mixtral-iter4,plants,piante,abete,abete di spagna,di spagna,3
mixtral-iter4,plants,piante,abete,abete del colorado,del colorado,4
mixtral-iter4,plants,piante,abete,abete di nordmann,di nordmann,5
mixtral-iter4,plants,piante,abete,abete di virginia,di virginia,6
mixtral-iter4,plants,piante,abete,abete di picea,di picea,7
mixtral-iter4,plants,piante,abete,abete rosso,rosso,8
mixtral-iter4,plants,piante,abete,abete di lamarck,di lamarck,9
mixtral-iter4,plants,piante,abete,abete di siberia,di siberia,10
mixtral-iter4,plants,piante,abete,abete di gmelin,di gmelin,11
mixtral-iter4,plants,piante,abete,abete di nootka,di nootka,12
mixtral-iter4,plants,piante,abete,abete di vancouver,di vancouver,13
mixtral-iter4,plants,piante,abete,abete di sacramento,di sacramento,14
mixtral-iter4,plants,piante,abete,abete di ciliegia,di ciliegia,15
mixtral-iter4,plants,piante,abete,abete di guatemala,di guatemala,16
mixtral-iter4,plants,piante,abete,abete di oaxaca,di oaxaca,17
mixtral-iter4,plants,piante,abete,abete di durango,di durango,18
mixtral-iter4,plants,piante,abete,abete di chihuahua,di chihuahua,19
mixtral-iter4,plants,piante,abete,abete di pfitzer,di pfitzer,20
mixtral-iter5,plants,piante,abete,abete bianco,bianco,1
mixtral-iter5,plants,piante,abete,abete rosso,rosso,2
mixtral-iter5,plants,piante,abete,abete di douglas,di douglas,3
mixtral-iter5,plants,piante,abete,abete del colorado,del colorado,4
mixtral-iter5,plants,piante,abete,abete di fraser,di fraser,5
mixtral-iter5,plants,piante,abete,abete di noble,di noble,6
mixtral-iter5,plants,piante,abete,abete di virginia,di virginia,7
mixtral-iter5,plants,piante,abete,abete di sardegna,di sardegna,8
mixtral-iter5,plants,piante,abete,abete di nordmann,di nordmann,9
mixtral-iter5,plants,piante,abete,abete di cefalonia,di cefalonia,10
mixtral-iter5,plants,piante,abete,abete di serbia,di serbia,11
mixtral-iter5,plants,piante,abete,abete di grecia,di grecia,12
mixtral-iter5,plants,piante,abete,abete di picea omorika,di picea omorika,13
mixtral-iter5,plants,piante,abete,abete di picea mariana,di picea mariana,14
mixtral-iter5,plants,piante,abete,abete di picea glauca,di picea glauca,15
mixtral-iter5,plants,piante,abete,abete di picea sitchensis,di picea sitchensis,16
mixtral-iter5,plants,piante,abete,abete di picea engelmannii,di picea engelmannii,17
mixtral-iter5,plants,piante,abete,abete di picea abies,di picea abies,18
mixtral-iter5,plants,piante,abete,abete di picea je,di picea je,19
mixtral-iter1,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,1
mixtral-iter1,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2
mixtral-iter1,vehicles,veicoli,aereo,aereo da turismo,da turismo,3
mixtral-iter1,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,4
mixtral-iter1,vehicles,veicoli,aereo,aereo da caccia,da caccia,5
mixtral-iter1,vehicles,veicoli,aereo,aereo da pattugliamento marittimo,da pattugliamento marittimo,6
mixtral-iter1,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,7
mixtral-iter1,vehicles,veicoli,aereo,aereo da traino alianti,da traino alianti,8
mixtral-iter1,vehicles,veicoli,aereo,aereo da trasporto passeggeri,da trasporto passeggeri,9
mixtral-iter1,vehicles,veicoli,aereo,aereo acrobatico,acrobatico,10
mixtral-iter1,vehicles,veicoli,aereo,aereo anfibio,anfibio,11
mixtral-iter1,vehicles,veicoli,aereo,aereo cargo,cargo,12
mixtral-iter1,vehicles,veicoli,aereo,aereo da collegamento,da collegamento,13
mixtral-iter1,vehicles,veicoli,aereo,aereo da osservazione,da osservazione,14
mixtral-iter1,vehicles,veicoli,aereo,aereo da soccorso,da soccorso,15
mixtral-iter1,vehicles,veicoli,aereo,aereo da spionaggio,da spionaggio,16
mixtral-iter2,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,1
mixtral-iter2,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2
mixtral-iter2,vehicles,veicoli,aereo,aereo da turismo,da turismo,3
mixtral-iter2,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,4
mixtral-iter2,vehicles,veicoli,aereo,aereo da caccia,da caccia,5
mixtral-iter2,vehicles,veicoli,aereo,aereo da pattugliamento marittimo,da pattugliamento marittimo,6
mixtral-iter2,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,7
mixtral-iter2,vehicles,veicoli,aereo,aereo da trasporto passeggeri,da trasporto passeggeri,8
mixtral-iter2,vehicles,veicoli,aereo,aereo da collegamento,da collegamento,9
mixtral-iter2,vehicles,veicoli,aereo,aereo acrobatico,acrobatico,10
mixtral-iter2,vehicles,veicoli,aereo,aereo anfibio,anfibio,11
mixtral-iter2,vehicles,veicoli,aereo,aereo cargo,cargo,12
mixtral-iter2,vehicles,veicoli,aereo,aereo da attacco al suolo,da attacco al suolo,13
mixtral-iter2,vehicles,veicoli,aereo,aereo da traino banner,da traino banner,14
mixtral-iter2,vehicles,veicoli,aereo,aereo da osservazione,da osservazione,15
mixtral-iter2,vehicles,veicoli,aereo,aereo da soccorso,da soccorso,16
mixtral-iter2,vehicles,veicoli,aereo,aereo da spion,da spion,17
mixtral-iter3,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,1
mixtral-iter3,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2
mixtral-iter3,vehicles,veicoli,aereo,aereo da turismo,da turismo,3
mixtral-iter3,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,4
mixtral-iter3,vehicles,veicoli,aereo,aereo da caccia,da caccia,5
mixtral-iter3,vehicles,veicoli,aereo,aereo da pattugliamento marittimo,da pattugliamento marittimo,6
mixtral-iter3,vehicles,veicoli,aereo,aereo da collegamento,da collegamento,7
mixtral-iter3,vehicles,veicoli,aereo,aereo da osservazione,da osservazione,8
mixtral-iter3,vehicles,veicoli,aereo,aereo da trasporto passeggeri,da trasporto passeggeri,9
mixtral-iter3,vehicles,veicoli,aereo,aereo da trasporto merci,da trasporto merci,10
mixtral-iter3,vehicles,veicoli,aereo,aereo acrobatico,acrobatico,11
mixtral-iter3,vehicles,veicoli,aereo,aereo anfibio,anfibio,12
mixtral-iter3,vehicles,veicoli,aereo,aereo a getto,a getto,13
mixtral-iter3,vehicles,veicoli,aereo,aereo a elica,a elica,14
mixtral-iter3,vehicles,veicoli,aereo,aereo a reazione,a reazione,15
mixtral-iter3,vehicles,veicoli,aereo,aereo leggero,leggero,16
mixtral-iter3,vehicles,veicoli,aereo,aereo ultralegger,ultralegger,17
mixtral-iter4,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,1
mixtral-iter4,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,2
mixtral-iter4,vehicles,veicoli,aereo,aereo da turismo,da turismo,3
mixtral-iter4,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,4
mixtral-iter4,vehicles,veicoli,aereo,aereo da caccia,da caccia,5
mixtral-iter4,vehicles,veicoli,aereo,aereo da pattugliamento marittimo,da pattugliamento marittimo,6
mixtral-iter4,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,7
mixtral-iter4,vehicles,veicoli,aereo,aereo da trasporto passeggeri,da trasporto passeggeri,8
mixtral-iter4,vehicles,veicoli,aereo,aereo da attacco al suolo,da attacco al suolo,9
mixtral-iter4,vehicles,veicoli,aereo,aereo da collegamento,da collegamento,10
mixtral-iter4,vehicles,veicoli,aereo,aereo da osservazione,da osservazione,11
mixtral-iter4,vehicles,veicoli,aereo,aereo da allenamento,da allenamento,12
mixtral-iter4,vehicles,veicoli,aereo,aereo da traino bersagli,da traino bersagli,13
mixtral-iter4,vehicles,veicoli,aereo,aereo da soccorso aereo,da soccorso aereo,14
mixtral-iter4,vehicles,veicoli,aereo,aereo da bombardamento,da bombardamento,15
mixtral-iter5,vehicles,veicoli,aereo,aereo da trasporto passeggeri,da trasporto passeggeri,1
mixtral-iter5,vehicles,veicoli,aereo,aereo da cargo,da cargo,2
mixtral-iter5,vehicles,veicoli,aereo,aereo da addestramento,da addestramento,3
mixtral-iter5,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,4
mixtral-iter5,vehicles,veicoli,aereo,aereo da pattugliamento marittimo,da pattugliamento marittimo,5
mixtral-iter5,vehicles,veicoli,aereo,aereo da ricognizione,da ricognizione,6
mixtral-iter5,vehicles,veicoli,aereo,aereo da trasporto truppe,da trasporto truppe,7
mixtral-iter5,vehicles,veicoli,aereo,aereo acrobatico,acrobatico,8
mixtral-iter5,vehicles,veicoli,aereo,aereo anfibio,anfibio,9
mixtral-iter5,vehicles,veicoli,aereo,aereo da turismo,da turismo,10
mixtral-iter5,vehicles,veicoli,aereo,aereo da collegamento,da collegamento,11
mixtral-iter5,vehicles,veicoli,aereo,aereo da osservazione,da osservazione,12
mixtral-iter5,vehicles,veicoli,aereo,aereo da caccia,da caccia,13
mixtral-iter5,vehicles,veicoli,aereo,aereo bombardiere,bombardiere,14
mixtral-iter5,vehicles,veicoli,aereo,aereo da trasporto vip,da trasporto vip,15
mixtral-iter5,vehicles,veicoli,aereo,aereo da attacco al suolo,da attacco al suolo,16
mixtral-iter5,vehicles,veicoli,aereo,aere,aere,17
mixtral-iter1,stationery,cancelleria,agenda,agenda digitale,digitale,1
mixtral-iter1,stationery,cancelleria,agenda,agenda di carta,di carta,2
mixtral-iter1,stationery,cancelleria,agenda,agenda settimanale,settimanale,3
mixtral-iter1,stationery,cancelleria,agenda,agenda mensile,mensile,4
mixtral-iter1,stationery,cancelleria,agenda,agenda giornaliera,giornaliera,5
mixtral-iter1,stationery,cancelleria,agenda,agenda scolastica,scolastica,6
mixtral-iter1,stationery,cancelleria,agenda,agenda per appuntamenti,per appuntamenti,7
mixtral-iter1,stationery,cancelleria,agenda,agenda personale,personale,8
mixtral-iter1,stationery,cancelleria,agenda,agenda da tavolo,da tavolo,9
mixtral-iter1,stationery,cancelleria,agenda,agenda da viaggio,da viaggio,10
mixtral-iter1,stationery,cancelleria,agenda,agenda elettronica,elettronica,11
mixtral-iter1,stationery,cancelleria,agenda,agenda planner,planner,12
mixtral-iter1,stationery,cancelleria,agenda,agenda agenda,agenda,13
mixtral-iter1,stationery,cancelleria,agenda,agenda per la pianificazione,per la pianificazione,14
mixtral-iter1,stationery,cancelleria,agenda,agenda per la produttività,per la produttività,15
mixtral-iter1,stationery,cancelleria,agenda,agenda per il lavoro,per il lavoro,16
mixtral-iter1,stationery,cancelleria,agenda,agenda per la casa,per la casa,17
mixtral-iter1,stationery,cancelleria,agenda,agenda per lo studio,per lo studio,18
mixtral-iter1,stationery,cancelleria,agenda,agenda per il tempo libero,per il tempo libero,19
mixtral-iter1,stationery,cancelleria,agenda,agenda per la famiglia,per la famiglia,20
mixtral-iter2,stationery,cancelleria,agenda,agenda giornaliera,giornaliera,1
mixtral-iter2,stationery,cancelleria,agenda,agenda settimanale,settimanale,2
mixtral-iter2,stationery,cancelleria,agenda,agenda mensile,mensile,3
mixtral-iter2,stationery,cancelleria,agenda,agenda annuale,annuale,4
mixtral-iter2,stationery,cancelleria,agenda,agenda scolastica,scolastica,5
mixtral-iter2,stationery,cancelleria,agenda,agenda da viaggio,da viaggio,6
mixtral-iter2,stationery,cancelleria,agenda,agenda elettronica,elettronica,7
mixtral-iter2,stationery,cancelleria,agenda,agenda digitale,digitale,8
mixtral-iter2,stationery,cancelleria,agenda,agenda a spirale,a spirale,9
mixtral-iter2,stationery,cancelleria,agenda,agenda pieghevole,pieghevole,10
mixtral-iter2,stationery,cancelleria,agenda,agenda da tavolo,da tavolo,11
mixtral-iter2,stationery,cancelleria,agenda,agenda da borsa,da borsa,12
mixtral-iter2,stationery,cancelleria,agenda,agenda personalizzata,personalizzata,13
mixtral-iter2,stationery,cancelleria,agenda,agenda per appuntamenti,per appuntamenti,14
mixtral-iter2,stationery,cancelleria,agenda,agenda per progetti,per progetti,15
mixtral-iter2,stationery,cancelleria,agenda,agenda per obiettivi,per obiettivi,16
mixtral-iter2,stationery,cancelleria,agenda,agenda per riunioni,per riunioni,17
mixtral-iter2,stationery,cancelleria,agenda,agenda per conferenze,per conferenze,18
mixtral-iter2,stationery,cancelleria,agenda,agenda per ripassi,per ripassi,19
mixtral-iter2,stationery,cancelleria,agenda,agenda per compleanni,per compleanni,20
mixtral-iter3,stationery,cancelleria,agenda,agenda elettronica,elettronica,1
mixtral-iter3,stationery,cancelleria,agenda,agenda di carta,di carta,2
mixtral-iter3,stationery,cancelleria,agenda,agenda digitale,digitale,3
mixtral-iter3,stationery,cancelleria,agenda,agenda settimanale,settimanale,4
mixtral-iter3,stationery,cancelleria,agenda,agenda mensile,mensile,5
mixtral-iter3,stationery,cancelleria,agenda,agenda annuale,annuale,6
mixtral-iter3,stationery,cancelleria,agenda,agenda scolastica,scolastica,7
mixtral-iter3,stationery,cancelleria,agenda,agenda da tavolo,da tavolo,8
mixtral-iter3,stationery,cancelleria,agenda,agenda da borsa,da borsa,9
mixtral-iter3,stationery,cancelleria,agenda,agenda da viaggio,da viaggio,10
mixtral-iter3,stationery,cancelleria,agenda,agenda personale,personale,11
mixtral-iter3,stationery,cancelleria,agenda,agenda professionale,professionale,12
mixtral-iter3,stationery,cancelleria,agenda,agenda editoriale,editoriale,13
mixtral-iter3,stationery,cancelleria,agenda,agenda politica,politica,14
mixtral-iter3,stationery,cancelleria,agenda,agenda cinematografica,cinematografica,15
mixtral-iter3,stationery,cancelleria,agenda,agenda televisiva,televisiva,16
mixtral-iter3,stationery,cancelleria,agenda,agenda sportiva,sportiva,17
mixtral-iter3,stationery,cancelleria,agenda,agenda culturale,culturale,18
mixtral-iter3,stationery,cancelleria,agenda,agenda turistica,turistica,19
mixtral-iter3,stationery,cancelleria,agenda,agenda sanitaria,sanitaria,20
mixtral-iter3,stationery,cancelleria,agenda,agenda didattica,didattica,21
mixtral-iter3,stationery,cancelleria,agenda,agenda di progetto,di progetto,22
mixtral-iter3,stationery,cancelleria,agenda,agenda di lavoro,di lavoro,23
mixtral-iter3,stationery,cancelleria,agenda,agenda di contatti,di contatti,24
mixtral-iter3,stationery,cancelleria,agenda,agenda di appuntamenti,di appuntamenti,25
mixtral-iter3,stationery,cancelleria,agenda,agenda telefonica,telefonica,26
mixtral-iter4,stationery,cancelleria,agenda,agenda giornaliera,giornaliera,1
mixtral-iter4,stationery,cancelleria,agenda,agenda settimanale,settimanale,2
mixtral-iter4,stationery,cancelleria,agenda,agenda mensile,mensile,3
mixtral-iter4,stationery,cancelleria,agenda,agenda annuale,annuale,4
mixtral-iter4,stationery,cancelleria,agenda,agenda scolastica,scolastica,5
mixtral-iter4,stationery,cancelleria,agenda,agenda da tavolo,da tavolo,6
mixtral-iter4,stationery,cancelleria,agenda,agenda digitale,digitale,7
mixtral-iter4,stationery,cancelleria,agenda,agenda da viaggio,da viaggio,8
mixtral-iter4,stationery,cancelleria,agenda,agenda personalizzata,personalizzata,9
mixtral-iter4,stationery,cancelleria,agenda,agenda per appuntamenti,per appuntamenti,10
mixtral-iter4,stationery,cancelleria,agenda,agenda per note,per note,11
mixtral-iter4,stationery,cancelleria,agenda,agenda per impegni di lavoro,per impegni di lavoro,12
mixtral-iter4,stationery,cancelleria,agenda,agenda per pianificazione di progetti,per pianificazione di progetti,13
mixtral-iter4,stationery,cancelleria,agenda,agenda per obiettivi personali,per obiettivi personali,14
mixtral-iter4,stationery,cancelleria,agenda,agenda per la gestione del tempo,per la gestione del tempo,15
mixtral-iter4,stationery,cancelleria,agenda,agenda per la pianificazione degli esami,per la pianificazione degli esami,16
mixtral-iter4,stationery,cancelleria,agenda,agenda per la pianificazione dei pasti,per la pianificazione dei pasti,17
mixtral-iter4,stationery,cancelleria,agenda,agenda per la pianificazione delle vacanze,per la pianificazione delle vacanze,18
mixtral-iter4,stationery,cancelleria,agenda,agenda per la gestione delle spese,per la gestione delle spese,19
mixtral-iter4,stationery,cancelleria,agenda,agenda per la pianificazione delle,per la pianificazione delle,20
mixtral-iter5,stationery,cancelleria,agenda,agenda giornaliera,giornaliera,1
mixtral-iter5,stationery,cancelleria,agenda,agenda settimanale,settimanale,2
mixtral-iter5,stationery,cancelleria,agenda,agenda mensile,mensile,3
mixtral-iter5,stationery,cancelleria,agenda,agenda annuale,annuale,4
mixtral-iter5,stationery,cancelleria,agenda,agenda scolastica,scolastica,5
mixtral-iter5,stationery,cancelleria,agenda,agenda da tavolo,da tavolo,6
mixtral-iter5,stationery,cancelleria,agenda,agenda digitale,digitale,7
