participant,category,category_it,concept,exemplar,clean_exemplar,rank
nemo-iter1,plants,piante,abete,abete rosso,rosso,1
nemo-iter1,plants,piante,abete,abete bianco,bianco,2
nemo-iter1,plants,piante,abete,abete argentato,argentato,3
nemo-iter1,plants,piante,abete,abete canadese,canadese,4
nemo-iter1,plants,piante,abete,abete dei boschi,dei boschi,5
nemo-iter1,plants,piante,abete,abete del colorado,del colorado,6
nemo-iter1,plants,piante,abete,abete del caucaso,del caucaso,7
nemo-iter1,plants,piante,abete,abete del nepal,del nepal,8
nemo-iter1,plants,piante,abete,abete dei pirenei,dei pirenei,9
nemo-iter1,plants,piante,abete,abete di douglas,di douglas,10
nemo-iter1,plants,piante,abete,abete di nordmann,di nordmann,11
nemo-iter1,plants,piante,abete,abete di oregón,di oregón,12
nemo-iter1,plants,piante,abete,abete di sitka,di sitka,13
nemo-iter2,plants,piante,abete,abete bianco,bianco,1
nemo-iter2,plants,piante,abete,abete rosso,rosso,2
nemo-iter2,plants,piante,abete,abete argentato,argentato,3
nemo-iter2,plants,piante,abete,abete di douglas,di douglas,4
nemo-iter2,plants,piante,abete,abete di nordmann,di nordmann,5
nemo-iter2,plants,piante,abete,abete di oregón,di oregón,6
nemo-iter2,plants,piante,abete,abete di sitka,di sitka,7
nemo-iter2,plants,piante,abete,abete di vancouver,di vancouver,8
nemo-iter2,plants,piante,abete,abete di weymouth,di weymouth,9
nemo-iter2,plants,piante,abete,abete di monterey,di monterey,10
nemo-iter2,plants,piante,abete,abete di california,di california,11
nemo-iter2,plants,piante,abete,abete di engadina,di engadina,12
nemo-iter2,plants,piante,abete,abete di ciliegia,di ciliegia,13
nemo-iter2,plants,piante,abete,abete di norfolk,di norfolk,14
nemo-iter2,plants,piante,abete,abete di lawson,di lawson,15
nemo-iter3,plants,piante,abete,abete rosso,rosso,1
nemo-iter3,plants,piante,abete,abete bianco,bianco,2
nemo-iter3,plants,piante,abete,abete argentato,argentato,3
nemo-iter3,plants,piante,abete,abete dei caucaso,dei caucaso,4
nemo-iter3,plants,piante,abete,abete di nordmann,di nordmann,5
nemo-iter3,plants,piante,abete,abete del colorado,del colorado,6
nemo-iter3,plants,piante,abete,abete del cile,del cile,7
nemo-iter3,plants,piante,abete,abete di douglas,di douglas,8
nemo-iter3,plants,piante,abete,abete di noble,di noble,9
nemo-iter3,plants,piante,abete,abete di oregone,di oregone,10
nemo-iter3,plants,piante,abete,abete di sitka,di sitka,11
nemo-iter3,plants,piante,abete,abete di vancouver,di vancouver,12
nemo-iter4,plants,piante,abete,abete bianco,bianco,1
nemo-iter4,plants,piante,abete,abete rosso,rosso,2
nemo-iter4,plants,piante,abete,abete canadese,canadese,3
nemo-iter4,plants,piante,abete,abete del colorado,del colorado,4
nemo-iter4,plants,piante,abete,abete di douglas,di douglas,5
nemo-iter4,plants,piante,abete,abete di nordmann,di nordmann,6
nemo-iter4,plants,piante,abete,abete di sitka,di sitka,7
nemo-iter4,plants,piante,abete,abete di weymouth,di weymouth,8
nemo-iter5,plants,piante,abete,abete bianco,bianco,1
nemo-iter5,plants,piante,abete,abete rosso,rosso,2
nemo-iter5,plants,piante,abete,abete canadese,canadese,3
nemo-iter5,plants,piante,abete,abete dei laghi,dei laghi,4
nemo-iter5,plants,piante,abete,abete di douglas,di douglas,5
nemo-iter5,plants,piante,abete,abete di nordmann,di nordmann,6
nemo-iter1,vehicles,veicoli,aereo,aereo a reazione,a reazione,1
nemo-iter1,vehicles,veicoli,aereo,aereo a elica,a elica,2
nemo-iter1,vehicles,veicoli,aereo,aereo da caccia,da caccia,3
nemo-iter1,vehicles,veicoli,aereo,aereo da trasporto,da trasporto,4
nemo-iter1,vehicles,veicoli,aereo,aereo da turismo,da turismo,5
nemo-iter1,vehicles,veicoli,aereo,aereo da guerra,da guerra,6
nemo-iter1,vehicles,veicoli,aereo,elicottero,elicottero,7
nemo-iter1,vehicles,veicoli,aereo,drone,drone,8
nemo-iter1,vehicles,veicoli,aereo,aereo spia,spia,9
