participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
idefics2-iter1,plants,piante,abete,abete rosso,rosso,1,15104.0
idefics2-iter1,plants,piante,abete,abete nero,nero,2,104.0
idefics2-iter1,plants,piante,abete,abete bianco,bianco,3,224.0
idefics2-iter1,plants,piante,abete,abete rosso giapponese,rosso giapponese,4,1.0
idefics2-iter1,plants,piante,abete,abete rosso cinese,rosso cinese,5,0.0
idefics2-iter1,plants,piante,abete,abete rosso americano,rosso americano,6,0.0
idefics2-iter2,plants,piante,abete,abete bianco,bianco,1,224.0
idefics2-iter2,plants,piante,abete,abete rosso,rosso,2,15104.0
idefics2-iter2,plants,piante,abete,abete nero,nero,3,104.0
idefics2-iter2,plants,piante,abete,abete rosso,rosso,4,15104.0
idefics2-iter3,plants,piante,abete,acacia,acacia,1,34804.0
idefics2-iter3,plants,piante,abete,arbutus,arbutus,2,658.0
idefics2-iter3,plants,piante,abete,acer,acer,3,35356.0
idefics2-iter3,plants,piante,abete,birch,birch,4,2352.0
idefics2-iter3,plants,piante,abete,cedar,cedar,5,0.0
idefics2-iter3,plants,piante,abete,chestnut,chestnut,6,2620.0
idefics2-iter3,plants,piante,abete,cocos,cocos,7,2060.0
idefics2-iter3,plants,piante,abete,eucalyptus,eucalyptus,8,1636.0
idefics2-iter3,plants,piante,abete,elm,elm,9,4003.0
idefics2-iter3,plants,piante,abete,ginkgo,ginkgo,10,7669.0
idefics2-iter3,plants,piante,abete,maple,maple,11,3204.0
idefics2-iter3,plants,piante,abete,oak,oak,12,11167.0
idefics2-iter3,plants,piante,abete,pine,pine,13,7168.0
idefics2-iter3,plants,piante,abete,pussywillow,pussywillow,14,1.0
idefics2-iter3,plants,piante,abete,quercus,quercus,15,5953.0
idefics2-iter3,plants,piante,abete,redwood,redwood,16,1540.0
idefics2-iter3,plants,piante,abete,willow,willow,17,5476.0
idefics2-iter4,plants,piante,abete,acerbo,acerbo,1,19084.0
idefics2-iter4,plants,piante,abete,acero,acero,2,26036.0
idefics2-iter4,plants,piante,abete,betulla,betulla,3,39058.0
idefics2-iter4,plants,piante,abete,betulino,betulino,4,22.0
idefics2-iter4,plants,piante,abete,betula,betula,5,979.0
idefics2-iter4,plants,piante,abete,betulina,betulina,6,114.0
idefics2-iter4,plants,piante,abete,betuloido,betuloido,7,0.0
idefics2-iter4,plants,piante,abete,betuloido americano,betuloido americano,8,0.0
idefics2-iter4,plants,piante,abete,betuloido giapponese,betuloido giapponese,9,0.0
