participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
mistral-iter1,plants,piante,abete,abete bianco,bianco,1,224.0
mistral-iter1,plants,piante,abete,abete rosso,rosso,2,15104.0
mistral-iter1,plants,piante,abete,abete giallo,giallo,3,6.0
mistral-iter1,plants,piante,abete,abete nero,nero,4,104.0
mistral-iter1,plants,piante,abete,abete silvestre,silvestre,5,2.0
mistral-iter1,plants,piante,abete,abete bianco americano,bianco americano,6,12.0
mistral-iter1,plants,piante,abete,abete bianco europeo,bianco europeo,7,3.0
mistral-iter1,plants,piante,abete,abete rosso di norvegia,rosso di norvegia,8,0.0
mistral-iter1,plants,piante,abete,abete rosso della california,rosso della california,9,6.0
mistral-iter1,plants,piante,abete,abete rosso del caucaso,rosso del caucaso,10,1.0
mistral-iter1,plants,piante,abete,abete rosso del nord america,rosso del nord america,11,0.0
mistral-iter1,plants,piante,abete,abete rosso del siberia,rosso del siberia,12,0.0
mistral-iter1,plants,piante,abete,abete rosso del colorado,rosso del colorado,13,3.0
mistral-iter1,plants,piante,abete,abete rosso del marocco,rosso del marocco,14,0.0
mistral-iter1,plants,piante,abete,abete rosso del montenegro,rosso del montenegro,15,0.0
mistral-iter1,plants,piante,abete,abete rosso del portogallo,rosso del portogallo,16,0.0
mistral-iter1,plants,piante,abete,abete rosso del romania,rosso del romania,17,0.0
mistral-iter2,plants,piante,abete,abete bianco,bianco,1,224.0
mistral-iter2,plants,piante,abete,abete rosso,rosso,2,15104.0
mistral-iter2,plants,piante,abete,abete nero,nero,3,104.0
mistral-iter2,plants,piante,abete,abete rosso del nord,rosso del nord,4,48.0
mistral-iter2,plants,piante,abete,abete bianco di colorado,bianco di colorado,5,0.0
mistral-iter2,plants,piante,abete,abete bianco del nord,bianco del nord,6,3.0
mistral-iter2,plants,piante,abete,abete di douglas,di douglas,7,21.0
mistral-iter2,plants,piante,abete,abete di sibiria,di sibiria,8,0.0
mistral-iter2,plants,piante,abete,abete tannino,tannino,9,0.0
mistral-iter2,plants,piante,abete,abete rosso del colorado,rosso del colorado,10,3.0
mistral-iter3,plants,piante,abete,abete bianco,bianco,1,224.0
mistral-iter3,plants,piante,abete,abete rosso,rosso,2,15104.0
mistral-iter3,plants,piante,abete,abete rosso di norvegia,rosso di norvegia,3,0.0
mistral-iter3,plants,piante,abete,abete bianco di siberia,bianco di siberia,4,0.0
mistral-iter3,plants,piante,abete,abete gigante,gigante,5,102.0
mistral-iter3,plants,piante,abete,abete silvestre,silvestre,6,2.0
mistral-iter3,plants,piante,abete,abete nero,nero,7,104.0
mistral-iter3,plants,piante,abete,abete blu,blu,8,13.0
mistral-iter3,plants,piante,abete,abete rosso di vencezia,rosso di vencezia,9,0.0
mistral-iter3,plants,piante,abete,abete rosso di nordamerica,rosso di nordamerica,10,0.0
mistral-iter3,plants,piante,abete,abete rosso di colorado,rosso di colorado,11,0.0
mistral-iter3,plants,piante,abete,abete rosso di washington,rosso di washington,12,0.0
mistral-iter3,plants,piante,abete,abete rosso del caucaso,rosso del caucaso,13,1.0
mistral-iter3,plants,piante,abete,abete rosso di mugo,rosso di mugo,14,0.0
mistral-iter3,plants,piante,abete,abete rosso di leyland,rosso di leyland,15,0.0
mistral-iter3,plants,piante,abete,abete rosso di douglas,rosso di douglas,16,0.0
mistral-iter3,plants,piante,abete,abete rosso di monterey,rosso di monterey,17,0.0
mistral-iter4,plants,piante,abete,abete bianco,bianco,1,224.0
mistral-iter4,plants,piante,abete,abete rosso,rosso,2,15104.0
mistral-iter4,plants,piante,abete,abete nero,nero,3,104.0
mistral-iter4,plants,piante,abete,abete gigante,gigante,4,102.0
mistral-iter4,plants,piante,abete,abete roverso,roverso,5,0.0
mistral-iter4,plants,piante,abete,abete di nordmann,di nordmann,6,3.0
mistral-iter4,plants,piante,abete,abete bianco americano,bianco americano,7,12.0
