participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
nemo-iter1,plants,piante,abete,abete rosso,rosso,1,15104.0
nemo-iter1,plants,piante,abete,abete bianco,bianco,2,224.0
nemo-iter1,plants,piante,abete,abete argentato,argentato,3,48.0
nemo-iter1,plants,piante,abete,abete canadese,canadese,4,74.0
nemo-iter1,plants,piante,abete,abete dei boschi,dei boschi,5,6.0
nemo-iter1,plants,piante,abete,abete del colorado,del colorado,6,27.0
nemo-iter1,plants,piante,abete,abete del caucaso,del caucaso,7,61.0
nemo-iter1,plants,piante,abete,abete del nepal,del nepal,8,0.0
nemo-iter1,plants,piante,abete,abete dei pirenei,dei pirenei,9,1.0
nemo-iter1,plants,piante,abete,abete di douglas,di douglas,10,21.0
nemo-iter1,plants,piante,abete,abete di nordmann,di nordmann,11,3.0
nemo-iter1,plants,piante,abete,abete di oregón,di oregón,12,0.0
nemo-iter1,plants,piante,abete,abete di sitka,di sitka,13,8.0
nemo-iter2,plants,piante,abete,abete bianco,bianco,1,224.0
nemo-iter2,plants,piante,abete,abete rosso,rosso,2,15104.0
nemo-iter2,plants,piante,abete,abete argentato,argentato,3,48.0
nemo-iter2,plants,piante,abete,abete di douglas,di douglas,4,21.0
nemo-iter2,plants,piante,abete,abete di nordmann,di nordmann,5,3.0
nemo-iter2,plants,piante,abete,abete di oregón,di oregón,6,0.0
nemo-iter2,plants,piante,abete,abete di sitka,di sitka,7,8.0
nemo-iter2,plants,piante,abete,abete di vancouver,di vancouver,8,3.0
nemo-iter2,plants,piante,abete,abete di weymouth,di weymouth,9,0.0
nemo-iter2,plants,piante,abete,abete di monterey,di monterey,10,0.0
nemo-iter2,plants,piante,abete,abete di california,di california,11,0.0
nemo-iter2,plants,piante,abete,abete di engadina,di engadina,12,0.0
nemo-iter2,plants,piante,abete,abete di ciliegia,di ciliegia,13,0.0
nemo-iter2,plants,piante,abete,abete di norfolk,di norfolk,14,0.0
nemo-iter2,plants,piante,abete,abete di lawson,di lawson,15,0.0
nemo-iter3,plants,piante,abete,abete rosso,rosso,1,15104.0
nemo-iter3,plants,piante,abete,abete bianco,bianco,2,224.0
nemo-iter3,plants,piante,abete,abete argentato,argentato,3,48.0
nemo-iter3,plants,piante,abete,abete dei caucaso,dei caucaso,4,0.0
nemo-iter3,plants,piante,abete,abete di nordmann,di nordmann,5,3.0
nemo-iter3,plants,piante,abete,abete del colorado,del colorado,6,27.0
nemo-iter3,plants,piante,abete,abete del cile,del cile,7,0.0
nemo-iter3,plants,piante,abete,abete di douglas,di douglas,8,21.0
nemo-iter3,plants,piante,abete,abete di noble,di noble,9,0.0
nemo-iter3,plants,piante,abete,abete di oregone,di oregone,10,0.0
nemo-iter3,plants,piante,abete,abete di sitka,di sitka,11,8.0
nemo-iter3,plants,piante,abete,abete di vancouver,di vancouver,12,3.0
nemo-iter4,plants,piante,abete,abete bianco,bianco,1,224.0
nemo-iter4,plants,piante,abete,abete rosso,rosso,2,15104.0
nemo-iter4,plants,piante,abete,abete canadese,canadese,3,74.0
nemo-iter4,plants,piante,abete,abete del colorado,del colorado,4,27.0
nemo-iter4,plants,piante,abete,abete di douglas,di douglas,5,21.0
nemo-iter4,plants,piante,abete,abete di nordmann,di nordmann,6,3.0
nemo-iter4,plants,piante,abete,abete di sitka,di sitka,7,8.0
nemo-iter4,plants,piante,abete,abete di weymouth,di weymouth,8,0.0
nemo-iter5,plants,piante,abete,abete bianco,bianco,1,224.0
nemo-iter5,plants,piante,abete,abete rosso,rosso,2,15104.0
nemo-iter5,plants,piante,abete,abete canadese,canadese,3,74.0
nemo-iter5,plants,piante,abete,abete dei laghi,dei laghi,4,0.0
nemo-iter5,plants,piante,abete,abete di douglas,di douglas,5,21.0
nemo-iter5,plants,piante,abete,abete di nordmann,di nordmann,6,3.0
