participant,category,category_it,concept,exemplar,clean_exemplar,rank
llama3.1-70b-iter1,plants,piante,abete,abete bianco,bianco,1
llama3.1-70b-iter1,plants,piante,abete,abete rosso,rosso,2
llama3.1-70b-iter1,plants,piante,abete,abete argentato,argentato,3
llama3.1-70b-iter1,plants,piante,abete,abete balsamico,balsamico,4
llama3.1-70b-iter1,plants,piante,abete,abete amabile,amabile,5
llama3.1-70b-iter1,plants,piante,abete,abete canadese,canadese,6
llama3.1-70b-iter1,plants,piante,abete,abete himalayano,himalayano,7
llama3.1-70b-iter1,plants,piante,abete,abete siberiano,siberiano,8
llama3.1-70b-iter1,plants,piante,abete,abete nordmann,nordmann,9
llama3.1-70b-iter1,plants,piante,abete,abete douglas,douglas,10
llama3.1-70b-iter2,plants,piante,abete,abete argentato,argentato,1
llama3.1-70b-iter2,plants,piante,abete,abete amabile,amabile,2
llama3.1-70b-iter2,plants,piante,abete,abete bianco,bianco,3
llama3.1-70b-iter2,plants,piante,abete,abete balsamico,balsamico,4
llama3.1-70b-iter2,plants,piante,abete,abete canadese,canadese,5
llama3.1-70b-iter2,plants,piante,abete,abete delle marianne,delle marianne,6
llama3.1-70b-iter2,plants,piante,abete,abete delle rocciose,delle rocciose,7
llama3.1-70b-iter2,plants,piante,abete,abete di douglas,di douglas,8
llama3.1-70b-iter2,plants,piante,abete,abete falso,falso,9
llama3.1-70b-iter2,plants,piante,abete,abete himalayano,himalayano,10
llama3.1-70b-iter2,plants,piante,abete,abete nobile,nobile,11
llama3.1-70b-iter2,plants,piante,abete,abete rosso,rosso,12
llama3.1-70b-iter2,plants,piante,abete,abete sacchettato,sacchettato,13
llama3.1-70b-iter2,plants,piante,abete,abete serbo,serbo,14
llama3.1-70b-iter2,plants,piante,abete,abete spinoso,spinoso,15
llama3.1-70b-iter3,plants,piante,abete,abete bianco,bianco,1
llama3.1-70b-iter3,plants,piante,abete,abete balsamico,balsamico,2
llama3.1-70b-iter3,plants,piante,abete,abete delle rockies,delle rockies,3
llama3.1-70b-iter3,plants,piante,abete,abete amabile,amabile,4
llama3.1-70b-iter3,plants,piante,abete,abete rosso,rosso,5
llama3.1-70b-iter3,plants,piante,abete,abete marittimo,marittimo,6
llama3.1-70b-iter3,plants,piante,abete,abete di spagna,di spagna,7
llama3.1-70b-iter4,plants,piante,abete,rosso,rosso,1
llama3.1-70b-iter4,plants,piante,abete,bianco,bianco,2
llama3.1-70b-iter4,plants,piante,abete,argento,argento,3
llama3.1-70b-iter4,plants,piante,abete,nero,nero,4
llama3.1-70b-iter4,plants,piante,abete,giallo,giallo,5
llama3.1-70b-iter4,plants,piante,abete,canadese,canadese,6
llama3.1-70b-iter4,plants,piante,abete,europeo,europeo,7
llama3.1-70b-iter4,plants,piante,abete,marittimo,marittimo,8
llama3.1-70b-iter4,plants,piante,abete,nobile,nobile,9
llama3.1-70b-iter4,plants,piante,abete,amabile,amabile,10
llama3.1-70b-iter5,plants,piante,abete,abete di spagna,di spagna,1
llama3.1-70b-iter5,plants,piante,abete,abete delle marianne,delle marianne,2
llama3.1-70b-iter5,plants,piante,abete,abete di douglas,di douglas,3
