participant,category,category_it,concept,exemplar,clean_exemplar,rank
mistral-iter1,plants,piante,abete,abete bianco,bianco,1
mistral-iter1,plants,piante,abete,abete rosso,rosso,2
mistral-iter1,plants,piante,abete,abete nero,nero,3
mistral-iter1,plants,piante,abete,abete di grandi dimensioni,di grandi dimensioni,4
mistral-iter1,plants,piante,abete,abete gigante,gigante,5
mistral-iter1,plants,piante,abete,abete d'italia,d'italia,6
mistral-iter1,plants,piante,abete,abete tedesco,tedesco,7
mistral-iter1,plants,piante,abete,abete rosso della virginia,rosso della virginia,8
mistral-iter1,plants,piante,abete,abete bianco del nord,bianco del nord,9
mistral-iter1,plants,piante,abete,abete silvestre,silvestre,10
mistral-iter1,plants,piante,abete,abete d'alaska,d'alaska,11
mistral-iter1,plants,piante,abete,abete douglas,douglas,12
mistral-iter1,plants,piante,abete,abete bianco di scozia,bianco di scozia,13
mistral-iter1,plants,piante,abete,abete bianco del caucaso,bianco del caucaso,14
mistral-iter1,plants,piante,abete,abete bianco della californien,bianco della californien,15
mistral-iter1,plants,piante,abete,abete bianco siberiano,bianco siberiano,16
mistral-iter1,plants,piante,abete,abete bianco columbiano,bianco columbiano,17
mistral-iter2,plants,piante,abete,abete bianco,bianco,1
mistral-iter2,plants,piante,abete,abete rosso,rosso,2
mistral-iter2,plants,piante,abete,abeto gigante,abeto gigante,3
mistral-iter2,plants,piante,abete,abeto del colorado,abeto del colorado,4
mistral-iter2,plants,piante,abete,abete silvestre,silvestre,5
mistral-iter2,plants,piante,abete,abete bianco di siberia,bianco di siberia,6
mistral-iter3,plants,piante,abete,abete bianco,bianco,1
mistral-iter3,plants,piante,abete,abete rosso,rosso,2
mistral-iter3,plants,piante,abete,abete nero,nero,3
mistral-iter3,plants,piante,abete,abete grossoccio,grossoccio,4
mistral-iter3,plants,piante,abete,abete bianco verde,bianco verde,5
mistral-iter3,plants,piante,abete,abete rosso del nord,rosso del nord,6
mistral-iter3,plants,piante,abete,abete rosso d'italia,rosso d'italia,7
mistral-iter3,plants,piante,abete,abete rosso d'europa,rosso d'europa,8
mistral-iter3,plants,piante,abete,abete silvestre,silvestre,9
mistral-iter3,plants,piante,abete,abete grande,grande,10
mistral-iter3,plants,piante,abete,abete bianco di california,bianco di california,11
mistral-iter3,plants,piante,abete,abete d'isola,d'isola,12
mistral-iter3,plants,piante,abete,abete rosso di venezuela,rosso di venezuela,13
mistral-iter3,plants,piante,abete,abete rosso di messico,rosso di messico,14
mistral-iter3,plants,piante,abete,abete rosso di cina,rosso di cina,15
mistral-iter3,plants,piante,abete,abete siberiano,siberiano,16
mistral-iter3,plants,piante,abete,abete douglas,douglas,17
mistral-iter3,plants,piante,abete,abete loblolly,loblolly,18
mistral-iter3,plants,piante,abete,abete bianco di colorado,bianco di colorado,19
mistral-iter3,plants,piante,abete,abete gig,gig,20
mistral-iter4,plants,piante,abete,abete bianco,bianco,1
mistral-iter4,plants,piante,abete,abete rosso,rosso,2
mistral-iter4,plants,piante,abete,abete di sequoia,di sequoia,3
mistral-iter4,plants,piante,abete,abete gialle,gialle,4
mistral-iter4,plants,piante,abete,abete rosso del nord,rosso del nord,5
mistral-iter4,plants,piante,abete,abete blu,blu,6
mistral-iter4,plants,piante,abete,abete nero,nero,7
mistral-iter4,plants,piante,abete,abete rosso delle cascate,rosso delle cascate,8
mistral-iter4,plants,piante,abete,abete silvestre,silvestre,9
mistral-iter4,plants,piante,abete,abete gigante,gigante,10
mistral-iter4,plants,piante,abete,abete di douglas,di douglas,11
mistral-iter4,plants,piante,abete,abete duca,duca,12
mistral-iter4,plants,piante,abete,abete rosso del giappone,rosso del giappone,13
mistral-iter4,plants,piante,abete,abete bianco di siberia,bianco di siberia,14
mistral-iter4,plants,piante,abete,abete rosso del nord america,rosso del nord america,15
mistral-iter4,plants,piante,abete,abete rosso del caucaso,rosso del caucaso,16
mistral-iter4,plants,piante,abete,abete di monterey,di monterey,17
mistral-iter4,plants,piante,abete,abete del paraíso,del paraíso,18
mistral-iter4,plants,piante,abete,abete di nobel,di nobel,19
mistral-iter4,plants,piante,abete,abete d',d',20
mistral-iter5,plants,piante,abete,abete bianco,bianco,1
mistral-iter5,plants,piante,abete,abete rosso,rosso,2
mistral-iter5,plants,piante,abete,abete nero,nero,3
mistral-iter5,plants,piante,abete,abeto della california,abeto della california,4
mistral-iter5,plants,piante,abete,abete giallo,giallo,5
mistral-iter5,plants,piante,abete,abete silvestre,silvestre,6
mistral-iter5,plants,piante,abete,abete douglas,douglas,7
mistral-iter5,plants,piante,abete,abete bianco di siberia,bianco di siberia,8
mistral-iter5,plants,piante,abete,abete rosso del nord,rosso del nord,9
mistral-iter5,plants,piante,abete,abete rosso del caucaso,rosso del caucaso,10
mistral-iter5,plants,piante,abete,abete rosso americano,rosso americano,11
mistral-iter5,plants,piante,abete,abeto marittimo,abeto marittimo,12
mistral-iter5,plants,piante,abete,abete di nordmann,di nordmann,13
mistral-iter5,plants,piante,abete,abete blu,blu,14
mistral-iter5,plants,piante,abete,abete di grecia,di grecia,15
mistral-iter5,plants,piante,abete,abete bianco di alaska,bianco di alaska,16
mistral-iter5,plants,piante,abete,abete cinese,cinese,17
