participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
idefics2-iter1,plants,piante,abete,abete rosso,rosso,1,15104.0
idefics2-iter1,plants,piante,abete,abetino bianco,no bianco,2,
idefics2-iter1,plants,piante,abete,abetino giapponese,no giapponese,3,
idefics2-iter1,plants,piante,abete,acanto,acanto,4,4445.0
idefics2-iter1,plants,piante,abete,abete canadense,canadense,5,
idefics2-iter1,plants,piante,abete,abete dell'oregon,dell'oregon,6,
idefics2-iter1,plants,piante,abete,pineapple,pineapple,7,2450.0
idefics2-iter2,plants,piante,abete,abete rosso,rosso,1,15104.0
idefics2-iter2,plants,piante,abete,abeto dell'artico,abeto dell'artico,2,
idefics2-iter2,plants,piante,abete,abete della maryland,della maryland,3,
idefics2-iter2,plants,piante,abete,abete sibir,sibir,4,
idefics2-iter3,plants,piante,abete,quercia,quercia,1,28244.0
idefics2-iter3,plants,piante,abete,pino,pino,2,83720.0
idefics2-iter3,plants,piante,abete,acanto,acanto,3,4445.0
idefics2-iter3,plants,piante,abete,fagio,fagio,4,172.0
idefics2-iter3,plants,piante,abete,robin,robin,5,
idefics2-iter4,plants,piante,abete,pino,pino,1,83720.0
idefics2-iter4,plants,piante,abete,cedro,cedro,2,23542.0
idefics2-iter4,plants,piante,abete,ecco 2,ecco 2,3,
idefics2-iter4,plants,piante,abete,sirocco,sirocco,4,
idefics2-iter4,plants,piante,abete,tanna,tanna,5,
idefics2-iter5,plants,piante,abete,abete rosso,rosso,1,15104.0
idefics2-iter5,plants,piante,abete,abete bianco,bianco,2,224.0
idefics2-iter5,plants,piante,abete,abete verde,verde,3,92.0
idefics2-iter5,plants,piante,abete,abete giallo,giallo,4,6.0
idefics2-iter1,vehicles,veicoli,aereo,aeroporto di atterraggio,aeroporto di atterraggio,1,
idefics2-iter1,vehicles,veicoli,aereo,elica,elica,2,18220.0
idefics2-iter1,vehicles,veicoli,aereo,aeroplano,aeroplano,3,27876.0
idefics2-iter1,vehicles,veicoli,aereo,aerotrasporto,aerotrasporto,4,53.0
idefics2-iter1,vehicles,veicoli,aereo,dirigibile,dirigibile,5,12297.0
idefics2-iter1,vehicles,veicoli,aereo,helicoptero,helicoptero,6,7.0
idefics2-iter2,vehicles,veicoli,aereo,missile,missile,1,33176.0
