participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
llava-iter1,plants,piante,abete,acacia,acacia,1,34804.0
llava-iter2,plants,piante,abete,acacia,acacia,1,34804.0
llava-iter2,plants,piante,abete,cedro,cedro,2,23542.0
llava-iter2,plants,piante,abete,quercia,quercia,3,28244.0
llava-iter2,plants,piante,abete,pino,pino,4,83720.0
llava-iter2,plants,piante,abete,robbio,robbio,5,3288.0
llava-iter2,plants,piante,abete,picea,picea,6,1348.0
llava-iter2,plants,piante,abete,pino silvestre,pino silvestre,7,1018.0
llava-iter2,plants,piante,abete,abete sardo,sardo,8,0.0
llava-iter2,plants,piante,abete,cedro del marmellato,cedro del marmellato,9,0.0
llava-iter2,plants,piante,abete,tartaro,tartaro,10,17051.0
llava-iter2,plants,piante,abete,fagio,fagio,11,172.0
llava-iter2,plants,piante,abete,fresno,fresno,12,1693.0
llava-iter2,plants,piante,abete,pioppo,pioppo,13,31078.0
llava-iter2,plants,piante,abete,"tuttavia questo è solo un esempio di alcune specie di alberi che possono appartenere al genere abete, si prega di consultare i ricercatori locali per poter essere informato sulle specie che vivono nella propria zona","tuttavia questo è solo un esempio di alcune specie di alberi che possono appartenere al genere , si prega di consultare i ricercatori locali per poter essere informato sulle specie che vivono nella propria zona",14,0.0
llava-iter3,plants,piante,abete,betulla,betulla,1,39058.0
llava-iter3,plants,piante,abete,faggio,faggio,2,28184.0
llava-iter3,plants,piante,abete,pino,pino,3,83720.0
llava-iter3,plants,piante,abete,quercia,quercia,4,28244.0
llava-iter4,plants,piante,abete,faggio,faggio,1,28184.0
llava-iter4,plants,piante,abete,pino,pino,2,83720.0
llava-iter4,plants,piante,abete,tuaia,tuaia,3,4.0
llava-iter4,plants,piante,abete,pino verde,pino verde,4,328.0
llava-iter4,plants,piante,abete,picea,picea,5,1348.0
llava-iter5,plants,piante,abete,acacia,acacia,1,34804.0
llava-iter5,plants,piante,abete,ontano,ontano,2,5340.0
llava-iter5,plants,piante,abete,faggio,faggio,3,28184.0
llava-iter5,plants,piante,abete,olivo,olivo,4,51200.0
llava-iter5,plants,piante,abete,pineta,pineta,5,37696.0
llava-iter5,plants,piante,abete,tiglio,tiglio,6,36996.0
llava-iter1,vehicles,veicoli,aereo,aeroplano,aeroplano,1,27876.0
llava-iter1,vehicles,veicoli,aereo,elicottero,elicottero,2,30198.0
llava-iter1,vehicles,veicoli,aereo,aeronave,aeronave,3,2524.0
