participant,category,category_it,concept,exemplar,clean_exemplar,rank,asb_freq
llava-iter1,plants,piante,abete,pino,pino,1,83720.0
llava-iter2,plants,piante,abete,pioppo,pioppo,1,31078.0
llava-iter2,plants,piante,abete,abetus,abetus,2,
llava-iter2,plants,piante,abete,abete comune,comune,3,38.0
llava-iter2,plants,piante,abete,pineta,pineta,4,37696.0
llava-iter2,plants,piante,abete,noce,noce,5,33740.0
llava-iter2,plants,piante,abete,cerro,cerro,6,45054.0
llava-iter2,plants,piante,abete,pino marittimo,pino marittimo,7,6409.0
llava-iter2,plants,piante,abete,cedro,cedro,8,23542.0
llava-iter2,plants,piante,abete,pinus pinea,pinus pinea,9,771.0
llava-iter2,plants,piante,abete,pino laricio,pino laricio,10,767.0
llava-iter2,plants,piante,abete,pino silvestre,pino silvestre,11,1018.0
llava-iter2,plants,piante,abete,frassino,frassino,12,26254.0
llava-iter2,plants,piante,abete,acero,acero,13,26036.0
llava-iter2,plants,piante,abete,faggio,faggio,14,28184.0
llava-iter2,plants,piante,abete,araucaria,araucaria,15,875.0
llava-iter2,plants,piante,abete,tiglio,tiglio,16,36996.0
llava-iter2,plants,piante,abete,pino arenoso,pino arenoso,17,
llava-iter2,plants,piante,abete,pino mugo,pino mugo,18,1730.0
llava-iter2,plants,piante,abete,alloro,alloro,19,42308.0
llava-iter2,plants,piante,abete,pino canado,pino canado,20,
llava-iter2,plants,piante,abete,pino nobile,pino nobile,21,84.0
llava-iter2,plants,piante,abete,pino massiccio,pino massiccio,22,289.0
llava-iter2,plants,piante,abete,larice occidentale,larice occidentale,23,
llava-iter2,plants,piante,abete,pino austriaco,pino austriaco,24,58.0
llava-iter2,plants,piante,abete,pino di roscommon,pino di roscommon,25,
llava-iter2,plants,piante,abete,pinola,pinola,26,
llava-iter2,plants,piante,abete,pino sitka,pino sitka,27,3.0
llava-iter3,plants,piante,abete,piuopolo,piuopolo,1,
llava-iter3,plants,piante,abete,faggio,faggio,2,28184.0
llava-iter3,plants,piante,abete,lira,lira,3,
llava-iter3,plants,piante,abete,tasso,tasso,4,23610.0
llava-iter3,plants,piante,abete,pino,pino,5,83720.0
llava-iter3,plants,piante,abete,gifeoni,gifeoni,6,
llava-iter3,plants,piante,abete,betulla,betulla,7,39058.0
llava-iter3,plants,piante,abete,larice,larice,8,39082.0
llava-iter3,plants,piante,abete,pioppa,pioppa,9,
llava-iter3,plants,piante,abete,cedro,cedro,10,23542.0
llava-iter3,plants,piante,abete,tiglio,tiglio,11,36996.0
llava-iter3,plants,piante,abete,luppolo,luppolo,12,35580.0
llava-iter3,plants,piante,abete,cipresso,cipresso,13,34462.0
llava-iter3,plants,piante,abete,velino,velino,14,
llava-iter4,plants,piante,abete,albero,albero,1,35138.0
llava-iter4,plants,piante,abete,tamerici,tamerici,2,
llava-iter4,plants,piante,abete,faggi,faggi,3,
llava-iter4,plants,piante,abete,pini,pini,4,22838.0
llava-iter4,plants,piante,abete,giove,giove,5,27196.0
llava-iter4,plants,piante,abete,quercia,quercia,6,28244.0
llava-iter4,plants,piante,abete,cipresso,cipresso,7,34462.0
llava-iter4,plants,piante,abete,magnolia,magnolia,8,39368.0
llava-iter4,plants,piante,abete,carpine,carpine,9,
llava-iter4,plants,piante,abete,pino,pino,10,83720.0
llava-iter4,plants,piante,abete,cedro,cedro,11,23542.0
llava-iter5,plants,piante,abete,albero,albero,1,35138.0
llava-iter5,plants,piante,abete,arbore,arbore,2,23406.0
llava-iter5,plants,piante,abete,foresta,foresta,3,
llava-iter1,vehicles,veicoli,aereo,elicottero,elicottero,1,30198.0
llava-iter1,vehicles,veicoli,aereo,aereo turboelica,turboelica,2,60.0
llava-iter1,vehicles,veicoli,aereo,aereo a pistoni,a pistoni,3,38.0
llava-iter1,vehicles,veicoli,aereo,aereo a reazione,a reazione,4,44.0
llava-iter1,vehicles,veicoli,aereo,aereo a vela,a vela,5,3.0
llava-iter1,vehicles,veicoli,aereo,aereo da combattimento,da combattimento,6,102.0
llava-iter1,vehicles,veicoli,aereo,aereo militare,militare,7,182.0
llava-iter1,vehicles,veicoli,aereo,aereo passeggeri,passeggeri,8,112.0
llava-iter1,vehicles,veicoli,aereo,aereo da cargo,da cargo,9,16.0
llava-iter1,vehicles,veicoli,aereo,aereo raccoglitrice,raccoglitrice,10,
llava-iter1,vehicles,veicoli,aereo,aereo idrovolante,idrovolante,11,52.0
llava-iter1,vehicles,veicoli,aereo,baleniera,baleniera,12,2609.0
llava-iter2,vehicles,veicoli,aereo,aereoplano,plano,1,3094.0
llava-iter2,vehicles,veicoli,aereo,aeroplano,aeroplano,2,27876.0
llava-iter2,vehicles,veicoli,aereo,aerostato,aerostato,3,3318.0
llava-iter2,vehicles,veicoli,aereo,aereiduttore,duttore,4,
llava-iter2,vehicles,veicoli,aereo,aereoscalate,scalate,5,
llava-iter2,vehicles,veicoli,aereo,elicotteri,elicotteri,6,39618.0
llava-iter2,vehicles,veicoli,aereo,elicottere,elicottere,7,32.0
llava-iter3,vehicles,veicoli,aereo,aereoplano,plano,1,3094.0
llava-iter3,vehicles,veicoli,aereo,elicottero,elicottero,2,30198.0
llava-iter3,vehicles,veicoli,aereo,aeroplano con helicottero,aeroplano con helicottero,3,
llava-iter3,vehicles,veicoli,aereo,aeroplano con elica,aeroplano con elica,4,
llava-iter3,vehicles,veicoli,aereo,aeroplano con 2 alas,aeroplano con 2 alas,5,
llava-iter3,vehicles,veicoli,aereo,aeroplano con 4 alas,aeroplano con 4 alas,6,
llava-iter3,vehicles,veicoli,aereo,aeroplano con 2 alas biplano,aeroplano con 2 alas biplano,7,
llava-iter3,vehicles,veicoli,aereo,aeroplano con 4 alas biplano,aeroplano con 4 alas biplano,8,
llava-iter3,vehicles,veicoli,aereo,aeroplano con 2 eliche,aeroplano con 2 eliche,9,
llava-iter3,vehicles,veicoli,aereo,aeroplano a motore,aeroplano a motore,10,
llava-iter3,vehicles,veicoli,aereo,aeroplano a vela,aeroplano a vela,11,21.0
llava-iter3,vehicles,veicoli,aereo,aeroplano a motore a vela,aeroplano a motore a vela,12,
llava-iter3,vehicles,veicoli,aereo,aeroplano a vela con elica,aeroplano a vela con elica,13,
llava-iter3,vehicles,veicoli,aereo,aeropl,aeropl,14,
llava-iter4,vehicles,veicoli,aereo,aereoplanes,planes,1,
llava-iter4,vehicles,veicoli,aereo,elicotteri,elicotteri,2,39618.0
llava-iter4,vehicles,veicoli,aereo,elicotteri militari,elicotteri militari,3,159.0
llava-iter4,vehicles,veicoli,aereo,jet,jet,4,33516.0
llava-iter4,vehicles,veicoli,aereo,helicopters,helicopters,5,
llava-iter4,vehicles,veicoli,aereo,droni,droni,6,22630.0
llava-iter4,vehicles,veicoli,aereo,sonda spaziale,sonda spaziale,7,
llava-iter4,vehicles,veicoli,aereo,satelliti artificiali,satelliti artificiali,8,
llava-iter5,vehicles,veicoli,aereo,aereoplano,plano,1,3094.0
llava-iter5,vehicles,veicoli,aereo,elicottero,elicottero,2,30198.0
llava-iter5,vehicles,veicoli,aereo,aeroplano,aeroplano,3,27876.0
llava-iter5,vehicles,veicoli,aereo,aerostato,aerostato,4,3318.0
llava-iter5,vehicles,veicoli,aereo,drone,drone,5,43184.0
llava-iter5,vehicles,veicoli,aereo,astronave,astronave,6,
llava-iter5,vehicles,veicoli,aereo,idrociclo,idrociclo,7,
llava-iter5,vehicles,veicoli,aereo,aereonave,nave,8,
llava-iter5,vehicles,veicoli,aereo,aereolinea,linea,9,
llava-iter1,stationery,cancelleria,agenda,calendario,calendario,1,30666.0
llava-iter1,stationery,cancelleria,agenda,agenda ordinaria,ordinaria,2,
llava-iter1,stationery,cancelleria,agenda,agenda digitale,digitale,3,1132.0
llava-iter1,stationery,cancelleria,agenda,agenda registrazione,registrazione,4,
llava-iter1,stationery,cancelleria,agenda,agenda personalizzata,personalizzata,5,67.0
llava-iter1,stationery,cancelleria,agenda,agenda giornaliera,giornaliera,6,774.0
llava-iter2,stationery,cancelleria,agenda,diario,diario,1,40702.0
llava-iter2,stationery,cancelleria,agenda,calendario per giorni e settimana,calendario per giorni e settimana,2,
llava-iter2,stationery,cancelleria,agenda,calendario di lavoro,calendario di lavoro,3,30.0
llava-iter2,stationery,cancelleria,agenda,calendario di lavoro per settimana,calendario di lavoro per settimana,4,
llava-iter2,stationery,cancelleria,agenda,calendario di lavoro per mese,calendario di lavoro per mese,5,
llava-iter2,stationery,cancelleria,agenda,calendario per eventi,calendario per eventi,6,10.0
llava-iter2,stationery,cancelleria,agenda,calendario per viaggi,calendario per viaggi,7,
llava-iter2,stationery,cancelleria,agenda,calendario evento per settimana,calendario evento per settimana,8,
llava-iter2,stationery,cancelleria,agenda,calendario evento per mese,calendario evento per mese,9,
llava-iter2,stationery,cancelleria,agenda,planner,planner,10,32956.0
llava-iter2,stationery,cancelleria,agenda,calendario per appuntamenti,calendario per appuntamenti,11,
llava-iter2,stationery,cancelleria,agenda,calendario per scadenze,calendario per scadenze,12,
llava-iter2,stationery,cancelleria,agenda,calendario accademico,calendario accademico,13,43.0
llava-iter2,stationery,cancelleria,agenda,calendario professionale,calendario professionale,14,26.0
llava-iter2,stationery,cancelleria,agenda,calendario vacanze,calendario vacanze,15,
llava-iter2,stationery,cancelleria,agenda,calendario di riunione per aziende,calendario di riunione per aziende,16,
llava-iter2,stationery,cancelleria,agenda,calendario di riunione per fam,calendario di riunione per fam,17,
llava-iter3,stationery,cancelleria,agenda,agenda di lavoro,di lavoro,1,46.0
llava-iter3,stationery,cancelleria,agenda,agenda personale,personale,2,520.0
llava-iter3,stationery,cancelleria,agenda,mini-agenda,mini-,3,
llava-iter4,stationery,cancelleria,agenda,calendario,calendario,1,30666.0
llava-iter4,stationery,cancelleria,agenda,indicatore di agenda,indicatore di ,2,
llava-iter4,stationery,cancelleria,agenda,smartphone,smartphone,3,33938.0
llava-iter4,stationery,cancelleria,agenda,calcolatore,calcolatore,4,9076.0
llava-iter4,stationery,cancelleria,agenda,tablet,tablet,5,47800.0
llava-iter4,stationery,cancelleria,agenda,pendolino,pendolino,6,5446.0
llava-iter5,stationery,cancelleria,agenda,agenda diaries di famiglia,diaries di famiglia,1,
llava-iter5,stationery,cancelleria,agenda,agenda diaries personali,diaries personali,2,
llava-iter5,stationery,cancelleria,agenda,agenda digitali,digitali,3,236.0
llava-iter5,stationery,cancelleria,agenda,agenda di corte,di corte,4,
llava-iter5,stationery,cancelleria,agenda,agenda professionale,professionale,5,46.0
llava-iter5,stationery,cancelleria,agenda,agenda informatica,informatica,6,
llava-iter5,stationery,cancelleria,agenda,agenda organizzativa,organizzativa,7,
llava-iter5,stationery,cancelleria,agenda,agenda grafica,grafica,8,
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,cinto,cinto,1,38024.0
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tinta,tinta,2,17873.0
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,borsello,borsello,3,16188.0
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,guasta,guasta,4,
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tazze,tazze,5,59098.0
llava-iter1,furnishings/fittings,arredamenti/accessori,appendiabiti,tascas,tascas,6,
llava-iter2,furnishings/fittings,arredamenti/accessori,appendiabiti,t-shirt,t-shirt,1,35456.0
llava-iter2,furnishings/fittings,arredamenti/accessori,appendiabiti,jeans,jeans,2,31070.0
llava-iter2,furnishings/fittings,arredamenti/accessori,appendiabiti,camicie,camicie,3,54716.0
llava-iter2,furnishings/fittings,arredamenti/accessori,appendiabiti,vestiti,vestiti,4,53596.0
llava-iter2,furnishings/fittings,arredamenti/accessori,appendiabiti,pantaloni,pantaloni,5,49132.0
llava-iter2,furnishings/fittings,arredamenti/accessori,appendiabiti,scarpe,scarpe,6,919012.0
llava-iter3,furnishings/fittings,arredamenti/accessori,appendiabiti,mangusta,mangusta,1,
llava-iter4,furnishings/fittings,arredamenti/accessori,appendiabiti,borsello,borsello,1,16188.0
llava-iter4,furnishings/fittings,arredamenti/accessori,appendiabiti,gambusione,gambusione,2,
llava-iter4,furnishings/fittings,arredamenti/accessori,appendiabiti,maglione,maglione,3,39390.0
llava-iter4,furnishings/fittings,arredamenti/accessori,appendiabiti,guanto,guanto,4,53394.0
llava-iter4,furnishings/fittings,arredamenti/accessori,appendiabiti,calze,calze,5,49642.0
llava-iter5,furnishings/fittings,arredamenti/accessori,appendiabiti,abito dama,abito dama,1,
