category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_abeto,abeto,1,1,1,1.0,0.2,0.2,5,0.2
plants,piante,abete,ABETE_abeto rosso,abeto rosso,1,2,2,2.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abeto bianco,abeto bianco,1,3,3,3.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abeto azzurro,abeto azzurro,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abeto a grosse foglie,abeto a grosse foglie,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_birch,birch,1,1,1,1.0,0.2,0.2,5,0.2
plants,piante,abete,ABETE_cedar,cedar,1,2,2,2.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_cypress,cypress,1,3,3,3.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_elm,elm,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_maple,maple,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_pine,pine,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_pinus,pinus,1,1,1,1.0,0.2,0.2,5,0.2
plants,piante,abete,ABETE_araucaria,araucaria,1,2,2,2.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_acidana,acidana,1,3,3,3.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abies,abies,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_eucalyptus,eucalyptus,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_thuja,thuja,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_podocarpus,podocarpus,1,7,7,7.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_bamboo,bamboo,1,1,1,1.0,0.2,0.2,5,0.2
plants,piante,abete,ABETE_cedro,cedro,2,2,9,5.5,0.0,0.4,5,0.17008
plants,piante,abete,ABETE_cipresso,cipresso,1,3,3,3.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_giacinti,giacinti,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_raffia,raffia,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_pinestra,pinestra,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_acacia,acacia,1,1,1,1.0,0.2,0.2,5,0.2
plants,piante,abete,ABETE_abece,abece,1,2,2,2.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_acero,acero,1,3,3,3.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_amorfa,amorfa,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_americana,americana,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_barbatella,barbatella,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_bosso,bosso,1,7,7,7.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_canella,canella,1,8,8,8.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_cilindro,cilindro,1,10,10,10.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_fagia,fagia,1,11,11,11.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_frassino,frassino,1,12,12,12.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_lupino,lupino,1,13,13,13.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_pin,pin,1,14,14,14.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_tasso,tasso,1,15,15,15.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_ulivo,ulivo,1,16,16,16.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_acacia melanoxylon,acacia melanoxylon,1,17,17,17.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di australia,di australia,1,18,18,18.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di nord,di nord,1,19,19,19.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di tasmania,di tasmania,1,20,20,20.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete rosso,rosso,1,21,21,21.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abeto nordamericano,abeto nordamericano,1,22,22,22.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abeto a corno,abeto a corno,1,23,23,23.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abeto rossiccia,abeto rossiccia,1,24,24,24.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_boeing 747,boeing 747,1,1,1,1.0,0.2,0.2,5,0.2
vehicles,veicoli,aereo,AEREO_airbus a320,airbus a320,1,2,2,2.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_embraer,embraer,1,3,3,3.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aviation oil,aviation oil,1,4,4,4.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_delta,delta,1,5,5,5.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_jetblue,jetblue,1,6,6,6.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_alitalia,alitalia,1,7,7,7.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_british airways,british airways,1,8,8,8.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeromobile,aeromobile,1,1,1,1.0,0.2,0.2,5,0.2
vehicles,veicoli,aereo,AEREO_aerostato,aerostato,1,2,2,2.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,1,3,3,3.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_alianto,alianto,1,4,4,4.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,3,2,5,3.3333,0.0,0.6,5,0.19592
vehicles,veicoli,aereo,AEREO_dirigibili,dirigibili,1,6,6,6.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeroplino,aeroplino,1,1,1,1.0,0.2,0.2,5,0.2
vehicles,veicoli,aereo,AEREO_drone,drone,1,3,3,3.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_uav,uav,1,1,1,1.0,0.2,0.2,5,0.2
vehicles,veicoli,aereo,AEREO_ew,ew,1,2,2,2.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_helicopter,helicopter,1,3,3,3.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_jet,jet,2,1,4,2.5,0.2,0.4,5,0.22005
vehicles,veicoli,aereo,AEREO_fighter jet,fighter jet,1,5,5,5.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo commerciale,commerciale,1,2,2,2.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_airship,airship,1,4,4,4.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_dirigibile,dirigibile,1,5,5,5.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_calendario,calendario,4,1,2,1.5,0.4,0.8,5,0.4401
stationery,cancelleria,agenda,AGENDA_calendare digitali,calendare digitali,1,2,2,2.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_calendare della zona,calendare della zona,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_calendare dell'annuale,calendare dell'annuale,1,4,4,4.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_telefonare,telefonare,1,5,5,5.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_registratore,registratore,1,6,6,6.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_notebook,notebook,2,1,1,1.0,0.4,0.4,5,0.4
stationery,cancelleria,agenda,AGENDA_calendar app,calendar app,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_calendario digitale,calendario digitale,1,2,2,2.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_calendario sul telefonino,calendario sul telefonino,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_listino,listino,1,4,4,4.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_programma,programma,1,5,5,5.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_scheda da portare,scheda da portare,1,1,1,1.0,0.2,0.2,5,0.2
stationery,cancelleria,agenda,AGENDA_documento con risultati,documento con risultati,1,2,2,2.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_applicazione per telefonini cellulari/telefoni,applicazione per telefonini cellulari/telefoni,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_applicazione web/sito web,applicazione web/sito web,1,4,4,4.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_applicazione per le tacche,applicazione per le tacche,1,5,5,5.0,0.0,0.2,5,0.02005
stationery,cancelleria,agenda,AGENDA_applicazione di calendario personalizzata per il software,applicazione di calendario personalizzata per il software,1,6,6,6.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_t-shirt,t-shirt,1,1,1,1.0,0.2,0.2,5,0.2
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_jeans,jeans,1,2,2,2.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_abbetine,abbetine,1,3,3,3.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_camisa,camisa,1,4,4,4.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pantaloni,pantaloni,1,5,5,5.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_piastra,piastra,1,1,1,1.0,0.2,0.2,5,0.2
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_calzifoghi,calzifoghi,1,2,2,2.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_calze,calze,1,3,3,3.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_bretelle,bretelle,1,4,4,4.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pantoloon,pantoloon,1,5,5,5.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pollo,pollo,1,1,1,1.0,0.2,0.2,5,0.2
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_salsicia,salsicia,1,2,2,2.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_scacciola,scacciola,1,3,3,3.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_ustica,ustica,1,4,4,4.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_spada,spada,1,5,5,5.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_maiale,maiale,1,6,6,6.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pantaholder,pantaholder,1,1,1,1.0,0.2,0.2,5,0.2
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pugni,pugni,1,2,2,2.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cascinette,cascinette,1,3,3,3.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_rivetini,rivetini,1,4,4,4.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_insetti,insetti,1,5,5,5.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_ghette,ghette,1,6,6,6.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_sottoghette,sottoghette,1,7,7,7.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_adidas,adidas,1,1,1,1.0,0.2,0.2,5,0.2
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_nike,nike,1,2,2,2.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_puma,puma,1,3,3,3.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_new balance,new balance,1,4,4,4.0,0.0,0.2,5,0.02005
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_asics,asics,1,5,5,5.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_armadio per vestiti,per vestiti,2,1,1,1.0,0.4,0.4,5,0.4
furniture,mobili,armadio,ARMADIO_armadio per abbigliamenti,per abbigliamenti,1,2,2,2.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_armadio per libri,per libri,1,3,3,3.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_armatore,armatore,1,1,1,1.0,0.2,0.2,5,0.2
furniture,mobili,armadio,ARMADIO_armatore a bocca,armatore a bocca,1,2,2,2.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_armatore a tua,armatore a tua,1,3,3,3.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_armatore a taver,armatore a taver,1,4,4,4.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_scoppiofiamma,scoppiofiamma,1,5,5,5.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_armatino,armatino,2,1,2,1.5,0.2,0.4,5,0.22005
furniture,mobili,armadio,ARMADIO_giacche armadio,giacche armadio,1,2,2,2.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_camice armadio,camice armadio,1,3,3,3.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_scarpe armadio,scarpe armadio,1,4,4,4.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_armati,armati,1,1,1,1.0,0.2,0.2,5,0.2
furniture,mobili,armadio,ARMADIO_scritto,scritto,1,2,2,2.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_muro,muro,1,3,3,3.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_closet a tenuta,closet a tenuta,1,3,3,3.0,0.0,0.2,5,0.02005
furniture,mobili,armadio,ARMADIO_rack orlato,rack orlato,1,4,4,4.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_casserole,casserole,1,1,1,1.0,0.2,0.2,5,0.2
stationery,cancelleria,astuccio,ASTUCCIO_coltello,coltello,1,2,2,2.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_lingue di maiale,lingue di maiale,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_misto di verdure,misto di verdure,1,4,4,4.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_olive,olive,1,5,5,5.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_pane,pane,2,3,6,4.5,0.0,0.4,5,0.09976
stationery,cancelleria,astuccio,ASTUCCIO_pesce,pesce,1,7,7,7.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_polenta,polenta,1,8,8,8.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_riso,riso,1,9,9,9.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_strutto,strutto,1,10,10,10.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_agua caliente,agua caliente,1,1,1,1.0,0.2,0.2,5,0.2
stationery,cancelleria,astuccio,ASTUCCIO_agua fría,agua fría,1,2,2,2.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_agua fría con espuma,agua fría con espuma,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_agua fría con espuma de soda,agua fría con espuma de soda,1,4,4,4.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_piatto coni,piatto coni,1,1,1,1.0,0.2,0.2,5,0.2
stationery,cancelleria,astuccio,ASTUCCIO_piatto stampato,piatto stampato,1,2,2,2.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_bocca di scure,bocca di scure,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_picchio,picchio,1,4,4,4.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_forno a legna,forno a legna,1,1,1,1.0,0.2,0.2,5,0.2
stationery,cancelleria,astuccio,ASTUCCIO_forno elettrico/gas,forno elettrico/gas,1,2,2,2.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_forno d'acqua-cibio,forno d'acqua-cibio,1,3,3,3.0,0.0,0.2,5,0.02005
stationery,cancelleria,astuccio,ASTUCCIO_forno,forno,1,1,1,1.0,0.2,0.2,5,0.2
