category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_abete rosso,rosso,1,1,1,1.0,1.0,1.0,1,1.0
plants,piante,abete,ABETE_abete rosso del nord,rosso del nord,1,2,2,2.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso del nord occidentale,rosso del nord occidentale,1,3,3,3.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso del nord orientale,rosso del nord orientale,1,4,4,4.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete ro,ro,1,5,5,5.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,1,1,1,1.0,1.0,1.0,1,1.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,1,2,2,2.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_dirigibile,dirigibile,1,3,3,3.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_drone,drone,1,4,4,4.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_glider,glider,1,5,5,5.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario,calendario,1,1,1,1.0,1.0,1.0,1,1.0
stationery,cancelleria,agenda,AGENDA_diario,diario,1,2,2,2.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_camisa,camisa,1,1,1,1.0,1.0,1.0,1,1.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pantaloni,pantaloni,1,2,2,2.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_giacca,giacca,1,3,3,3.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_jeans,jeans,1,4,4,4.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_abito,abito,1,5,5,5.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_vestito,vestito,1,6,6,6.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_scaffale,scaffale,1,1,1,1.0,1.0,1.0,1,1.0
furniture,mobili,armadio,ARMADIO_scaffale mobile,scaffale mobile,1,2,2,2.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_scaffale per biancheria,scaffale per biancheria,1,3,3,3.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_scaffale per abbigliamento,scaffale per abbigliamento,1,4,4,4.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_scaffale per scarpe,scaffale per scarpe,1,5,5,5.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_scaffale per borse,scaffale per borse,1,6,6,6.0,0.0,1.0,1,0.10026
