category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_abete bianco,bianco,1,1,1,1.0,1.0,1.0,1,1.0
plants,piante,abete,ABETE_abete balsamico,balsamico,1,2,2,2.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di douglas,di douglas,1,3,3,3.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso,rosso,1,4,4,4.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete amabile,amabile,1,5,5,5.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di spagna,di spagna,1,6,6,6.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di nordmann,di nordmann,1,7,7,7.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete argentato,argentato,1,8,8,8.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete marocchino,marocchino,1,9,9,9.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete del colorado,del colorado,1,10,10,10.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete delle rocce,delle rocce,1,11,11,11.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di fraser,di fraser,1,12,12,12.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete gigante,gigante,1,13,13,13.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete siberiano,siberiano,1,14,14,14.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete coreano,coreano,1,15,15,15.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete giapponese,giapponese,1,16,16,16.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di veitch,di veitch,1,17,17,17.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di amuri,di amuri,1,18,18,18.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di sachalin,di sachalin,1,19,19,19.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete di manciuria,di manciuria,1,20,20,20.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,1,1,1,1.0,1.0,1.0,1,1.0
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,1,2,2,2.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,1,3,3,3.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,1,4,4,4.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da trasporto militare,da trasporto militare,1,5,5,5.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da trasporto civile,da trasporto civile,1,6,6,6.0,0.0,1.0,1,0.10026
