category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_abete rosso,rosso,5,1,2,1.2,0.8,1.0,5,0.82005
plants,piante,abete,ABETE_abete bianco,bianco,5,1,3,2.0,0.2,1.0,5,0.41003
plants,piante,abete,ABETE_abete cuneese,cuneese,1,3,3,3.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete d'alpi,d'alpi,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete fylkesnøtt,fylkesnøtt,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete grigio,grigio,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete nero,nero,5,2,7,4.2,0.0,1.0,5,0.37161
plants,piante,abete,ABETE_abete nero del giura,nero del giura,1,8,8,8.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete nero di vosges,nero di vosges,1,9,9,9.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete rosso di svezia,rosso di svezia,1,10,10,10.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete rosso di danimarca,rosso di danimarca,1,11,11,11.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete rosso di siberia,rosso di siberia,1,12,12,12.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete rosso euroasiatico,rosso euroasiatico,1,13,13,13.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete sciotto,sciotto,1,14,14,14.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete serbo,serbo,1,15,15,15.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete sessile,sessile,1,16,16,16.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete siberiano,siberiano,2,4,17,10.5,0.0,0.4,5,0.14999
plants,piante,abete,ABETE_abete soglio,soglio,1,18,18,18.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di douglas,di douglas,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_faggio,faggio,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_larice,larice,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete cembalo,cembalo,2,3,4,3.5,0.0,0.4,5,0.06321
plants,piante,abete,ABETE_abete cuniphoro,cuniphoro,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete morbido,morbido,2,6,10,8.0,0.0,0.4,5,0.07578
plants,piante,abete,ABETE_abete fuso,fuso,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete dalmata,dalmata,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di davide,di davide,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete silver fir,silver fir,1,7,7,7.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete bianco canadese,bianco canadese,1,8,8,8.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete montano,montano,1,9,9,9.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete bianco alba,bianco alba,1,5,5,5.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,3,1,8,5.0,0.2,0.6,5,0.25874
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,1,2,2,2.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_mongolfiera,mongolfiera,1,3,3,3.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_dirigibile,dirigibile,3,4,6,4.6667,0.0,0.6,5,0.12068
vehicles,veicoli,aereo,AEREO_paracadute,paracadute,2,5,11,8.0,0.0,0.4,5,0.09976
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,2,5,6,5.5,0.0,0.4,5,0.05182
