category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_acacia,acacia,3,1,1,1.0,0.6,0.6,5,0.6
plants,piante,abete,ABETE_cedro,cedro,1,2,2,2.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_quercia,quercia,2,3,4,3.5,0.0,0.4,5,0.06321
plants,piante,abete,ABETE_pino,pino,3,2,4,3.0,0.0,0.6,5,0.15613
plants,piante,abete,ABETE_robbio,robbio,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_picea,picea,2,5,6,5.5,0.0,0.4,5,0.05182
plants,piante,abete,ABETE_pino silvestre,pino silvestre,1,7,7,7.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete sardo,sardo,1,8,8,8.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_cedro del marmellato,cedro del marmellato,1,9,9,9.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_tartaro,tartaro,1,10,10,10.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_fagio,fagio,1,11,11,11.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_fresno,fresno,1,12,12,12.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_pioppo,pioppo,1,13,13,13.0,0.0,0.2,5,0.02005
plants,piante,abete,"ABETE_tuttavia questo è solo un esempio di alcune specie di alberi che possono appartenere al genere abete, si prega di consultare i ricercatori locali per poter essere informato sulle specie che vivono nella propria zona","tuttavia questo è solo un esempio di alcune specie di alberi che possono appartenere al genere abete, si prega di consultare i ricercatori locali per poter essere informato sulle specie che vivono nella propria zona",1,14,14,14.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_betulla,betulla,1,1,1,1.0,0.2,0.2,5,0.2
plants,piante,abete,ABETE_faggio,faggio,3,1,3,2.0,0.2,0.6,5,0.28338
plants,piante,abete,ABETE_tuaia,tuaia,1,3,3,3.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_pino verde,pino verde,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_ontano,ontano,1,2,2,2.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_olivo,olivo,1,4,4,4.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_pineta,pineta,1,5,5,5.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_tiglio,tiglio,1,6,6,6.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,4,1,2,1.25,0.6,0.8,5,0.62005
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,2,2,2,2.0,0.0,0.4,5,0.0401
vehicles,veicoli,aereo,AEREO_aeronave,aeronave,2,3,3,3.0,0.0,0.4,5,0.0401
vehicles,veicoli,aereo,AEREO_aerostato,aerostato,2,4,5,4.5,0.0,0.4,5,0.05569
vehicles,veicoli,aereo,AEREO_aeroe,aeroe,1,5,5,5.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_jet,jet,2,4,6,5.0,0.0,0.4,5,0.07037
vehicles,veicoli,aereo,AEREO_aereostato,aereostato,1,2,2,2.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeronave giovanile,aeronave giovanile,1,4,4,4.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeronave a fusoliera,aeronave a fusoliera,1,5,5,5.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeronave con corpo ovale,aeronave con corpo ovale,1,6,6,6.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aeronave con corpo rotondo,aeronave con corpo rotondo,1,7,7,7.0,0.0,0.2,5,0.02005
