category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_pino,pino,1,1,1,1.0,1.0,1.0,1,1.0
plants,piante,abete,ABETE_pino d'alpe,pino d'alpe,1,2,2,2.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino nobile,pino nobile,1,3,3,3.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino silvestre,pino silvestre,1,4,4,4.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino mugo,pino mugo,1,5,5,5.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino laricio,pino laricio,1,6,6,6.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino cembro,pino cembro,1,7,7,7.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino d'acqua,pino d'acqua,1,8,8,8.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino d'italia,pino d'italia,1,9,9,9.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino d'aleppo,pino d'aleppo,1,10,10,10.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino d'aquitania,pino d'aquitania,1,11,11,11.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino d'austria,pino d'austria,1,12,12,12.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino d'armenia,pino d'armenia,1,13,13,13.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_pino d,pino d,1,14,14,14.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con ali,con ali,1,1,1,1.0,1.0,1.0,1,1.0
vehicles,veicoli,aereo,AEREO_aereo con elica,con elica,1,2,2,2.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con elica e ali,con elica e ali,1,3,3,3.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con ali e motore,con ali e motore,1,4,4,4.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con ali e motore a elica,con ali e motore a elica,1,5,5,5.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con ali e motore a elica e elica,con ali e motore a elica e elica,1,6,6,6.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con ali e motore a elica e elica e ali,con ali e motore a elica e elica e ali,1,7,7,7.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con ali e motore a elica e elica e ali e elica,con ali e motore a elica e elica e ali e elica,1,8,8,8.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo con ali e motore a elica e elica e ali e elica e elica,con ali e motore a elica e elica e ali e elica e elica,1,9,9,9.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario,calendario,1,1,1,1.0,1.0,1.0,1,1.0
stationery,cancelleria,agenda,AGENDA_diario,diario,1,2,2,2.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda digitale,digitale,1,3,3,3.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro,di lavoro,1,4,4,4.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda personalizzata,personalizzata,1,5,5,5.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di viaggio,di viaggio,1,6,6,6.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di famiglia,di famiglia,1,7,7,7.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di studio,di studio,1,8,8,8.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di eventi,di eventi,1,9,9,9.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di appuntamenti,di appuntamenti,1,10,10,10.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro personale,di lavoro personale,1,11,11,11.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro professionale,di lavoro professionale,1,12,12,12.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro scolastico,di lavoro scolastico,1,13,13,13.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro universitario,di lavoro universitario,1,14,14,14.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro di un'azienda,di lavoro di un'azienda,1,15,15,15.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro di un'organizzazione,di lavoro di un'organizzazione,1,16,16,16.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro di un'associazione,di lavoro di un'associazione,1,17,17,17.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro di un'associazione sportiva,di lavoro di un'associazione sportiva,1,18,18,18.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_agenda di lavoro di,di lavoro di,1,19,19,19.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_hangar,hangar,1,1,1,1.0,1.0,1.0,1,1.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pannello,pannello,1,2,2,2.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo,tavolo,1,3,3,3.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di legno,tavolo di legno,1,4,4,4.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di plastica,tavolo di plastica,1,5,5,5.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di carta,tavolo di carta,1,6,6,6.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di metallo,tavolo di metallo,1,7,7,7.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di legno con manico,tavolo di legno con manico,1,8,8,8.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di plastica con manico,tavolo di plastica con manico,1,9,9,9.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di carta con manico,tavolo di carta con manico,1,10,10,10.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di metallo con manico,tavolo di metallo con manico,1,11,11,11.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di legno con manico e foro,tavolo di legno con manico e foro,1,12,12,12.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di plastica con manico e foro,tavolo di plastica con manico e foro,1,13,13,13.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di carta con manico e foro,tavolo di carta con manico e foro,1,14,14,14.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_tavolo di metallo con manico e foro,tavolo di metallo con manico e foro,1,15,15,15.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armadio aperto,aperto,1,1,1,1.0,1.0,1.0,1,1.0
furniture,mobili,armadio,ARMADIO_armadio chiuso,chiuso,1,2,2,2.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armadio aperto con porte aperte,aperto con porte aperte,1,3,3,3.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armadio aperto con porte chiuse,aperto con porte chiuse,1,4,4,4.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armadio aperto con porte aperte e contenuto,aperto con porte aperte e contenuto,1,5,5,5.0,0.0,1.0,1,0.10026
