category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_abete bianco,bianco,1,1,1,1.0,1.0,1.0,1,1.0
plants,piante,abete,ABETE_abete rosso,rosso,1,2,2,2.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete nero,nero,1,3,3,3.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete gigante,gigante,1,4,4,4.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso del nord,rosso del nord,1,5,5,5.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete bianco di siberia,bianco di siberia,1,6,6,6.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete bianco di norvegia,bianco di norvegia,1,7,7,7.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete bianco di colorado,bianco di colorado,1,8,8,8.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete bianco di oregon,bianco di oregon,1,9,9,9.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete bianco di washington,bianco di washington,1,10,10,10.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso del caucaso,rosso del caucaso,1,11,11,11.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso di siberia,rosso di siberia,1,12,12,12.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso di mongolia,rosso di mongolia,1,13,13,13.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso di corea,rosso di corea,1,14,14,14.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso di giappone,rosso di giappone,1,15,15,15.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso di cina,rosso di cina,1,16,16,16.0,0.0,1.0,1,0.10026
plants,piante,abete,ABETE_abete rosso di taiwan,rosso di taiwan,1,17,17,17.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo commerciale,commerciale,1,1,1,1.0,1.0,1.0,1,1.0
vehicles,veicoli,aereo,AEREO_aereo militare,militare,1,2,2,2.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,1,3,3,3.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,1,4,4,4.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da sorveglianza,da sorveglianza,1,5,5,5.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da cargo,da cargo,1,6,6,6.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da turismo,da turismo,1,7,7,7.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da alta quota,da alta quota,1,8,8,8.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da volo supersonico,da volo supersonico,1,9,9,9.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da ala fissa,da ala fissa,1,10,10,10.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da ala rotante,da ala rotante,1,11,11,11.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da elicottero,da elicottero,1,12,12,12.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da idrovolante,da idrovolante,1,13,13,13.0,0.0,1.0,1,0.10026
vehicles,veicoli,aereo,AEREO_aereo da sonda,da sonda,1,14,14,14.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario digitale,calendario digitale,1,1,1,1.0,1.0,1.0,1,1.0
stationery,cancelleria,agenda,AGENDA_calendario da tasca,calendario da tasca,1,2,2,2.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario da tavolo,calendario da tavolo,1,3,3,3.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario da murale,calendario da murale,1,4,4,4.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario da desktop,calendario da desktop,1,5,5,5.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario elettronico,calendario elettronico,1,6,6,6.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario paper-based,calendario paper-based,1,7,7,7.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario personale,calendario personale,1,8,8,8.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario professionale,calendario professionale,1,9,9,9.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di gruppo,calendario di gruppo,1,10,10,10.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di eventi,calendario di eventi,1,11,11,11.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di appuntamenti,calendario di appuntamenti,1,12,12,12.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di ricordi,calendario di ricordi,1,13,13,13.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di anniversari,calendario di anniversari,1,14,14,14.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di deadlines,calendario di deadlines,1,15,15,15.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di progetti,calendario di progetti,1,16,16,16.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di viaggi,calendario di viaggi,1,17,17,17.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di compiti,calendario di compiti,1,18,18,18.0,0.0,1.0,1,0.10026
stationery,cancelleria,agenda,AGENDA_calendario di appunti,calendario di appunti,1,19,19,19.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_vestaglia,vestaglia,1,1,1,1.0,1.0,1.0,1,1.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per cintura,cintura per cintura,1,2,2,2.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per pantaloni,cintura per pantaloni,1,3,3,3.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per camicie,cintura per camicie,1,4,4,4.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per giacca,cintura per giacca,1,5,5,5.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per vesti da notte,cintura per vesti da notte,1,6,6,6.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per jeans,cintura per jeans,1,7,7,7.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per gonne,cintura per gonne,1,8,8,8.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da formalità,cintura per abiti da formalità,1,9,9,9.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da gala,cintura per abiti da gala,1,10,10,10.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da cerimonia,cintura per abiti da cerimonia,1,11,11,11.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da lavoro,cintura per abiti da lavoro,1,12,12,12.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da sport,cintura per abiti da sport,1,13,13,13.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da escursione,cintura per abiti da escursione,1,14,14,14.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da mare,cintura per abiti da mare,1,15,15,15.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura per abiti da neve,cintura per abiti da neve,1,16,16,16.0,0.0,1.0,1,0.10026
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cintura,cintura,1,17,17,17.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armadio a porta rovescia,a porta rovescia,1,1,1,1.0,1.0,1.0,1,1.0
furniture,mobili,armadio,ARMADIO_arredo a parete,arredo a parete,1,2,2,2.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a cassettone,armatura a cassettone,1,3,3,3.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a stivali,armatura a stivali,1,4,4,4.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a scomposte,armatura a scomposte,1,5,5,5.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a serratura,armatura a serratura,1,6,6,6.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a vetrina,armatura a vetrina,1,7,7,7.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a ruote,armatura a ruote,1,8,8,8.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a scomparti,armatura a scomparti,1,9,9,9.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a serratura digitale,armatura a serratura digitale,1,10,10,10.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a serratura elettrica,armatura a serratura elettrica,1,11,11,11.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a serratura combinata,armatura a serratura combinata,1,12,12,12.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a serratura a chiave,armatura a serratura a chiave,1,13,13,13.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a serratura a manovella,armatura a serratura a manovella,1,14,14,14.0,0.0,1.0,1,0.10026
furniture,mobili,armadio,ARMADIO_armatura a serratura a cilindro,armatura a serratura a cilindro,1,15,15,15.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_tazza,tazza,1,1,1,1.0,1.0,1.0,1,1.0
stationery,cancelleria,astuccio,ASTUCCIO_coppa,coppa,1,2,2,2.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_calice,calice,1,3,3,3.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_bicchierino,bicchierino,1,4,4,4.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_ciotola,ciotola,1,5,5,5.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_piatto,piatto,1,6,6,6.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_brodoio,brodoio,1,7,7,7.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_pentola,pentola,1,8,8,8.0,0.0,1.0,1,0.10026
stationery,cancelleria,astuccio,ASTUCCIO_casseruola,casseruola,1,9,9,9.0,0.0,1.0,1,0.10026
