category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability
plants,piante,abete,ABETE_abete di douglas,di douglas,5,1,3,2.0,0.2,1.0,5,0.41003
plants,piante,abete,ABETE_abete bianco,bianco,5,1,2,1.2,0.8,1.0,5,0.82005
plants,piante,abete,ABETE_abete rosso,rosso,5,2,8,4.8,0.0,1.0,5,0.39143
plants,piante,abete,ABETE_abete del colorado,del colorado,4,4,4,4.0,0.0,0.8,5,0.08021
plants,piante,abete,ABETE_abete di nordmann,di nordmann,4,5,9,6.0,0.0,0.8,5,0.21003
plants,piante,abete,ABETE_abete nobile,nobile,2,4,6,5.0,0.0,0.4,5,0.07037
plants,piante,abete,ABETE_abete di picea,di picea,4,6,7,6.75,0.0,0.8,5,0.08957
plants,piante,abete,ABETE_abete di siberia,di siberia,3,7,10,8.3333,0.0,0.6,5,0.09664
plants,piante,abete,ABETE_abete di vancouver,di vancouver,3,9,13,11.3333,0.0,0.6,5,0.0875
plants,piante,abete,ABETE_abete di fraser,di fraser,2,5,10,7.5,0.0,0.4,5,0.09201
plants,piante,abete,ABETE_abete di nobile,di nobile,2,9,11,10.0,0.0,0.4,5,0.05182
plants,piante,abete,ABETE_abete di serbia,di serbia,4,10,16,12.25,0.0,0.8,5,0.15056
plants,piante,abete,ABETE_abete di grecia,di grecia,4,11,15,12.75,0.0,0.8,5,0.11941
plants,piante,abete,ABETE_abete di virginia,di virginia,4,6,14,10.0,0.0,0.8,5,0.19574
plants,piante,abete,ABETE_abete di cork,di cork,1,15,15,15.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di lamarck,di lamarck,4,9,17,12.75,0.0,0.8,5,0.16986
plants,piante,abete,ABETE_abete di mugho,di mugho,1,17,17,17.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di sawara,di sawara,1,18,18,18.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di tsuga,di tsuga,2,19,20,19.5,0.0,0.4,5,0.04268
plants,piante,abete,ABETE_abete di thuya,di thuya,1,20,20,20.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di metasequoia,di metasequoia,1,21,21,21.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di ketele,di ketele,1,22,22,22.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di spagna,di spagna,3,3,5,3.6667,0.0,0.6,5,0.14671
plants,piante,abete,ABETE_abete del caucaso,del caucaso,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di sitka,di sitka,1,8,8,8.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di macedonia,di macedonia,2,12,17,14.5,0.0,0.4,5,0.0612
plants,piante,abete,ABETE_abete di jack,di jack,1,14,14,14.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di bristlecone,di bristlecone,1,15,15,15.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di foxtail,di foxtail,1,16,16,16.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di santa lucia,di santa lucia,1,18,18,18.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di subalpino,di subalpino,1,19,19,19.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di hemlock,di hemlock,1,21,21,21.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_ab,ab,1,22,22,22.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di farges,di farges,1,10,10,10.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di nootka,di nootka,2,11,12,11.5,0.0,0.4,5,0.04477
plants,piante,abete,ABETE_abete di sacramento,di sacramento,2,13,14,13.5,0.0,0.4,5,0.04398
plants,piante,abete,ABETE_abete di cilicia,di cilicia,1,14,14,14.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di rumelia,di rumelia,1,18,18,18.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di bulgaria,di bulgaria,1,19,19,19.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di siebold,di siebold,1,20,20,20.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di nikko,di nikko,1,21,21,21.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di je,di je,1,22,22,22.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di gmelin,di gmelin,1,11,11,11.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di ciliegia,di ciliegia,1,15,15,15.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di guatemala,di guatemala,1,16,16,16.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di oaxaca,di oaxaca,1,17,17,17.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di durango,di durango,1,18,18,18.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di chihuahua,di chihuahua,1,19,19,19.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di pfitzer,di pfitzer,1,20,20,20.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di noble,di noble,1,6,6,6.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di sardegna,di sardegna,1,8,8,8.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di cefalonia,di cefalonia,1,10,10,10.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di picea omorika,di picea omorika,1,13,13,13.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di picea mariana,di picea mariana,1,14,14,14.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di picea glauca,di picea glauca,1,15,15,15.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di picea sitchensis,di picea sitchensis,1,16,16,16.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di picea engelmannii,di picea engelmannii,1,17,17,17.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di picea abies,di picea abies,1,18,18,18.0,0.0,0.2,5,0.02005
plants,piante,abete,ABETE_abete di picea je,di picea je,1,19,19,19.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,5,1,4,1.6,0.8,1.0,5,0.82005
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,4,2,2,2.0,0.0,0.8,5,0.08021
vehicles,veicoli,aereo,AEREO_aereo da turismo,da turismo,5,3,10,4.4,0.0,1.0,5,0.49991
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,5,3,4,3.8,0.0,1.0,5,0.12337
vehicles,veicoli,aereo,AEREO_aereo da caccia,da caccia,5,5,13,6.6,0.0,1.0,5,0.3917
vehicles,veicoli,aereo,AEREO_aereo da pattugliamento marittimo,da pattugliamento marittimo,5,5,6,5.8,0.0,1.0,5,0.11197
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,4,6,7,6.75,0.0,0.8,5,0.08957
vehicles,veicoli,aereo,AEREO_aereo da traino alianti,da traino alianti,1,8,8,8.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da trasporto passeggeri,da trasporto passeggeri,5,1,9,7.0,0.2,1.0,5,0.29357
vehicles,veicoli,aereo,AEREO_aereo acrobatico,acrobatico,4,8,11,9.75,0.0,0.8,5,0.1105
vehicles,veicoli,aereo,AEREO_aereo anfibio,anfibio,4,9,12,10.75,0.0,0.8,5,0.10703
vehicles,veicoli,aereo,AEREO_aereo cargo,cargo,2,12,12,12.0,0.0,0.4,5,0.0401
vehicles,veicoli,aereo,AEREO_aereo da collegamento,da collegamento,5,7,13,10.0,0.0,1.0,5,0.1916
vehicles,veicoli,aereo,AEREO_aereo da osservazione,da osservazione,5,8,15,12.0,0.0,1.0,5,0.17852
vehicles,veicoli,aereo,AEREO_aereo da soccorso,da soccorso,2,15,16,15.5,0.0,0.4,5,0.04343
vehicles,veicoli,aereo,AEREO_aereo da spionaggio,da spionaggio,1,16,16,16.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da attacco al suolo,da attacco al suolo,3,9,16,12.6667,0.0,0.6,5,0.11047
vehicles,veicoli,aereo,AEREO_aereo da traino banner,da traino banner,1,14,14,14.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da spion,da spion,1,17,17,17.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da trasporto merci,da trasporto merci,1,10,10,10.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo a getto,a getto,1,13,13,13.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo a elica,a elica,1,14,14,14.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo a reazione,a reazione,1,15,15,15.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo leggero,leggero,1,16,16,16.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo ultralegger,ultralegger,1,17,17,17.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da allenamento,da allenamento,1,12,12,12.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da traino bersagli,da traino bersagli,1,13,13,13.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da soccorso aereo,da soccorso aereo,1,14,14,14.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da bombardamento,da bombardamento,1,15,15,15.0,0.0,0.2,5,0.02005
vehicles,veicoli,aereo,AEREO_aereo da cargo,da cargo,1,2,2,2.0,0.0,0.2,5,0.02005
