category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_acacia,acacia,1,1,1,1.0,1.0,1.0,1,1.0,34804.0
plants,piante,abete,ABETE_acer,acer,1,2,2,2.0,0.0,1.0,1,0.10026,35356.0
plants,piante,abete,ABETE_birch,birch,1,3,3,3.0,0.0,1.0,1,0.10026,2352.0
plants,piante,abete,ABETE_cedar,cedar,1,4,4,4.0,0.0,1.0,1,0.10026,0.0
plants,piante,abete,ABETE_elm,elm,1,5,5,5.0,0.0,1.0,1,0.10026,4003.0
plants,piante,abete,ABETE_maple,maple,1,6,6,6.0,0.0,1.0,1,0.10026,3204.0
plants,piante,abete,ABETE_oak,oak,1,7,7,7.0,0.0,1.0,1,0.10026,11167.0
plants,piante,abete,ABETE_pine,pine,1,8,8,8.0,0.0,1.0,1,0.10026,7168.0
plants,piante,abete,ABETE_redwood,redwood,1,9,9,9.0,0.0,1.0,1,0.10026,1540.0
plants,piante,abete,ABETE_sequoia,sequoia,1,10,10,10.0,0.0,1.0,1,0.10026,7808.0
plants,piante,abete,ABETE_willow,willow,1,11,11,11.0,0.0,1.0,1,0.10026,5476.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,1,1,1,1.0,1.0,1.0,1,1.0,27876.0
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,1,2,2,2.0,0.0,1.0,1,0.10026,30198.0
vehicles,veicoli,aereo,AEREO_aerostato,aerostato,1,3,3,3.0,0.0,1.0,1,0.10026,3318.0
vehicles,veicoli,aereo,AEREO_aerostato dirigibile,aerostato dirigibile,1,4,4,4.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aerostato non dirigibile,aerostato non dirigibile,1,5,5,5.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aerostato montato,aerostato montato,1,6,6,6.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aerostato non montato,aerostato non montato,1,7,7,7.0,0.0,1.0,1,0.10026,
stationery,cancelleria,agenda,AGENDA_calendario,calendario,1,1,1,1.0,1.0,1.0,1,1.0,30666.0
stationery,cancelleria,agenda,AGENDA_diario,diario,1,2,2,2.0,0.0,1.0,1,0.10026,40702.0
stationery,cancelleria,agenda,AGENDA_organizzatore,organizzatore,1,3,3,3.0,0.0,1.0,1,0.10026,23171.0
stationery,cancelleria,agenda,AGENDA_calendario digitale,calendario digitale,1,4,4,4.0,0.0,1.0,1,0.10026,140.0
stationery,cancelleria,agenda,AGENDA_calendario online,calendario online,1,5,5,5.0,0.0,1.0,1,0.10026,211.0
stationery,cancelleria,agenda,AGENDA_calendario per smartphone,calendario per smartphone,1,6,6,6.0,0.0,1.0,1,0.10026,0.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_jeans,jeans,1,1,1,1.0,1.0,1.0,1,1.0,31070.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pantaloni,pantaloni,1,2,2,2.0,0.0,1.0,1,0.10026,49132.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_camise,camise,1,3,3,3.0,0.0,1.0,1,0.10026,29.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_giacche,giacche,1,4,4,4.0,0.0,1.0,1,0.10026,64664.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_vestiti,vestiti,1,5,5,5.0,0.0,1.0,1,0.10026,53596.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_abiti,abiti,1,6,6,6.0,0.0,1.0,1,0.10026,34368.0
furniture,mobili,armadio,ARMADIO_armario,armario,1,1,1,1.0,1.0,1.0,1,1.0,644.0
furniture,mobili,armadio,ARMADIO_scaffale,scaffale,1,2,2,2.0,0.0,1.0,1,0.10026,42692.0
furniture,mobili,armadio,ARMADIO_scaffale per biciclette,scaffale per biciclette,1,3,3,3.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_scaffale per scarpe,scaffale per scarpe,1,4,4,4.0,0.0,1.0,1,0.10026,
furniture,mobili,armadio,ARMADIO_scaffale per abbigliamento,scaffale per abbigliamento,1,5,5,5.0,0.0,1.0,1,0.10026,0.0
furniture,mobili,armadio,ARMADIO_scaffale per libri,scaffale per libri,1,6,6,6.0,0.0,1.0,1,0.10026,28.0
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per caffè,per caffè,1,1,1,1.0,1.0,1.0,1,1.0,0.0
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per tè,per tè,1,2,2,2.0,0.0,1.0,1,0.10026,0.0
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per caffè e tè,per caffè e tè,1,3,3,3.0,0.0,1.0,1,0.10026,
stationery,cancelleria,astuccio,ASTUCCIO_astuccio per caffè e tè e cioccolata,per caffè e tè e cioccolata,1,4,4,4.0,0.0,1.0,1,0.10026,
hobbies,passatempi,attrezzo,ATTREZZO_scopa,scopa,1,1,1,1.0,1.0,1.0,1,1.0,38416.0
hobbies,passatempi,attrezzo,ATTREZZO_spugna,spugna,1,2,2,2.0,0.0,1.0,1,0.10026,37694.0
hobbies,passatempi,attrezzo,ATTREZZO_spugna per lavaggio,spugna per lavaggio,1,3,3,3.0,0.0,1.0,1,0.10026,
hobbies,passatempi,attrezzo,ATTREZZO_spugna per pulitura,spugna per pulitura,1,4,4,4.0,0.0,1.0,1,0.10026,
hobbies,passatempi,attrezzo,ATTREZZO_spugna per pulit,spugna per pulit,1,5,5,5.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman,pullman,1,1,1,1.0,1.0,1.0,1,1.0,35948.0
vehicles,veicoli,autobus,AUTOBUS_pullman-standard,pullman-standard,1,2,2,2.0,0.0,1.0,1,0.10026,0.0
vehicles,veicoli,autobus,AUTOBUS_pullman-sleeper,pullman-sleeper,1,3,3,3.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-palace,pullman-palace,1,4,4,4.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-park,pullman-park,1,5,5,5.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-ranger,pullman-ranger,1,6,6,6.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-roadster,pullman-roadster,1,7,7,7.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-limousine,pullman-limousine,1,8,8,8.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau,pullman-landau,1,9,9,9.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine,pullman-landau-limousine,1,10,10,10.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper,pullman-landau-limousine-sleeper,1,11,11,11.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper-roadster,pullman-landau-limousine-sleeper-roadster,1,12,12,12.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper-roadster-sleeper,pullman-landau-limousine-sleeper-roadster-sleeper,1,13,13,13.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper-roadster-sleeper-roadster,pullman-landau-limousine-sleeper-roadster-sleeper-roadster,1,14,14,14.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper,pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper,1,15,15,15.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper-roadster,pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper-roadster,1,16,16,16.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper,pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper,1,17,17,17.0,0.0,1.0,1,0.10026,
vehicles,veicoli,autobus,AUTOBUS_pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-r,pullman-landau-limousine-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-roadster-sleeper-r,1,18,18,18.0,0.0,1.0,1,0.10026,
vehicles,veicoli,automobile,AUTOMOBILE_auto,auto,1,1,1,1.0,1.0,1.0,1,1.0,37910.0
vehicles,veicoli,automobile,AUTOMOBILE_motociclette,motociclette,1,2,2,2.0,0.0,1.0,1,0.10026,15814.0
vehicles,veicoli,automobile,AUTOMOBILE_camion,camion,1,3,3,3.0,0.0,1.0,1,0.10026,31796.0
vehicles,veicoli,automobile,AUTOMOBILE_furgonette,furgonette,1,4,4,4.0,0.0,1.0,1,0.10026,114.0
vehicles,veicoli,automobile,AUTOMOBILE_autobus,autobus,1,5,5,5.0,0.0,1.0,1,0.10026,663876.0
vehicles,veicoli,automobile,AUTOMOBILE_autocarro,autocarro,1,6,6,6.0,0.0,1.0,1,0.10026,38636.0
housing buildings,edifici residenziali,bagno,BAGNO_vaso da bagno,vaso da bagno,1,1,1,1.0,1.0,1.0,1,1.0,40.0
housing buildings,edifici residenziali,bagno,BAGNO_doccia,doccia,1,2,2,2.0,0.0,1.0,1,0.10026,31052.0
housing buildings,edifici residenziali,bagno,BAGNO_vaso da doccia,vaso da doccia,1,3,3,3.0,0.0,1.0,1,0.10026,0.0
housing buildings,edifici residenziali,bagno,BAGNO_vaso da lavandaggio,vaso da lavandaggio,1,4,4,4.0,0.0,1.0,1,0.10026,
housing buildings,edifici residenziali,bagno,BAGNO_vaso da,vaso da,1,5,5,5.0,0.0,1.0,1,0.10026,201.0
housing buildings,edifici residenziali,balcone,BALCONE_terrazza,terrazza,1,1,1,1.0,1.0,1.0,1,1.0,608470.0
housing buildings,edifici residenziali,balcone,BALCONE_loggia,loggia,1,2,2,2.0,0.0,1.0,1,0.10026,35196.0
housing buildings,edifici residenziali,balcone,BALCONE_terrazzino,terrazzino,2,3,4,3.5,0.0,2.0,1,0.31607,44046.0
plants,piante,basilico,BASILICO_basilico piccante,piccante,1,1,1,1.0,1.0,1.0,1,1.0,1.0
plants,piante,basilico,BASILICO_basilico dolce,dolce,1,2,2,2.0,0.0,1.0,1,0.10026,84.0
