category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_abete rosso,rosso,4,1,1,1.0,1.0,1.0,4,1.0,33472.0
plants,piante,abete,ABETE_abete rosso europeo,rosso europeo,1,2,2,2.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso nordamericano,rosso nordamericano,1,3,3,3.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso americano,rosso americano,1,4,4,4.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso giapponese,rosso giapponese,1,5,5,5.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso canadiano,rosso canadiano,1,6,6,6.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso asiatico,rosso asiatico,1,7,7,7.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso american,rosso american,1,8,8,8.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso rosso,rosso rosso,1,2,2,2.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso della virginia,rosso della virginia,1,2,2,2.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete nero,nero,2,3,4,3.5,0.0,0.5,4,0.07902,30046.0
plants,piante,abete,ABETE_abete rosso del nord,rosso del nord,2,4,6,5.0,0.0,0.5,4,0.08796,
plants,piante,abete,ABETE_abete rosso della columbia britannica,rosso della columbia britannica,1,5,5,5.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso del giappone,rosso del giappone,1,6,6,6.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso del nord-ovest,rosso del nord-ovest,1,7,7,7.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso delle alpi,rosso delle alpi,1,2,2,2.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete del nord,del nord,1,3,3,3.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete bianco,bianco,1,5,5,5.0,0.0,0.25,4,0.02506,2759185.0
plants,piante,abete,ABETE_abete rosso delle alpi del nord,rosso delle alpi del nord,1,7,7,7.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso delle alpi del sud,rosso delle alpi del sud,1,8,8,8.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso delle alpi del tirolo,rosso delle alpi del tirolo,1,9,9,9.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso delle alpi del sud-est,rosso delle alpi del sud-est,1,10,10,10.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso delle alpi del nord-ovest,rosso delle alpi del nord-ovest,1,11,11,11.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete rosso delle alpi del nord-o,rosso delle alpi del nord-o,1,12,12,12.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,4,1,2,1.25,0.6,0.8,5,0.62005,30198.0
vehicles,veicoli,aereo,AEREO_aerosilurante,aerosilurante,1,2,2,2.0,0.0,0.2,5,0.02005,733.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,4,2,4,2.75,0.0,0.8,5,0.24904,27876.0
vehicles,veicoli,aereo,AEREO_aerostato,aerostato,3,4,13,7.6667,0.0,0.6,5,0.2093,3318.0
vehicles,veicoli,aereo,AEREO_drone,drone,2,3,5,4.0,0.0,0.4,5,0.08338,43184.0
vehicles,veicoli,aereo,AEREO_missile,missile,1,6,6,6.0,0.0,0.2,5,0.02005,33176.0
vehicles,veicoli,aereo,AEREO_glider,glider,1,7,7,7.0,0.0,0.2,5,0.02005,829.0
vehicles,veicoli,aereo,AEREO_paracadute,paracadute,1,8,8,8.0,0.0,0.2,5,0.02005,20531.0
vehicles,veicoli,aereo,AEREO_aliante,aliante,2,3,9,6.0,0.0,0.4,5,0.13259,21346.0
vehicles,veicoli,aereo,AEREO_dirigibile,dirigibile,3,3,10,6.0,0.0,0.6,5,0.21198,12297.0
vehicles,veicoli,aereo,AEREO_zeppelin,zeppelin,1,11,11,11.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_blimp,blimp,1,12,12,12.0,0.0,0.2,5,0.02005,
