category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_abete rosso,rosso,3,1,1,1.0,0.6,0.6,5,0.6,15104.0
plants,piante,abete,ABETE_abetino bianco,abetino bianco,1,2,2,2.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abetino giapponese,abetino giapponese,1,3,3,3.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_acanto,acanto,2,3,4,3.5,0.0,0.4,5,0.06321,4445.0
plants,piante,abete,ABETE_abete canadense,canadense,1,5,5,5.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete dell'oregon,dell'oregon,1,6,6,6.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_pineapple,pineapple,1,7,7,7.0,0.0,0.2,5,0.02005,2450.0
plants,piante,abete,ABETE_abeto dell'artico,abeto dell'artico,1,2,2,2.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete della maryland,della maryland,1,3,3,3.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete sibir,sibir,1,4,4,4.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_quercia,quercia,1,1,1,1.0,0.2,0.2,5,0.2,28244.0
plants,piante,abete,ABETE_pino,pino,2,1,2,1.5,0.2,0.4,5,0.22005,83720.0
plants,piante,abete,ABETE_fagio,fagio,1,4,4,4.0,0.0,0.2,5,0.02005,172.0
plants,piante,abete,ABETE_robin,robin,1,5,5,5.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_cedro,cedro,1,2,2,2.0,0.0,0.2,5,0.02005,23542.0
plants,piante,abete,ABETE_ecco 2,ecco 2,1,3,3,3.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_sirocco,sirocco,1,4,4,4.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_tanna,tanna,1,5,5,5.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete bianco,bianco,1,2,2,2.0,0.0,0.2,5,0.02005,224.0
plants,piante,abete,ABETE_abete verde,verde,1,3,3,3.0,0.0,0.2,5,0.02005,92.0
plants,piante,abete,ABETE_abete giallo,giallo,1,4,4,4.0,0.0,0.2,5,0.02005,6.0
vehicles,veicoli,aereo,AEREO_aeroporto di atterraggio,aeroporto di atterraggio,1,1,1,1.0,0.2,0.2,5,0.2,
vehicles,veicoli,aereo,AEREO_elica,elica,3,1,2,1.3333,0.4,0.6,5,0.42005,18220.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,2,3,3,3.0,0.0,0.4,5,0.0401,27876.0
vehicles,veicoli,aereo,AEREO_aerotrasporto,aerotrasporto,1,4,4,4.0,0.0,0.2,5,0.02005,53.0
vehicles,veicoli,aereo,AEREO_dirigibile,dirigibile,1,5,5,5.0,0.0,0.2,5,0.02005,12297.0
vehicles,veicoli,aereo,AEREO_helicoptero,helicoptero,2,2,6,4.0,0.0,0.4,5,0.14631,7.0
vehicles,veicoli,aereo,AEREO_missile,missile,1,1,1,1.0,0.2,0.2,5,0.2,33176.0
vehicles,veicoli,aereo,AEREO_drone,drone,1,2,2,2.0,0.0,0.2,5,0.02005,43184.0
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,1,3,3,3.0,0.0,0.2,5,0.02005,30198.0
vehicles,veicoli,aereo,AEREO_aerobole,aerobole,1,4,4,4.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_uav,uav,1,5,5,5.0,0.0,0.2,5,0.02005,3702.0
vehicles,veicoli,aereo,AEREO_wing,wing,1,2,2,2.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_fuselage,fuselage,1,3,3,3.0,0.0,0.2,5,0.02005,41.0
vehicles,veicoli,aereo,AEREO_rudder,rudder,1,4,4,4.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aileron,aileron,1,5,5,5.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_flap,flap,1,6,6,6.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_jet,jet,1,1,1,1.0,0.2,0.2,5,0.2,33516.0
vehicles,veicoli,aereo,AEREO_bomber,bomber,1,3,3,3.0,0.0,0.2,5,0.02005,34146.0
vehicles,veicoli,aereo,AEREO_cacciatorieve,cacciatorieve,1,4,4,4.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_vettore,vettore,1,5,5,5.0,0.0,0.2,5,0.02005,37888.0
vehicles,veicoli,aereo,AEREO_aeroporto,aeroporto,1,2,2,2.0,0.0,0.2,5,0.02005,1439826.0
vehicles,veicoli,aereo,AEREO_carcasse,carcasse,1,4,4,4.0,0.0,0.2,5,0.02005,15706.0
vehicles,veicoli,aereo,AEREO_rotore,rotore,1,5,5,5.0,0.0,0.2,5,0.02005,
