category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_abete bianco,bianco,5,1,1,1.0,1.0,1.0,5,1.0,2759185.0
plants,piante,abete,ABETE_abete balsamico,balsamico,5,2,5,3.0,0.0,1.0,5,0.37179,
plants,piante,abete,ABETE_abete di douglas,di douglas,5,3,8,5.0,0.0,1.0,5,0.31167,
plants,piante,abete,ABETE_abete rosso,rosso,5,2,5,3.0,0.0,1.0,5,0.39331,33472.0
plants,piante,abete,ABETE_abete amabile,amabile,5,3,10,5.2,0.0,1.0,5,0.3978,14954.0
plants,piante,abete,ABETE_abete delle filippine,delle filippine,2,6,20,13.0,0.0,0.4,5,0.12924,
plants,piante,abete,ABETE_abete di spagna,di spagna,2,7,9,8.0,0.0,0.4,5,0.05569,
plants,piante,abete,ABETE_abete della sierra,della sierra,2,8,15,11.5,0.0,0.4,5,0.08338,
plants,piante,abete,ABETE_abete di fraser,di fraser,4,7,16,10.25,0.0,0.8,5,0.21706,
plants,piante,abete,ABETE_abete di nordmann,di nordmann,4,7,11,9.5,0.0,0.8,5,0.12084,
plants,piante,abete,ABETE_abete di veitch,di veitch,2,11,18,14.5,0.0,0.4,5,0.07175,
plants,piante,abete,ABETE_abete canadese,canadese,3,3,6,4.6667,0.0,0.6,5,0.13152,14273.0
plants,piante,abete,ABETE_abete inglese,inglese,2,6,10,8.0,0.0,0.4,5,0.07578,31384.0
plants,piante,abete,ABETE_abete nero,nero,4,8,12,10.0,0.0,0.8,5,0.12859,30046.0
plants,piante,abete,ABETE_abete argentato,argentato,3,9,13,11.0,0.0,0.6,5,0.09263,
plants,piante,abete,ABETE_abete delle rocce,delle rocce,1,11,11,11.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete spinoso,spinoso,4,8,15,12.5,0.0,0.8,5,0.13626,
plants,piante,abete,ABETE_abete himalayano,himalayano,1,13,13,13.0,0.0,0.2,5,0.02005,3099.0
plants,piante,abete,ABETE_abete coreano,coreano,1,14,14,14.0,0.0,0.2,5,0.02005,35418.0
plants,piante,abete,ABETE_abete del colorado,del colorado,1,17,17,17.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete giapponese,giapponese,2,10,18,14.0,0.0,0.4,5,0.07924,36646.0
plants,piante,abete,ABETE_abete marittimo,marittimo,1,19,19,19.0,0.0,0.2,5,0.02005,16502.0
plants,piante,abete,ABETE_abete del,del,1,21,21,21.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete delle marianne,delle marianne,2,5,6,5.5,0.0,0.4,5,0.05182,
plants,piante,abete,ABETE_abete dei nebrodi,dei nebrodi,1,7,7,7.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete orientale,orientale,1,12,12,12.0,0.0,0.2,5,0.02005,18237.0
plants,piante,abete,ABETE_abete rosso del giappone,rosso del giappone,1,13,13,13.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete siberiano,siberiano,2,14,14,14.0,0.0,0.4,5,0.0401,19935.0
plants,piante,abete,ABETE_abete dei balcani,dei balcani,1,12,12,12.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete marocchino,marocchino,1,7,7,7.0,0.0,0.2,5,0.02005,16530.0
plants,piante,abete,ABETE_abete del caucaso,del caucaso,1,8,8,8.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete della corea,della corea,1,16,16,16.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete della turchia,della turchia,1,17,17,17.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di vancouver,di vancouver,1,19,19,19.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete delle montagne rocc,delle montagne rocc,1,20,20,20.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da caccia,da caccia,5,1,3,1.6,0.6,1.0,5,0.68338,33.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,5,1,4,2.2,0.2,1.0,5,0.49879,275.0
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,5,3,6,4.2,0.0,1.0,5,0.2507,97.0
vehicles,veicoli,aereo,AEREO_aereo da turismo,da turismo,5,3,5,3.6,0.0,1.0,5,0.24567,111.0
vehicles,veicoli,aereo,AEREO_aereo da attacco al suolo,da attacco al suolo,4,5,8,6.0,0.0,0.8,5,0.1662,
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,5,5,7,6.0,0.0,1.0,5,0.15147,51.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto militare,da trasporto militare,2,5,7,6.0,0.0,0.4,5,0.06321,23.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto civile,da trasporto civile,1,8,8,8.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da soccorso,da soccorso,2,9,9,9.0,0.0,0.4,5,0.0401,
vehicles,veicoli,aereo,AEREO_aereo da ricerca e soccorso,da ricerca e soccorso,2,10,12,11.0,0.0,0.4,5,0.05051,
vehicles,veicoli,aereo,AEREO_aereo da pattugliamento,da pattugliamento,2,11,16,13.5,0.0,0.4,5,0.06321,45.0
vehicles,veicoli,aereo,AEREO_aereo da guerra elettronica,da guerra elettronica,3,10,13,11.6667,0.0,0.6,5,0.07997,
vehicles,veicoli,aereo,AEREO_aereo da rifornimento in volo,da rifornimento in volo,2,13,14,13.5,0.0,0.4,5,0.04398,
vehicles,veicoli,aereo,AEREO_aereo da trasporto vip,da trasporto vip,2,9,14,11.5,0.0,0.4,5,0.06862,
vehicles,veicoli,aereo,AEREO_aereo da trasporto cargo,da trasporto cargo,1,15,15,15.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da trasporto passeggeri,da trasporto passeggeri,3,7,9,7.6667,0.0,0.6,5,0.09132,
vehicles,veicoli,aereo,AEREO_aereo da trasporto merci,da trasporto merci,3,8,10,8.6667,0.0,0.6,5,0.08691,
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,2,9,11,10.0,0.0,0.4,5,0.05182,319.0
vehicles,veicoli,aereo,AEREO_aereo da pattugliamento marittimo,da pattugliamento marittimo,2,11,11,11.0,0.0,0.4,5,0.0401,
vehicles,veicoli,aereo,AEREO_aereo da collegamento,da collegamento,2,13,13,13.0,0.0,0.4,5,0.0401,
vehicles,veicoli,aereo,AEREO_aereo da osservazione,da osservazione,2,14,14,14.0,0.0,0.4,5,0.0401,
vehicles,veicoli,aereo,AEREO_aereo da ricognizione strategica,da ricognizione strategica,1,15,15,15.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da attacco,da attacco,1,7,7,7.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,2,8,21,14.5,0.0,0.4,5,0.10947,30198.0
vehicles,veicoli,aereo,AEREO_aereo da supporto,da supporto,1,12,12,12.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da sorveglianza,da sorveglianza,1,15,15,15.0,0.0,0.2,5,0.02005,25.0
vehicles,veicoli,aereo,AEREO_aliscafo,aliscafo,1,1,1,1.0,0.2,0.2,5,0.2,13389.0
vehicles,veicoli,aereo,AEREO_aliante,aliante,1,2,2,2.0,0.0,0.2,5,0.02005,21346.0
vehicles,veicoli,aereo,AEREO_aereo cargo,cargo,1,10,10,10.0,0.0,0.2,5,0.02005,35270.0
vehicles,veicoli,aereo,AEREO_aereo di linea,di linea,1,11,11,11.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo militare,militare,1,12,12,12.0,0.0,0.2,5,0.02005,30302.0
vehicles,veicoli,aereo,AEREO_aereo sperimentale,sperimentale,1,13,13,13.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo supersonico,supersonico,1,14,14,14.0,0.0,0.2,5,0.02005,8128.0
vehicles,veicoli,aereo,AEREO_aereo subsonico,subsonico,1,15,15,15.0,0.0,0.2,5,0.02005,10012.0
vehicles,veicoli,aereo,AEREO_autogiro,autogiro,1,16,16,16.0,0.0,0.2,5,0.02005,1926.0
vehicles,veicoli,aereo,AEREO_biplano,biplano,1,17,17,17.0,0.0,0.2,5,0.02005,6073.0
vehicles,veicoli,aereo,AEREO_bombardiere,bombardiere,1,18,18,18.0,0.0,0.2,5,0.02005,20377.0
vehicles,veicoli,aereo,AEREO_caccia,caccia,1,19,19,19.0,0.0,0.2,5,0.02005,39930.0
vehicles,veicoli,aereo,AEREO_caccia intercettore,caccia intercettore,1,20,20,20.0,0.0,0.2,5,0.02005,336.0
vehicles,veicoli,aereo,AEREO_aereo da ricerca e salvataggio,da ricerca e salvataggio,1,10,10,10.0,0.0,0.2,5,0.02005,17.0
vehicles,veicoli,aereo,AEREO_aereo da pattugliamento aereo,da pattugliamento aereo,1,12,12,12.0,0.0,0.2,5,0.02005,
stationery,cancelleria,agenda,AGENDA_agenda scolastica,scolastica,5,1,1,1.0,1.0,1.0,5,1.0,23709.0
stationery,cancelleria,agenda,AGENDA_agenda settimanale,settimanale,5,2,5,3.6,0.0,1.0,5,0.30082,33902.0
stationery,cancelleria,agenda,AGENDA_agenda mensile,mensile,4,3,6,5.0,0.0,0.8,5,0.15157,17128.0
