category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_abete bianco,bianco,3,1,3,1.6667,0.4,0.6,5,0.42005,224.0
plants,piante,abete,ABETE_abete rosso,rosso,4,2,12,5.75,0.0,0.8,5,0.37578,15104.0
plants,piante,abete,ABETE_abete argentato,argentato,3,1,7,3.6667,0.2,0.6,5,0.31296,48.0
plants,piante,abete,ABETE_abete balsamico,balsamico,4,2,5,3.75,0.0,0.8,5,0.20386,40.0
plants,piante,abete,ABETE_abete amabile,amabile,4,2,8,4.75,0.0,0.8,5,0.29241,2.0
plants,piante,abete,ABETE_abete canadese,canadese,3,5,6,5.6667,0.0,0.6,5,0.07187,74.0
plants,piante,abete,ABETE_abete himalayano,himalayano,2,7,10,8.5,0.0,0.4,5,0.06321,0.0
plants,piante,abete,ABETE_abete siberiano,siberiano,1,8,8,8.0,0.0,0.2,5,0.02005,53.0
plants,piante,abete,ABETE_abete nordmann,nordmann,1,9,9,9.0,0.0,0.2,5,0.02005,3.0
plants,piante,abete,ABETE_abete douglas,douglas,1,10,10,10.0,0.0,0.2,5,0.02005,31.0
plants,piante,abete,ABETE_abete delle marianne,delle marianne,2,2,6,4.0,0.0,0.4,5,0.14631,0.0
plants,piante,abete,ABETE_abete delle rocciose,delle rocciose,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di douglas,di douglas,2,3,8,5.5,0.0,0.4,5,0.12372,21.0
plants,piante,abete,ABETE_abete falso,falso,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete nobile,nobile,1,11,11,11.0,0.0,0.2,5,0.02005,10.0
plants,piante,abete,ABETE_abete sacchettato,sacchettato,1,13,13,13.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete serbo,serbo,1,14,14,14.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete spinoso,spinoso,1,15,15,15.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete delle rockies,delle rockies,1,3,3,3.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete marittimo,marittimo,1,6,6,6.0,0.0,0.2,5,0.02005,1.0
plants,piante,abete,ABETE_abete di spagna,di spagna,2,1,7,4.0,0.2,0.4,5,0.22005,21.0
plants,piante,abete,ABETE_rosso,rosso,1,1,1,1.0,0.2,0.2,5,0.2,33472.0
plants,piante,abete,ABETE_bianco,bianco,1,2,2,2.0,0.0,0.2,5,0.02005,2759185.0
plants,piante,abete,ABETE_argento,argento,1,3,3,3.0,0.0,0.2,5,0.02005,17436.0
plants,piante,abete,ABETE_nero,nero,1,4,4,4.0,0.0,0.2,5,0.02005,30046.0
plants,piante,abete,ABETE_giallo,giallo,1,5,5,5.0,0.0,0.2,5,0.02005,35694.0
plants,piante,abete,ABETE_canadese,canadese,1,6,6,6.0,0.0,0.2,5,0.02005,14273.0
plants,piante,abete,ABETE_europeo,europeo,1,7,7,7.0,0.0,0.2,5,0.02005,17373.0
plants,piante,abete,ABETE_marittimo,marittimo,1,8,8,8.0,0.0,0.2,5,0.02005,16502.0
plants,piante,abete,ABETE_nobile,nobile,1,9,9,9.0,0.0,0.2,5,0.02005,12313.0
plants,piante,abete,ABETE_amabile,amabile,1,10,10,10.0,0.0,0.2,5,0.02005,14954.0
plants,piante,abete,ABETE_abete giapponese,giapponese,1,9,9,9.0,0.0,0.2,5,0.02005,4.0
plants,piante,abete,ABETE_abete dei balcani,dei balcani,1,10,10,10.0,0.0,0.2,5,0.02005,4.0
plants,piante,abete,ABETE_abete delle amami,delle amami,1,11,11,11.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete dell'himalaya,dell'himalaya,1,12,12,12.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di fraser,di fraser,1,13,13,13.0,0.0,0.2,5,0.02005,23.0
vehicles,veicoli,aereo,AEREO_aliante,aliante,2,1,11,6.0,0.2,0.4,5,0.22005,21346.0
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,2,2,17,9.5,0.0,0.4,5,0.19327,102.0
vehicles,veicoli,aereo,AEREO_aereo da caccia,da caccia,3,1,3,1.6667,0.4,0.6,5,0.42005,62.0
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,4,4,16,7.0,0.0,0.8,5,0.39882,2070.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,3,2,5,3.0,0.0,0.6,5,0.24513,70.0
vehicles,veicoli,aereo,AEREO_aliscafo,aliscafo,3,6,8,7.0,0.0,0.6,5,0.08659,13389.0
vehicles,veicoli,aereo,AEREO_anfibio,anfibio,1,7,7,7.0,0.0,0.2,5,0.02005,17370.0
vehicles,veicoli,aereo,AEREO_autogiro,autogiro,2,8,15,11.5,0.0,0.4,5,0.08338,1926.0
vehicles,veicoli,aereo,AEREO_bombardiere,bombardiere,1,9,9,9.0,0.0,0.2,5,0.02005,20377.0
vehicles,veicoli,aereo,AEREO_caccia,caccia,1,10,10,10.0,0.0,0.2,5,0.02005,39930.0
vehicles,veicoli,aereo,AEREO_cacciabombardiere,cacciabombardiere,1,11,11,11.0,0.0,0.2,5,0.02005,6840.0
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,4,5,14,10.5,0.0,0.8,5,0.18127,30198.0
vehicles,veicoli,aereo,AEREO_idrovolante,idrovolante,3,9,13,11.6667,0.0,0.6,5,0.08327,12829.0
vehicles,veicoli,aereo,AEREO_parapendio,parapendio,1,14,14,14.0,0.0,0.2,5,0.02005,16259.0
vehicles,veicoli,aereo,AEREO_pattugliatore,pattugliatore,1,15,15,15.0,0.0,0.2,5,0.02005,4105.0
vehicles,veicoli,aereo,AEREO_quadrireattore,quadrireattore,1,16,16,16.0,0.0,0.2,5,0.02005,56.0
vehicles,veicoli,aereo,AEREO_razzo,razzo,1,17,17,17.0,0.0,0.2,5,0.02005,10968.0
vehicles,veicoli,aereo,AEREO_ricognitore,ricognitore,1,18,18,18.0,0.0,0.2,5,0.02005,4039.0
