category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_abete rosso,rosso,1,1,1,1.0,1.0,1.0,1,1.0,33472.0
plants,piante,abete,ABETE_abete bianco,bianco,1,2,2,2.0,0.0,1.0,1,0.10026,2759185.0
plants,piante,abete,ABETE_abete nero,nero,1,3,3,3.0,0.0,1.0,1,0.10026,30046.0
plants,piante,abete,ABETE_abete fuso,fuso,1,4,4,4.0,0.0,1.0,1,0.10026,42568.0
plants,piante,abete,ABETE_abete laricio,laricio,1,5,5,5.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di douglas,di douglas,1,6,6,6.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di nordmann,di nordmann,1,7,7,7.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di siberia,di siberia,1,8,8,8.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di giappone,di giappone,1,9,9,9.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di colorado,di colorado,1,10,10,10.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di nordamerica,di nordamerica,1,11,11,11.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di canada,di canada,1,12,12,12.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di monte carlo,di monte carlo,1,13,13,13.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di fraser,di fraser,1,14,14,14.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di sitka,di sitka,1,15,15,15.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di weihenstephaner,di weihenstephaner,1,16,16,16.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di dahuriano,di dahuriano,1,17,17,17.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di sakhalin,di sakhalin,1,18,18,18.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di kamtschatka,di kamtschatka,1,19,19,19.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_ab,ab,1,20,20,20.0,0.0,1.0,1,0.10026,17689.0
vehicles,veicoli,aereo,AEREO_aereo da carico,da carico,1,1,1,1.0,1.0,1.0,1,1.0,
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,1,2,2,2.0,0.0,1.0,1,0.10026,275.0
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,1,3,3,3.0,0.0,1.0,1,0.10026,319.0
vehicles,veicoli,aereo,AEREO_aereo da turismo,da turismo,1,4,4,4.0,0.0,1.0,1,0.10026,111.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto di linea,da trasporto di linea,1,5,5,5.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da trasporto charter,da trasporto charter,1,6,6,6.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da trasporto cargo,da trasporto cargo,1,7,7,7.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da trasporto passeggeri,da trasporto passeggeri,1,8,8,8.0,0.0,1.0,1,0.10026,
