category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_abete di montagna,di montagna,1,1,1,1.0,1.0,1.0,1,1.0,11.0
plants,piante,abete,ABETE_abete di foresta,di foresta,1,2,2,2.0,0.0,1.0,1,0.10026,0.0
plants,piante,abete,ABETE_abete di piantagione,di piantagione,1,3,3,3.0,0.0,1.0,1,0.10026,0.0
plants,piante,abete,ABETE_abete di giardino,di giardino,1,4,4,4.0,0.0,1.0,1,0.10026,0.0
vehicles,veicoli,aereo,AEREO_aereo da passeggeri,da passeggeri,1,1,1,1.0,1.0,1.0,1,1.0,3.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,1,2,2,2.0,0.0,1.0,1,0.10026,70.0
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,1,3,3,3.0,0.0,1.0,1,0.10026,102.0
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,1,4,4,4.0,0.0,1.0,1,0.10026,2070.0
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,1,5,5,5.0,0.0,1.0,1,0.10026,74.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto a lungo raggio,da trasporto a lungo raggio,1,6,6,6.0,0.0,1.0,1,0.10026,7.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto aereo,da trasporto aereo,1,7,7,7.0,0.0,1.0,1,0.10026,10.0
vehicles,veicoli,aereo,AEREO_aereo da pattugliamento,da pattugliamento,1,8,8,8.0,0.0,1.0,1,0.10026,27.0
vehicles,veicoli,aereo,AEREO_aereo da ricerca e salvataggio,da ricerca e salvataggio,1,9,9,9.0,0.0,1.0,1,0.10026,1.0
stationery,cancelleria,agenda,AGENDA_calendario,calendario,1,1,1,1.0,1.0,1.0,1,1.0,30666.0
stationery,cancelleria,agenda,AGENDA_piano,piano,1,2,2,2.0,0.0,1.0,1,0.10026,39310.0
stationery,cancelleria,agenda,AGENDA_elenco,elenco,1,3,3,3.0,0.0,1.0,1,0.10026,39132.0
stationery,cancelleria,agenda,AGENDA_tabella,tabella,1,4,4,4.0,0.0,1.0,1,0.10026,37962.0
stationery,cancelleria,agenda,AGENDA_elenco di attività,elenco di attività,1,5,5,5.0,0.0,1.0,1,0.10026,33.0
stationery,cancelleria,agenda,AGENDA_elenco di appuntamenti,elenco di appuntamenti,1,6,6,6.0,0.0,1.0,1,0.10026,25.0
stationery,cancelleria,agenda,AGENDA_elenco di date,elenco di date,1,7,7,7.0,0.0,1.0,1,0.10026,25.0
stationery,cancelleria,agenda,AGENDA_elenco di obiettivi,elenco di obiettivi,1,8,8,8.0,0.0,1.0,1,0.10026,20.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cassettone,cassettone,1,1,1,1.0,1.0,1.0,1,1.0,34200.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cassettiera,cassettiera,1,2,2,2.0,0.0,1.0,1,0.10026,23130.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_cassettiera a muro,cassettiera a muro,1,3,3,3.0,0.0,1.0,1,0.10026,1.0
