category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_albero,albero,2,1,2,1.5,0.2,0.4,5,0.22005,35138.0
plants,piante,abete,ABETE_alberella,alberella,1,2,2,2.0,0.0,0.2,5,0.02005,39.0
plants,piante,abete,ABETE_albero di fiori,albero di fiori,1,3,3,3.0,0.0,0.2,5,0.02005,23.0
plants,piante,abete,ABETE_albero di frullati,albero di frullati,1,4,4,4.0,0.0,0.2,5,0.02005,1.0
plants,piante,abete,ABETE_albero di legno,albero di legno,2,5,12,8.5,0.0,0.4,5,0.10671,21.0
plants,piante,abete,ABETE_albero di legno pregiato,albero di legno pregiato,1,6,6,6.0,0.0,0.2,5,0.02005,5.0
plants,piante,abete,ABETE_albero di legno tropicale,albero di legno tropicale,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno tropicale pregiato,albero di legno tropicale pregiato,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno tropicale di magagna,albero di legno tropicale di magagna,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno tropicale di magagna pregiato,albero di legno tropicale di magagna pregiato,1,10,10,10.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno tropicale di magagna pregiato di maggiore magagna,albero di legno tropicale di magagna pregiato di maggiore magagna,1,11,11,11.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno tropicale di maggiore magagna pregiato,albero di legno tropicale di maggiore magagna pregiato,1,12,12,12.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_palma,palma,1,1,1,1.0,0.2,0.2,5,0.2,28089.0
plants,piante,abete,ABETE_acacia,acacia,2,1,2,1.5,0.2,0.4,5,0.22005,34804.0
plants,piante,abete,ABETE_cedro,cedro,2,2,3,2.5,0.0,0.4,5,0.08338,23542.0
plants,piante,abete,ABETE_fico,fico,1,4,4,4.0,0.0,0.2,5,0.02005,25534.0
plants,piante,abete,ABETE_olivo,olivo,1,5,5,5.0,0.0,0.2,5,0.02005,51200.0
plants,piante,abete,ABETE_pino,pino,2,6,8,7.0,0.0,0.4,5,0.05874,83720.0
plants,piante,abete,ABETE_quercia,quercia,2,7,13,10.0,0.0,0.4,5,0.08338,28244.0
plants,piante,abete,ABETE_rovere,rovere,1,8,8,8.0,0.0,0.2,5,0.02005,10351.0
plants,piante,abete,ABETE_salice,salice,1,9,9,9.0,0.0,0.2,5,0.02005,32886.0
plants,piante,abete,ABETE_tiglio,tiglio,1,10,10,10.0,0.0,0.2,5,0.02005,36996.0
plants,piante,abete,ABETE_faggio,faggio,1,3,3,3.0,0.0,0.2,5,0.02005,28184.0
plants,piante,abete,ABETE_gelsomino,gelsomino,1,4,4,4.0,0.0,0.2,5,0.02005,30062.0
plants,piante,abete,ABETE_ginepro,ginepro,1,5,5,5.0,0.0,0.2,5,0.02005,27504.0
plants,piante,abete,ABETE_magnolia,magnolia,1,6,6,6.0,0.0,0.2,5,0.02005,39368.0
plants,piante,abete,ABETE_mirtillo,mirtillo,1,7,7,7.0,0.0,0.2,5,0.02005,38872.0
plants,piante,abete,ABETE_pino d'aleppo,pino d'aleppo,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_pino silvestre,pino silvestre,1,10,10,10.0,0.0,0.2,5,0.02005,1018.0
plants,piante,abete,ABETE_pino nero,pino nero,1,11,11,11.0,0.0,0.2,5,0.02005,210.0
plants,piante,abete,ABETE_pino pigno,pino pigno,1,12,12,12.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_tartaro,tartaro,1,14,14,14.0,0.0,0.2,5,0.02005,17051.0
plants,piante,abete,ABETE_tassello,tassello,1,15,15,15.0,0.0,0.2,5,0.02005,22669.0
plants,piante,abete,ABETE_tilia,tilia,1,16,16,16.0,0.0,0.2,5,0.02005,1464.0
plants,piante,abete,ABETE_ulivo,ulivo,1,17,17,17.0,0.0,0.2,5,0.02005,292424.0
plants,piante,abete,ABETE_vigna,vigna,1,18,18,18.0,0.0,0.2,5,0.02005,43806.0
plants,piante,abete,ABETE_vite,vite,1,19,19,19.0,0.0,0.2,5,0.02005,44778.0
plants,piante,abete,ABETE_zamia,zamia,1,20,20,20.0,0.0,0.2,5,0.02005,277.0
plants,piante,abete,ABETE_zarico,zarico,1,21,21,21.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_zerba,zerba,1,22,22,22.0,0.0,0.2,5,0.02005,765.0
plants,piante,abete,ABETE_zerba rossa,zerba rossa,2,23,28,25.5,0.0,0.4,5,0.05075,0.0
plants,piante,abete,ABETE_zerba gialla,zerba gialla,1,24,24,24.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_zerba verde,zerba verde,1,25,25,25.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_zerba bianca,zerba bianca,1,26,26,26.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_zerba nera,zerba nera,1,27,27,27.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_piante,piante,1,1,1,1.0,0.2,0.2,5,0.2,50532.0
plants,piante,abete,ABETE_arbore,arbore,1,3,3,3.0,0.0,0.2,5,0.02005,23406.0
plants,piante,abete,ABETE_cespuglio,cespuglio,1,4,4,4.0,0.0,0.2,5,0.02005,24262.0
plants,piante,abete,ABETE_piante erbe,piante erbe,1,5,5,5.0,0.0,0.2,5,0.02005,23.0
plants,piante,abete,ABETE_albero di natale,albero di natale,1,6,6,6.0,0.0,0.2,5,0.02005,144.0
plants,piante,abete,ABETE_albero di tè,albero di tè,1,7,7,7.0,0.0,0.2,5,0.02005,21.0
plants,piante,abete,ABETE_albero di mele,albero di mele,1,8,8,8.0,0.0,0.2,5,0.02005,34.0
plants,piante,abete,ABETE_albero di fico,albero di fico,1,9,9,9.0,0.0,0.2,5,0.02005,30.0
plants,piante,abete,ABETE_albero di limone,albero di limone,1,10,10,10.0,0.0,0.2,5,0.02005,24.0
plants,piante,abete,ABETE_albero di frutta,albero di frutta,1,11,11,11.0,0.0,0.2,5,0.02005,22.0
plants,piante,abete,ABETE_albero di legno di fiori,albero di legno di fiori,1,13,13,13.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno di gomma,albero di legno di gomma,1,14,14,14.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno di noce,albero di legno di noce,1,15,15,15.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno di quercia,albero di legno di quercia,1,16,16,16.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno di rovere,albero di legno di rovere,1,17,17,17.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di legno di salice,albero di legno di salice,1,18,18,18.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero di leg,albero di leg,1,19,19,19.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_ab,ab,1,1,1,1.0,0.2,0.2,5,0.2,17689.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,3,1,2,1.3333,0.4,0.6,5,0.42005,27876.0
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,4,2,2,2.0,0.0,0.8,5,0.08021,30198.0
vehicles,veicoli,aereo,AEREO_aereo navegante,navegante,1,3,3,3.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aereo a vela,a vela,1,4,4,4.0,0.0,0.2,5,0.02005,3.0
vehicles,veicoli,aereo,AEREO_aereo a rotore,a rotore,1,5,5,5.0,0.0,0.2,5,0.02005,4.0
vehicles,veicoli,aereo,AEREO_aereo a elica,a elica,1,6,6,6.0,0.0,0.2,5,0.02005,394.0
vehicles,veicoli,aereo,AEREO_aereo a elicottere,a elicottere,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aereo a elicotter,a elicotter,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_drone,drone,3,3,3,3.0,0.0,0.6,5,0.06016,43184.0
vehicles,veicoli,aereo,AEREO_elicottero militare,elicottero militare,1,4,4,4.0,0.0,0.2,5,0.02005,136.0
vehicles,veicoli,aereo,AEREO_aereo-navigante,aereo-navigante,1,5,5,5.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aereoplano,aereoplano,3,1,1,1.0,0.6,0.6,5,0.6,3094.0
vehicles,veicoli,aereo,AEREO_aerostato,aerostato,2,3,4,3.5,0.0,0.4,5,0.06321,3318.0
vehicles,veicoli,aereo,AEREO_aerostato aeroplano,aerostato aeroplano,1,5,5,5.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aerostato elicottero,aerostato elicottero,1,6,6,6.0,0.0,0.2,5,0.02005,1.0
vehicles,veicoli,aereo,AEREO_aerostato aereo,aerostato aereo,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aerostato drone,aerostato drone,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
