category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_acacia,acacia,3,1,1,1.0,0.6,0.6,5,0.6,34804.0
plants,piante,abete,ABETE_cedro,cedro,1,2,2,2.0,0.0,0.2,5,0.02005,23542.0
plants,piante,abete,ABETE_quercia,quercia,2,3,4,3.5,0.0,0.4,5,0.06321,28244.0
plants,piante,abete,ABETE_pino,pino,3,2,4,3.0,0.0,0.6,5,0.15613,83720.0
plants,piante,abete,ABETE_robbio,robbio,1,5,5,5.0,0.0,0.2,5,0.02005,3288.0
plants,piante,abete,ABETE_picea,picea,2,5,6,5.5,0.0,0.4,5,0.05182,1348.0
plants,piante,abete,ABETE_pino silvestre,pino silvestre,1,7,7,7.0,0.0,0.2,5,0.02005,1018.0
plants,piante,abete,ABETE_abete sardo,sardo,1,8,8,8.0,0.0,0.2,5,0.02005,17852.0
plants,piante,abete,ABETE_cedro del marmellato,cedro del marmellato,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_tartaro,tartaro,1,10,10,10.0,0.0,0.2,5,0.02005,17051.0
plants,piante,abete,ABETE_fagio,fagio,1,11,11,11.0,0.0,0.2,5,0.02005,172.0
plants,piante,abete,ABETE_fresno,fresno,1,12,12,12.0,0.0,0.2,5,0.02005,1693.0
plants,piante,abete,ABETE_pioppo,pioppo,1,13,13,13.0,0.0,0.2,5,0.02005,31078.0
plants,piante,abete,"ABETE_tuttavia questo è solo un esempio di alcune specie di alberi che possono appartenere al genere abete, si prega di consultare i ricercatori locali per poter essere informato sulle specie che vivono nella propria zona","tuttavia questo è solo un esempio di alcune specie di alberi che possono appartenere al genere abete, si prega di consultare i ricercatori locali per poter essere informato sulle specie che vivono nella propria zona",1,14,14,14.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_betulla,betulla,1,1,1,1.0,0.2,0.2,5,0.2,39058.0
plants,piante,abete,ABETE_faggio,faggio,3,1,3,2.0,0.2,0.6,5,0.28338,28184.0
plants,piante,abete,ABETE_tuaia,tuaia,1,3,3,3.0,0.0,0.2,5,0.02005,4.0
plants,piante,abete,ABETE_pino verde,pino verde,1,4,4,4.0,0.0,0.2,5,0.02005,328.0
plants,piante,abete,ABETE_ontano,ontano,1,2,2,2.0,0.0,0.2,5,0.02005,5340.0
plants,piante,abete,ABETE_olivo,olivo,1,4,4,4.0,0.0,0.2,5,0.02005,51200.0
plants,piante,abete,ABETE_pineta,pineta,1,5,5,5.0,0.0,0.2,5,0.02005,37696.0
plants,piante,abete,ABETE_tiglio,tiglio,1,6,6,6.0,0.0,0.2,5,0.02005,36996.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,4,1,2,1.25,0.6,0.8,5,0.62005,27876.0
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,2,2,2,2.0,0.0,0.4,5,0.0401,30198.0
vehicles,veicoli,aereo,AEREO_aeronave,aeronave,2,3,3,3.0,0.0,0.4,5,0.0401,2524.0
vehicles,veicoli,aereo,AEREO_aerostato,aerostato,2,4,5,4.5,0.0,0.4,5,0.05569,3318.0
vehicles,veicoli,aereo,AEREO_aeroe,aeroe,1,5,5,5.0,0.0,0.2,5,0.02005,10.0
vehicles,veicoli,aereo,AEREO_jet,jet,2,4,6,5.0,0.0,0.4,5,0.07037,33516.0
vehicles,veicoli,aereo,AEREO_aereostato,aereostato,1,2,2,2.0,0.0,0.2,5,0.02005,9.0
vehicles,veicoli,aereo,AEREO_aeronave giovanile,aeronave giovanile,1,4,4,4.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aeronave a fusoliera,aeronave a fusoliera,1,5,5,5.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aeronave con corpo ovale,aeronave con corpo ovale,1,6,6,6.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aeronave con corpo rotondo,aeronave con corpo rotondo,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aeronave con corpo quadrato,aeronave con corpo quadrato,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aeronave con corpo triangolare,aeronave con corpo triangolare,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aeronave a guscio,aeronave a guscio,1,10,10,10.0,0.0,0.2,5,0.02005,0.0
vehicles,veicoli,aereo,AEREO_aereo nero,nero,1,1,1,1.0,0.2,0.2,5,0.2,30046.0
vehicles,veicoli,aereo,AEREO_aereo di linea,di linea,1,2,2,2.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo nero a lungo raggio,nero a lungo raggio,1,3,3,3.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo bianco,bianco,1,4,4,4.0,0.0,0.2,5,0.02005,2759185.0
vehicles,veicoli,aereo,AEREO_aereo de havilland canada,de havilland canada,1,5,5,5.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo civile,civile,1,6,6,6.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aerea,aerea,1,1,1,1.0,0.2,0.2,5,0.2,21577.0
vehicles,veicoli,aereo,AEREO_aeroplanino,aeroplanino,1,3,3,3.0,0.0,0.2,5,0.02005,3435.0
vehicles,veicoli,aereo,AEREO_aerobus,aerobus,1,4,4,4.0,0.0,0.2,5,0.02005,3406.0
vehicles,veicoli,aereo,AEREO_aerotrain,aerotrain,1,5,5,5.0,0.0,0.2,5,0.02005,11.0
vehicles,veicoli,aereo,AEREO_drone,drone,1,3,3,3.0,0.0,0.2,5,0.02005,43184.0
stationery,cancelleria,agenda,AGENDA_calendario,calendario,2,1,1,1.0,0.4,0.4,5,0.4,30666.0
stationery,cancelleria,agenda,AGENDA_diario,diario,2,1,2,1.5,0.2,0.4,5,0.22005,40702.0
stationery,cancelleria,agenda,AGENDA_pager,pager,1,3,3,3.0,0.0,0.2,5,0.02005,512.0
stationery,cancelleria,agenda,AGENDA_organizzatore,organizzatore,1,4,4,4.0,0.0,0.2,5,0.02005,23171.0
stationery,cancelleria,agenda,AGENDA_schedule,schedule,1,5,5,5.0,0.0,0.2,5,0.02005,6808.0
stationery,cancelleria,agenda,AGENDA_calendario da inghiermata,calendario da inghiermata,1,6,6,6.0,0.0,0.2,5,0.02005,0.0
stationery,cancelleria,agenda,AGENDA_rubrica,rubrica,1,7,7,7.0,0.0,0.2,5,0.02005,35574.0
stationery,cancelleria,agenda,AGENDA_giornaliera,giornaliera,1,1,1,1.0,0.2,0.2,5,0.2,25110.0
stationery,cancelleria,agenda,AGENDA_mensile,mensile,1,2,2,2.0,0.0,0.2,5,0.02005,17128.0
stationery,cancelleria,agenda,AGENDA_bimestrale,bimestrale,1,3,3,3.0,0.0,0.2,5,0.02005,12000.0
stationery,cancelleria,agenda,AGENDA_settimanale,settimanale,1,4,4,4.0,0.0,0.2,5,0.02005,33902.0
stationery,cancelleria,agenda,AGENDA_mensuale,mensuale,1,5,5,5.0,0.0,0.2,5,0.02005,225.0
stationery,cancelleria,agenda,AGENDA_elenco compiuto,elenco compiuto,1,1,1,1.0,0.2,0.2,5,0.2,13.0
stationery,cancelleria,agenda,AGENDA_to-do list,to-do list,1,2,2,2.0,0.0,0.2,5,0.02005,768.0
stationery,cancelleria,agenda,AGENDA_scheda giornaliera,scheda giornaliera,1,3,3,3.0,0.0,0.2,5,0.02005,28.0
stationery,cancelleria,agenda,AGENDA_programmazione mensuale,programmazione mensuale,1,4,4,4.0,0.0,0.2,5,0.02005,0.0
stationery,cancelleria,agenda,AGENDA_agenda personale,personale,1,5,5,5.0,0.0,0.2,5,0.02005,15991.0
stationery,cancelleria,agenda,AGENDA_agenda professionale,professionale,1,6,6,6.0,0.0,0.2,5,0.02005,18210.0
stationery,cancelleria,agenda,AGENDA_scheda di lavoro,scheda di lavoro,1,2,2,2.0,0.0,0.2,5,0.02005,22.0
stationery,cancelleria,agenda,AGENDA_orario,orario,1,3,3,3.0,0.0,0.2,5,0.02005,8888.0
stationery,cancelleria,agenda,AGENDA_programma,programma,1,4,4,4.0,0.0,0.2,5,0.02005,20269.0
stationery,cancelleria,agenda,AGENDA_tavolo grafico,tavolo grafico,1,5,5,5.0,0.0,0.2,5,0.02005,2.0
stationery,cancelleria,agenda,AGENDA_tabella di aggiornamento,tabella di aggiornamento,1,6,6,6.0,0.0,0.2,5,0.02005,17.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_guanto,guanto,1,1,1,1.0,0.2,0.2,5,0.2,53394.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_scarpe,scarpe,3,1,5,2.6667,0.2,0.6,5,0.33259,919012.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_calze,calze,2,3,4,3.5,0.0,0.4,5,0.06321,49642.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_t-shirt,t-shirt,1,4,4,4.0,0.0,0.2,5,0.02005,35456.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_jeans,jeans,1,5,5,5.0,0.0,0.2,5,0.02005,31070.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_reggiseno,reggiseno,1,6,6,6.0,0.0,0.2,5,0.02005,18544.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_gambetta,gambetta,1,7,7,7.0,0.0,0.2,5,0.02005,11512.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_ginnice,ginnice,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
furnishings/fittings,arredamenti/accessori,appendiabiti,APPENDIABITI_pantaloni,pantaloni,2,1,9,5.0,0.2,0.4,5,0.22005,49132.0
