category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_pine tree,pine tree,2,1,7,4.0,0.25,0.5,4,0.27506,
plants,piante,abete,ABETE_fir tree,fir tree,1,2,2,2.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_spruce tree,spruce tree,1,3,3,3.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_cedar tree,cedar tree,1,4,4,4.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_fir pine tree,fir pine tree,1,5,5,5.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pine pine tree,pine pine tree,1,6,6,6.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pino,pino,3,1,1,1.0,0.75,0.75,4,0.75,83720.0
plants,piante,abete,ABETE_faggio,faggio,3,2,9,4.3333,0.0,0.75,4,0.40013,28184.0
plants,piante,abete,ABETE_cedro,cedro,3,3,7,4.3333,0.0,0.75,4,0.25734,23542.0
plants,piante,abete,ABETE_querce,querce,1,4,4,4.0,0.0,0.25,4,0.02506,30720.0
plants,piante,abete,ABETE_pino d'aleppo,pino d'aleppo,2,5,16,10.5,0.0,0.5,4,0.16045,0.0
plants,piante,abete,ABETE_tiglio,tiglio,1,6,6,6.0,0.0,0.25,4,0.02506,36996.0
plants,piante,abete,ABETE_palmetto,palmetto,1,7,7,7.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pioppo,pioppo,1,8,8,8.0,0.0,0.25,4,0.02506,31078.0
plants,piante,abete,ABETE_cipresso,cipresso,2,9,9,9.0,0.0,0.5,4,0.05013,34462.0
plants,piante,abete,ABETE_pino silvestre,pino silvestre,3,6,15,10.3333,0.0,0.75,4,0.19201,1018.0
plants,piante,abete,ABETE_pino nero,pino nero,2,10,11,10.5,0.0,0.5,4,0.05661,210.0
plants,piante,abete,ABETE_pino verde,pino verde,1,12,12,12.0,0.0,0.25,4,0.02506,328.0
plants,piante,abete,ABETE_pino mugo,pino mugo,2,4,13,8.5,0.0,0.5,4,0.16574,1730.0
plants,piante,abete,ABETE_pino d'italia,pino d'italia,1,14,14,14.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_pino pinea,pino pinea,1,15,15,15.0,0.0,0.25,4,0.02506,5.0
plants,piante,abete,ABETE_pino rosso,pino rosso,1,16,16,16.0,0.0,0.25,4,0.02506,131.0
plants,piante,abete,ABETE_pino silvestre verde,pino silvestre verde,1,17,17,17.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pino cipressino,pino cipressino,1,18,18,18.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_pino d'aleppo rosso,pino d'aleppo rosso,1,19,19,19.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_pino d'aleppo verde,pino d'aleppo verde,1,20,20,20.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pino domestico,pino domestico,1,21,21,21.0,0.0,0.25,4,0.02506,244.0
plants,piante,abete,ABETE_pino d'aleppo n,pino d'aleppo n,1,22,22,22.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pino d'alpe,pino d'alpe,1,2,2,2.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_pino di pinolo,pino di pinolo,1,3,3,3.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pino nobile,pino nobile,1,5,5,5.0,0.0,0.25,4,0.02506,84.0
plants,piante,abete,ABETE_cedro dell'himalaya,cedro dell'himalaya,1,8,8,8.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio rosso,faggio rosso,1,10,10,10.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio sarmizziano,faggio sarmizziano,1,11,11,11.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio orientale,faggio orientale,1,12,12,12.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio giallo,faggio giallo,1,13,13,13.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della california,faggio della california,1,14,14,14.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della virginia,faggio della virginia,1,15,15,15.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio del nord,faggio del nord,1,16,16,16.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della cina,faggio della cina,1,17,17,17.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della spagna,faggio della spagna,1,18,18,18.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della scozia,faggio della scozia,1,19,19,19.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della svezia,faggio della svezia,1,20,20,20.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della norvegia,faggio della norvegia,1,21,21,21.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_faggio della corea,faggio della corea,1,22,22,22.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_picea,picea,1,4,4,4.0,0.0,0.25,4,0.02506,1348.0
plants,piante,abete,ABETE_tannia,tannia,1,5,5,5.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_firma,firma,1,6,6,6.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pineta,pineta,1,7,7,7.0,0.0,0.25,4,0.02506,37696.0
plants,piante,abete,ABETE_pino pigno,pino pigno,1,8,8,8.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_abete nero,nero,1,11,11,11.0,0.0,0.25,4,0.02506,104.0
plants,piante,abete,ABETE_abete mugo,mugo,1,12,12,12.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_tartamela,tartamela,1,13,13,13.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete sperone,sperone,1,14,14,14.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_pino canadiano,pino canadiano,1,17,17,17.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_abete di nord,di nord,1,18,18,18.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_abete rosso,rosso,1,19,19,19.0,0.0,0.25,4,0.02506,15104.0
plants,piante,abete,ABETE_abete del giura,del giura,1,20,20,20.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete di siberia,di siberia,1,21,21,21.0,0.0,0.25,4,0.02506,0.0
plants,piante,abete,ABETE_abete di scozia,di scozia,1,22,22,22.0,0.0,0.25,4,0.02506,
plants,piante,abete,ABETE_abete di norvegia,di norvegia,1,23,23,23.0,0.0,0.25,4,0.02506,1.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,2,1,1,1.0,0.5,0.5,4,0.5,27876.0
vehicles,veicoli,aereo,AEREO_fuselage,fuselage,1,2,2,2.0,0.0,0.25,4,0.02506,41.0
vehicles,veicoli,aereo,AEREO_ala,ala,1,3,3,3.0,0.0,0.25,4,0.02506,20871.0
vehicles,veicoli,aereo,AEREO_turbina,turbina,1,4,4,4.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_coda,coda,1,5,5,5.0,0.0,0.25,4,0.02506,44394.0
vehicles,veicoli,aereo,AEREO_nose,nose,1,6,6,6.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_elica,elica,1,7,7,7.0,0.0,0.25,4,0.02506,18220.0
vehicles,veicoli,aereo,AEREO_vettore,vettore,1,8,8,8.0,0.0,0.25,4,0.02506,37888.0
vehicles,veicoli,aereo,AEREO_elica di coda,elica di coda,1,9,9,9.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_turbine,turbine,1,10,10,10.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_propeller,propeller,1,11,11,11.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_helicoptero,helicoptero,1,12,12,12.0,0.0,0.25,4,0.02506,7.0
vehicles,veicoli,aereo,AEREO_rotore,rotore,1,13,13,13.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_drone,drone,1,14,14,14.0,0.0,0.25,4,0.02506,43184.0
vehicles,veicoli,aereo,AEREO_missile,missile,1,15,15,15.0,0.0,0.25,4,0.02506,33176.0
vehicles,veicoli,aereo,AEREO_satellite,satellite,1,16,16,16.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_sonda spaziale,sonda spaziale,1,17,17,17.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_aeroplano militare,aeroplano militare,1,18,18,18.0,0.0,0.25,4,0.02506,258.0
vehicles,veicoli,aereo,AEREO_aeroplano passeggeri,aeroplano passeggeri,1,19,19,19.0,0.0,0.25,4,0.02506,6.0
vehicles,veicoli,aereo,AEREO_aeroplano cargo,aeroplano cargo,1,20,20,20.0,0.0,0.25,4,0.02506,3.0
vehicles,veicoli,aereo,AEREO_aeroplano da turismo,aeroplano da turismo,1,21,21,21.0,0.0,0.25,4,0.02506,24.0
vehicles,veicoli,aereo,AEREO_aeroplano da caccia,aeroplano da caccia,1,22,22,22.0,0.0,0.25,4,0.02506,50.0
vehicles,veicoli,aereo,AEREO_aeroplano da addestramento,aeroplano da addestramento,1,23,23,23.0,0.0,0.25,4,0.02506,32.0
vehicles,veicoli,aereo,AEREO_aeroplano da ricognizione,aeroplano da ricognizione,1,24,24,24.0,0.0,0.25,4,0.02506,40.0
vehicles,veicoli,aereo,AEREO_aeroplano con ali,aeroplano con ali,1,2,2,2.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_aeroplano con elica,aeroplano con elica,1,3,3,3.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_aeroplano con elica e ali,aeroplano con elica e ali,1,4,4,4.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_aeroplano con ali e elica,aeroplano con ali e elica,1,5,5,5.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_aereo a scoppio,a scoppio,1,1,1,1.0,0.25,0.25,4,0.25,
vehicles,veicoli,aereo,AEREO_aereo a gettoni,a gettoni,1,2,2,2.0,0.0,0.25,4,0.02506,
vehicles,veicoli,aereo,AEREO_aereo a vela,a vela,2,3,5,4.0,0.0,0.5,4,0.10422,3.0
vehicles,veicoli,aereo,AEREO_aereo a elicottere,a elicottere,1,4,4,4.0,0.0,0.25,4,0.02506,0.0
vehicles,veicoli,aereo,AEREO_aereo a elicot,a elicot,1,5,5,5.0,0.0,0.25,4,0.02506,
