category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_pino,pino,3,1,10,5.3333,0.2,0.6,5,0.29201,83720.0
plants,piante,abete,ABETE_pioppo,pioppo,1,1,1,1.0,0.2,0.2,5,0.2,31078.0
plants,piante,abete,ABETE_abetus,abetus,1,2,2,2.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete comune,comune,1,3,3,3.0,0.0,0.2,5,0.02005,16107.0
plants,piante,abete,ABETE_pineta,pineta,1,4,4,4.0,0.0,0.2,5,0.02005,37696.0
plants,piante,abete,ABETE_noce,noce,1,5,5,5.0,0.0,0.2,5,0.02005,33740.0
plants,piante,abete,ABETE_cerro,cerro,1,6,6,6.0,0.0,0.2,5,0.02005,45054.0
plants,piante,abete,ABETE_pino marittimo,pino marittimo,1,7,7,7.0,0.0,0.2,5,0.02005,6409.0
plants,piante,abete,ABETE_cedro,cedro,3,8,11,9.6667,0.0,0.6,5,0.08527,23542.0
plants,piante,abete,ABETE_pinus pinea,pinus pinea,1,9,9,9.0,0.0,0.2,5,0.02005,771.0
plants,piante,abete,ABETE_pino laricio,pino laricio,1,10,10,10.0,0.0,0.2,5,0.02005,767.0
plants,piante,abete,ABETE_pino silvestre,pino silvestre,1,11,11,11.0,0.0,0.2,5,0.02005,1018.0
plants,piante,abete,ABETE_frassino,frassino,1,12,12,12.0,0.0,0.2,5,0.02005,26254.0
plants,piante,abete,ABETE_acero,acero,1,13,13,13.0,0.0,0.2,5,0.02005,26036.0
plants,piante,abete,ABETE_faggio,faggio,2,2,14,8.0,0.0,0.4,5,0.18762,28184.0
plants,piante,abete,ABETE_araucaria,araucaria,1,15,15,15.0,0.0,0.2,5,0.02005,875.0
plants,piante,abete,ABETE_tiglio,tiglio,2,11,16,13.5,0.0,0.4,5,0.06321,36996.0
plants,piante,abete,ABETE_pino arenoso,pino arenoso,1,17,17,17.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_pino mugo,pino mugo,1,18,18,18.0,0.0,0.2,5,0.02005,1730.0
plants,piante,abete,ABETE_alloro,alloro,1,19,19,19.0,0.0,0.2,5,0.02005,42308.0
plants,piante,abete,ABETE_pino canado,pino canado,1,20,20,20.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_pino nobile,pino nobile,1,21,21,21.0,0.0,0.2,5,0.02005,84.0
plants,piante,abete,ABETE_pino massiccio,pino massiccio,1,22,22,22.0,0.0,0.2,5,0.02005,289.0
plants,piante,abete,ABETE_larice occidentale,larice occidentale,1,23,23,23.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_pino austriaco,pino austriaco,1,24,24,24.0,0.0,0.2,5,0.02005,58.0
plants,piante,abete,ABETE_pino di roscommon,pino di roscommon,1,25,25,25.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_pinola,pinola,1,26,26,26.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_pino sitka,pino sitka,1,27,27,27.0,0.0,0.2,5,0.02005,3.0
plants,piante,abete,ABETE_piuopolo,piuopolo,1,1,1,1.0,0.2,0.2,5,0.2,
plants,piante,abete,ABETE_lira,lira,1,3,3,3.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_tasso,tasso,1,4,4,4.0,0.0,0.2,5,0.02005,23610.0
plants,piante,abete,ABETE_gifeoni,gifeoni,1,6,6,6.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_betulla,betulla,1,7,7,7.0,0.0,0.2,5,0.02005,39058.0
plants,piante,abete,ABETE_larice,larice,1,8,8,8.0,0.0,0.2,5,0.02005,39082.0
plants,piante,abete,ABETE_pioppa,pioppa,1,9,9,9.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_luppolo,luppolo,1,12,12,12.0,0.0,0.2,5,0.02005,35580.0
plants,piante,abete,ABETE_cipresso,cipresso,2,7,13,10.0,0.0,0.4,5,0.08338,34462.0
plants,piante,abete,ABETE_velino,velino,1,14,14,14.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_albero,albero,2,1,1,1.0,0.4,0.4,5,0.4,35138.0
plants,piante,abete,ABETE_tamerici,tamerici,1,2,2,2.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_faggi,faggi,1,3,3,3.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_pini,pini,1,4,4,4.0,0.0,0.2,5,0.02005,22838.0
plants,piante,abete,ABETE_giove,giove,1,5,5,5.0,0.0,0.2,5,0.02005,27196.0
plants,piante,abete,ABETE_quercia,quercia,1,6,6,6.0,0.0,0.2,5,0.02005,28244.0
plants,piante,abete,ABETE_magnolia,magnolia,1,8,8,8.0,0.0,0.2,5,0.02005,39368.0
plants,piante,abete,ABETE_carpine,carpine,1,9,9,9.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_arbore,arbore,1,2,2,2.0,0.0,0.2,5,0.02005,23406.0
plants,piante,abete,ABETE_foresta,foresta,1,3,3,3.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,3,1,2,1.6667,0.2,0.6,5,0.2401,30198.0
vehicles,veicoli,aereo,AEREO_aereo turboelica,turboelica,1,2,2,2.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo a pistoni,a pistoni,1,3,3,3.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo a reazione,a reazione,1,4,4,4.0,0.0,0.2,5,0.02005,99.0
vehicles,veicoli,aereo,AEREO_aereo a vela,a vela,1,5,5,5.0,0.0,0.2,5,0.02005,35.0
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,1,6,6,6.0,0.0,0.2,5,0.02005,319.0
vehicles,veicoli,aereo,AEREO_aereo militare,militare,1,7,7,7.0,0.0,0.2,5,0.02005,30302.0
vehicles,veicoli,aereo,AEREO_aereo passeggeri,passeggeri,1,8,8,8.0,0.0,0.2,5,0.02005,27070.0
vehicles,veicoli,aereo,AEREO_aereo da cargo,da cargo,1,9,9,9.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo raccoglitrice,raccoglitrice,1,10,10,10.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo idrovolante,idrovolante,1,11,11,11.0,0.0,0.2,5,0.02005,12829.0
vehicles,veicoli,aereo,AEREO_baleniera,baleniera,1,12,12,12.0,0.0,0.2,5,0.02005,2609.0
vehicles,veicoli,aereo,AEREO_aereoplano,aereoplano,3,1,1,1.0,0.6,0.6,5,0.6,3094.0
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,2,2,3,2.5,0.0,0.4,5,0.08338,27876.0
vehicles,veicoli,aereo,AEREO_aerostato,aerostato,2,3,4,3.5,0.0,0.4,5,0.06321,3318.0
vehicles,veicoli,aereo,AEREO_aereiduttore,aereiduttore,1,4,4,4.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereoscalate,aereoscalate,1,5,5,5.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_elicotteri,elicotteri,2,2,6,4.0,0.0,0.4,5,0.14631,39618.0
vehicles,veicoli,aereo,AEREO_elicottere,elicottere,1,7,7,7.0,0.0,0.2,5,0.02005,32.0
vehicles,veicoli,aereo,AEREO_aeroplano con helicottero,aeroplano con helicottero,1,3,3,3.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano con elica,aeroplano con elica,1,4,4,4.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano con 2 alas,aeroplano con 2 alas,1,5,5,5.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano con 4 alas,aeroplano con 4 alas,1,6,6,6.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano con 2 alas biplano,aeroplano con 2 alas biplano,1,7,7,7.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano con 4 alas biplano,aeroplano con 4 alas biplano,1,8,8,8.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano con 2 eliche,aeroplano con 2 eliche,1,9,9,9.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano a motore,aeroplano a motore,1,10,10,10.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano a vela,aeroplano a vela,1,11,11,11.0,0.0,0.2,5,0.02005,21.0
vehicles,veicoli,aereo,AEREO_aeroplano a motore a vela,aeroplano a motore a vela,1,12,12,12.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano a vela con elica,aeroplano a vela con elica,1,13,13,13.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeropl,aeropl,1,14,14,14.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereoplanes,aereoplanes,1,1,1,1.0,0.2,0.2,5,0.2,
vehicles,veicoli,aereo,AEREO_elicotteri militari,elicotteri militari,1,3,3,3.0,0.0,0.2,5,0.02005,159.0
vehicles,veicoli,aereo,AEREO_jet,jet,1,4,4,4.0,0.0,0.2,5,0.02005,33516.0
vehicles,veicoli,aereo,AEREO_helicopters,helicopters,1,5,5,5.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_droni,droni,1,6,6,6.0,0.0,0.2,5,0.02005,22630.0
vehicles,veicoli,aereo,AEREO_sonda spaziale,sonda spaziale,1,7,7,7.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_satelliti artificiali,satelliti artificiali,1,8,8,8.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_drone,drone,1,5,5,5.0,0.0,0.2,5,0.02005,43184.0
vehicles,veicoli,aereo,AEREO_astronave,astronave,1,6,6,6.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_idrociclo,idrociclo,1,7,7,7.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereonave,aereonave,1,8,8,8.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereolinea,aereolinea,1,9,9,9.0,0.0,0.2,5,0.02005,
stationery,cancelleria,agenda,AGENDA_calendario,calendario,2,1,1,1.0,0.4,0.4,5,0.4,30666.0
stationery,cancelleria,agenda,AGENDA_agenda ordinaria,ordinaria,1,2,2,2.0,0.0,0.2,5,0.02005,
stationery,cancelleria,agenda,AGENDA_agenda digitale,digitale,1,3,3,3.0,0.0,0.2,5,0.02005,18961.0
stationery,cancelleria,agenda,AGENDA_agenda registrazione,registrazione,1,4,4,4.0,0.0,0.2,5,0.02005,
stationery,cancelleria,agenda,AGENDA_agenda personalizzata,personalizzata,1,5,5,5.0,0.0,0.2,5,0.02005,25130.0
stationery,cancelleria,agenda,AGENDA_agenda giornaliera,giornaliera,1,6,6,6.0,0.0,0.2,5,0.02005,25110.0
stationery,cancelleria,agenda,AGENDA_diario,diario,1,1,1,1.0,0.2,0.2,5,0.2,40702.0
stationery,cancelleria,agenda,AGENDA_calendario per giorni e settimana,calendario per giorni e settimana,1,2,2,2.0,0.0,0.2,5,0.02005,
stationery,cancelleria,agenda,AGENDA_calendario di lavoro,calendario di lavoro,1,3,3,3.0,0.0,0.2,5,0.02005,30.0
