category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_abete bianco,bianco,1,1,1,1.0,1.0,1.0,1,1.0,2759185.0
plants,piante,abete,ABETE_abete di douglas,di douglas,1,2,2,2.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di spagna,di spagna,1,3,3,3.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete del caucaso,del caucaso,1,4,4,4.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di nobilis,di nobilis,1,5,5,5.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di picea,di picea,1,6,6,6.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di sitka,di sitka,1,7,7,7.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete rosso,rosso,1,8,8,8.0,0.0,1.0,1,0.10026,33472.0
plants,piante,abete,ABETE_abete di virginia,di virginia,1,9,9,9.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di nordmann,di nordmann,1,10,10,10.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di fraser,di fraser,1,11,11,11.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di gmelin,di gmelin,1,12,12,12.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di nootka,di nootka,1,13,13,13.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di sakhalin,di sakhalin,1,14,14,14.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di corea,di corea,1,15,15,15.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di vancouver,di vancouver,1,16,16,16.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di mugho,di mugho,1,17,17,17.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di jack,di jack,1,18,18,18.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di lodgepole,di lodgepole,1,19,19,19.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di balsamo,di balsamo,1,20,20,20.0,0.0,1.0,1,0.10026,
plants,piante,abete,ABETE_abete di balsamo giapponese,di balsamo giapponese,1,21,21,21.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da combattimento,da combattimento,1,1,1,1.0,1.0,1.0,1,1.0,319.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,1,2,2,2.0,0.0,1.0,1,0.10026,275.0
vehicles,veicoli,aereo,AEREO_aereo da turismo,da turismo,1,3,3,3.0,0.0,1.0,1,0.10026,111.0
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,1,4,4,4.0,0.0,1.0,1,0.10026,97.0
vehicles,veicoli,aereo,AEREO_aereo da caccia,da caccia,1,5,5,5.0,0.0,1.0,1,0.10026,33.0
vehicles,veicoli,aereo,AEREO_aereo da pattugliamento marittimo,da pattugliamento marittimo,1,6,6,6.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,1,7,7,7.0,0.0,1.0,1,0.10026,51.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto passeggeri,da trasporto passeggeri,1,8,8,8.0,0.0,1.0,1,0.10026,
vehicles,veicoli,aereo,AEREO_aereo da attacco al suolo,da attacco al suolo,1,9,9,9.0,0.0,1.0,1,0.10026,
