category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_abete bianco,bianco,5,1,2,1.2,0.8,1.0,5,0.82005,224.0
plants,piante,abete,ABETE_abete di douglas,di douglas,5,1,2,1.8,0.2,1.0,5,0.28021,21.0
plants,piante,abete,ABETE_abete di spagna,di spagna,1,3,3,3.0,0.0,0.2,5,0.02005,21.0
plants,piante,abete,ABETE_abete rosso,rosso,5,3,8,5.4,0.0,1.0,5,0.27994,15104.0
plants,piante,abete,ABETE_abete di nорway,di nорway,1,5,5,5.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete del colorado,del colorado,5,3,11,6.8,0.0,1.0,5,0.3211,27.0
plants,piante,abete,ABETE_abete di picea omorika,di picea omorika,3,7,11,9.0,0.0,0.6,5,0.10213,0.0
plants,piante,abete,ABETE_abete di sitka,di sitka,3,8,10,9.3333,0.0,0.6,5,0.07353,8.0
plants,piante,abete,ABETE_abete di nicolai,di nicolai,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di fraser,di fraser,3,4,10,6.0,0.0,0.6,5,0.20588,23.0
plants,piante,abete,ABETE_abete del caucaso,del caucaso,3,3,11,7.3333,0.0,0.6,5,0.18629,61.0
plants,piante,abete,ABETE_abete di virgilio,di virgilio,2,12,15,13.5,0.0,0.4,5,0.05288,0.0
plants,piante,abete,ABETE_abete di grecia,di grecia,1,13,13,13.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di serbia,di serbia,2,12,14,13.0,0.0,0.4,5,0.04862,2.0
plants,piante,abete,ABETE_abete di macedonia,di macedonia,1,15,15,15.0,0.0,0.2,5,0.02005,1.0
plants,piante,abete,ABETE_abete di albano,di albano,1,16,16,16.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di silver,di silver,1,17,17,17.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di orixa,di orixa,1,18,18,18.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di khinghan,di khinghan,1,19,19,19.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di gmelin,di gmelin,2,16,20,18.0,0.0,0.4,5,0.05259,0.0
plants,piante,abete,ABETE_abete di maximov,di maximov,1,21,21,21.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di nobilis,di nobilis,1,5,5,5.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di virginia,di virginia,3,3,6,5.0,0.0,0.6,5,0.11981,0.0
plants,piante,abete,ABETE_abete di picea,di picea,2,7,12,9.5,0.0,0.4,5,0.07709,0.0
plants,piante,abete,ABETE_abete nobile,nobile,1,9,9,9.0,0.0,0.2,5,0.02005,10.0
plants,piante,abete,ABETE_abete di norkfolk,di norkfolk,1,12,12,12.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete dell'himalaya,dell'himalaya,1,13,13,13.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di tsuga,di tsuga,1,14,14,14.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete orientale,orientale,1,15,15,15.0,0.0,0.2,5,0.02005,7.0
plants,piante,abete,ABETE_abete di mugho,di mugho,1,17,17,17.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete spagnolo,spagnolo,1,18,18,18.0,0.0,0.2,5,0.02005,24.0
plants,piante,abete,ABETE_abete greco,greco,1,19,19,19.0,0.0,0.2,5,0.02005,85.0
plants,piante,abete,ABETE_abete siciliano,siciliano,1,20,20,20.0,0.0,0.2,5,0.02005,14.0
plants,piante,abete,ABETE_abete di spagnola,di spagnola,1,4,4,4.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete nobilis,nobilis,1,6,6,6.0,0.0,0.2,5,0.02005,1.0
plants,piante,abete,ABETE_abete dei nebrodi,dei nebrodi,1,7,7,7.0,0.0,0.2,5,0.02005,33.0
plants,piante,abete,ABETE_abete di nordmann,di nordmann,3,4,11,8.3333,0.0,0.6,5,0.1456,3.0
plants,piante,abete,ABETE_abete del friuli,del friuli,1,13,13,13.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di svezia,di svezia,1,14,14,14.0,0.0,0.2,5,0.02005,11.0
plants,piante,abete,ABETE_abete di asia centrale,di asia centrale,1,15,15,15.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di noble,di noble,1,5,5,5.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete sugare,sugare,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete subalpino,subalpino,1,9,9,9.0,0.0,0.2,5,0.02005,2.0
plants,piante,abete,ABETE_abete di lamarck,di lamarck,1,13,13,13.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di cilindro,di cilindro,1,14,14,14.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di jeanok,di jeanok,1,16,16,16.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di maxwell,di maxwell,1,17,17,17.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di vologda,di vologda,1,18,18,18.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di omsk,di omsk,1,19,19,19.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di dahuria,di dahuria,1,20,20,20.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete della mongolia,della mongolia,1,21,21,21.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di picea mariana,di picea mariana,1,6,6,6.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di picea engelmannii,di picea engelmannii,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di picea glauca,di picea glauca,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di picea abies,di picea abies,1,10,10,10.0,0.0,0.2,5,0.02005,0.0
