category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,asb_freq
plants,piante,abete,ABETE_abete rosso,rosso,5,1,2,1.6,0.4,1.0,5,0.46016,33472.0
plants,piante,abete,ABETE_abete bianco,bianco,5,1,2,1.4,0.6,1.0,5,0.6401,2759185.0
plants,piante,abete,ABETE_abete argentato,argentato,3,3,3,3.0,0.0,0.6,5,0.06016,
plants,piante,abete,ABETE_abete canadese,canadese,3,3,4,3.3333,0.0,0.6,5,0.10638,14273.0
plants,piante,abete,ABETE_abete dei boschi,dei boschi,1,5,5,5.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete del colorado,del colorado,3,4,6,5.3333,0.0,0.6,5,0.09042,
plants,piante,abete,ABETE_abete del caucaso,del caucaso,1,7,7,7.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete del nepal,del nepal,1,8,8,8.0,0.0,0.2,5,0.02005,60.0
plants,piante,abete,ABETE_abete dei pirenei,dei pirenei,1,9,9,9.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di douglas,di douglas,5,4,10,6.4,0.0,1.0,5,0.29031,
plants,piante,abete,ABETE_abete di nordmann,di nordmann,5,5,11,6.6,0.0,1.0,5,0.30611,
plants,piante,abete,ABETE_abete di oregón,di oregón,2,6,12,9.0,0.0,0.4,5,0.09036,
plants,piante,abete,ABETE_abete di sitka,di sitka,4,7,13,9.5,0.0,0.8,5,0.17613,
plants,piante,abete,ABETE_abete di vancouver,di vancouver,2,8,12,10.0,0.0,0.4,5,0.06633,
plants,piante,abete,ABETE_abete di weymouth,di weymouth,2,8,9,8.5,0.0,0.4,5,0.04678,
plants,piante,abete,ABETE_abete di monterey,di monterey,1,10,10,10.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di california,di california,1,11,11,11.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di engadina,di engadina,1,12,12,12.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di ciliegia,di ciliegia,1,13,13,13.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di norfolk,di norfolk,1,14,14,14.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di lawson,di lawson,1,15,15,15.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete dei caucaso,dei caucaso,1,4,4,4.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete del cile,del cile,1,7,7,7.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di noble,di noble,1,9,9,9.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete di oregone,di oregone,1,10,10,10.0,0.0,0.2,5,0.02005,
plants,piante,abete,ABETE_abete dei laghi,dei laghi,1,4,4,4.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo a reazione,a reazione,3,1,2,1.6667,0.2,0.6,5,0.2401,99.0
vehicles,veicoli,aereo,AEREO_aereo a elica,a elica,4,1,2,1.5,0.4,0.8,5,0.4401,
vehicles,veicoli,aereo,AEREO_aereo da caccia,da caccia,5,3,6,4.2,0.0,1.0,5,0.26154,33.0
vehicles,veicoli,aereo,AEREO_aereo da trasporto,da trasporto,4,3,5,4.0,0.0,0.8,5,0.15465,275.0
vehicles,veicoli,aereo,AEREO_aereo da turismo,da turismo,4,5,8,6.0,0.0,0.8,5,0.1662,111.0
vehicles,veicoli,aereo,AEREO_aereo da guerra,da guerra,5,4,11,6.2,0.0,1.0,5,0.34734,62.0
vehicles,veicoli,aereo,AEREO_elicottero,elicottero,5,3,14,8.4,0.0,1.0,5,0.32829,30198.0
vehicles,veicoli,aereo,AEREO_drone,drone,2,8,17,12.5,0.0,0.4,5,0.09317,43184.0
vehicles,veicoli,aereo,AEREO_aereo spia,spia,2,9,10,9.5,0.0,0.4,5,0.04594,
vehicles,veicoli,aereo,AEREO_aereo di linea,di linea,2,1,10,5.5,0.2,0.4,5,0.22005,
vehicles,veicoli,aereo,AEREO_aereo da soccorso,da soccorso,5,7,12,10.0,0.0,1.0,5,0.16407,
vehicles,veicoli,aereo,AEREO_aereo da ricognizione,da ricognizione,5,5,12,7.6,0.0,1.0,5,0.28033,51.0
vehicles,veicoli,aereo,AEREO_aereo da addestramento,da addestramento,5,7,13,10.6,0.0,1.0,5,0.17272,97.0
vehicles,veicoli,aereo,AEREO_aereo da carico,da carico,2,9,14,11.5,0.0,0.4,5,0.06862,
vehicles,veicoli,aereo,AEREO_aereo da pattugliamento,da pattugliamento,2,14,15,14.5,0.0,0.4,5,0.04368,45.0
vehicles,veicoli,aereo,AEREO_aereo da combattimento imbarcato,da combattimento imbarcato,1,16,16,16.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da combattimento stealth,da combattimento stealth,1,17,17,17.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da linea,da linea,3,11,20,14.6667,0.0,0.6,5,0.12645,
vehicles,veicoli,aereo,AEREO_aereo da esibizione,da esibizione,1,12,12,12.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo sperimentale,sperimentale,1,13,13,13.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aeroplano,aeroplano,1,15,15,15.0,0.0,0.2,5,0.02005,27876.0
vehicles,veicoli,aereo,AEREO_velivolo spaziale,velivolo spaziale,1,16,16,16.0,0.0,0.2,5,0.02005,24.0
vehicles,veicoli,aereo,AEREO_aereo senza pilota,senza pilota,3,9,18,14.0,0.0,0.6,5,0.1179,
vehicles,veicoli,aereo,AEREO_aereo a decollo verticale,a decollo verticale,1,19,19,19.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo a getto,a getto,1,20,20,20.0,0.0,0.2,5,0.02005,
vehicles,veicoli,aereo,AEREO_aereo da cargo,da cargo,3,2,9,6.0,0.0,0.6,5,0.20571,
vehicles,veicoli,aereo,AEREO_aereo da passeggeri,da passeggeri,2,8,10,9.0,0.0,0.4,5,0.05348,42.0
vehicles,veicoli,aereo,AEREO_aereo da osservazione,da osservazione,2,13,14,13.5,0.0,0.4,5,0.04398,
vehicles,veicoli,aereo,AEREO_aereo da diporto,da diporto,2,3,23,13.0,0.0,0.4,5,0.18232,
vehicles,veicoli,aereo,AEREO_jet,jet,1,1,1,1.0,0.2,0.2,5,0.2,33516.0
vehicles,veicoli,aereo,AEREO_aereo da ricerca scientifica,da ricerca scientifica,1,15,15,15.0,0.0,0.2,5,0.02005,
