category,category_ita,concept,concept_exemplar,exemplar,count,min_rank,max_rank,mean_rank,first_occurrence,dominance,participant_concept,availability,abs_freq
plants,piante,abete,ABETE_abete rosso,rosso,5,1,3,1.8,0.4,1.0,5,0.54671,15104.0
plants,piante,abete,ABETE_abete bianco,bianco,5,1,2,1.6,0.4,1.0,5,0.46016,224.0
plants,piante,abete,ABETE_abete d silver,d silver,1,3,3,3.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete canadese,canadese,3,4,6,5.0,0.0,0.6,5,0.10213,74.0
plants,piante,abete,ABETE_abete colorato,colorato,1,5,5,5.0,0.0,0.2,5,0.02005,13.0
plants,piante,abete,ABETE_abete nano,nano,1,6,6,6.0,0.0,0.2,5,0.02005,23.0
plants,piante,abete,ABETE_abete norvege,norvege,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di douglas,di douglas,3,7,8,7.6667,0.0,0.6,5,0.06796,21.0
plants,piante,abete,ABETE_abete dei boschi,dei boschi,1,9,9,9.0,0.0,0.2,5,0.02005,6.0
plants,piante,abete,ABETE_abete dello himalaya,dello himalaya,1,10,10,10.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete argentato,argentato,3,3,4,3.3333,0.0,0.6,5,0.10638,48.0
plants,piante,abete,ABETE_abete dei caucasian,dei caucasian,1,4,4,4.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete del colorado,del colorado,3,5,5,5.0,0.0,0.6,5,0.06016,27.0
plants,piante,abete,ABETE_abete dei pirenei,dei pirenei,1,6,6,6.0,0.0,0.2,5,0.02005,1.0
plants,piante,abete,ABETE_abete di oregone,di oregone,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete del alaska,del alaska,1,9,9,9.0,0.0,0.2,5,0.02005,1.0
plants,piante,abete,ABETE_abete di engadine,di engadine,1,10,10,10.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete blu,blu,1,4,4,4.0,0.0,0.2,5,0.02005,13.0
plants,piante,abete,ABETE_abete delle roche,delle roche,1,6,6,6.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete della catawba,della catawba,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete della virginia,della virginia,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete del monte carro,del monte carro,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete del giappone,del giappone,1,10,10,10.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete silver,silver,1,3,3,3.0,0.0,0.2,5,0.02005,2.0
plants,piante,abete,ABETE_abete dei laghi,dei laghi,1,4,4,4.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete dell'himalaya,dell'himalaya,1,7,7,7.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete del cile,del cile,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di norfolk,di norfolk,1,9,9,9.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_albero diabeti,albero diabeti,1,1,1,1.0,0.2,0.2,5,0.2,0.0
plants,piante,abete,ABETE_abete dei prati,dei prati,1,6,6,6.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete cembro,cembro,1,8,8,8.0,0.0,0.2,5,0.02005,0.0
plants,piante,abete,ABETE_abete di nordmann,di nordmann,1,9,9,9.0,0.0,0.2,5,0.02005,3.0
plants,piante,abete,ABETE_abete del kazakistan,del kazakistan,1,10,10,10.0,0.0,0.2,5,0.02005,0.0
