category,concept,human,llama-3.1-70b,llama-3.1-8b,llama-3.2-3b,mixtral-8x7b,mistral-7b,nemo-12b,llava-v1.6-mistral-7b,llava-v1.6-mistral-7b-img,idefics2-8b,idefics2-8b-img
plants,abete,abete rosso,abete bianco,abete rosso,abete americano,abete bianco,abete bianco,abete bianco,albero,pino,abete rosso,abete rosso
plants,abete,abete bianco,abete amabile,abete di douglas,abete di faggio,abete di douglas,abete rosso di norvegia,abete rosso,acacia,faggio,abete bianco,abete rosso del nord
plants,abete,abete di natale,abete rosso,abete nero,abete di montagna,abete rosso,abete nero,abete di nordmann,palma,pine tree,acacia,abete nero
vehicles,aereo,aereo militare,aereo da caccia,aereo da trasporto,aereo da passeggeri,aereo da combattimento,aereo commerciale,aereo a elica,aereoplano,aeroplano,aeroplano,elicottero
vehicles,aereo,aereo di linea,aereo da trasporto,aereo da carico,aereo passeggeri,aereo da turismo,jet,aereo da guerra,aeroplano,aereoplano,elicottero,aeroplano
vehicles,aereo,jet,aereo da addestramento,aereo da turismo,aereo da trasporto,aereo da caccia,aereo da ricognizione,elicottero,elicottero,aereo a scoppio,aerostato,dirigibile
stationery,agenda,agenda mensile,agenda scolastica,calendario,calendario,agenda giornaliera,calendario digitale,agenda cartacea,calendario,calendario,calendario,calendario
stationery,agenda,agenda settimanale,agenda personale,agenda cartacea,piano,agenda digitale,calendario da tasca,agenda professionale,agenda di lavoro,planner,calendario digitale,diario
stationery,agenda,agenda giornaliera,agenda settimanale,agenda digitale,elenco,agenda settimanale,calendario di appuntamenti,agenda scolastica,agenda pendolari,quaderno,a4,planner
furnishings/fittings,appendiabiti,appendiabiti da parete,gruccia,appendiabiti da parete,armadio,gancio appendiabiti,appendice per cintura,appendiabiti a parete,scarpe,scarpe,jeans,borsa
furnishings/fittings,appendiabiti,appendiabiti da terra,portabiti,appendiabiti da muro,cassettone,portaombrelli,cassetta per cinture,appendiabiti a piantana,calze,manichetta,borsa,camisa
furnishings/fittings,appendiabiti,appendiabiti da muro,attaccapanni,appendiabiti a muro,cassettiera,gancio da parete,vestitario,appendiabiti portatile,pantaloni,hangar,scarpe,pantaloni
furniture,armadio,armadio a muro,armadio a muro,armadio a muro,armadio a muro,armadio a due ante,armadio a porta rovescia,armadio a muro,armadietto,armadio aperto,armadio per vestiti,armadio per vestiti
furniture,armadio,armadio scorrevole,armadio scorrevole,armadio a tre ante,armadio a vetro,armadio con ante scorrevoli,armadio a due porte,armadio guardaroba,armadio a due porte,armadietro,armario,scaffale
furniture,armadio,armadio a due ante,armadio a ponte,armadio a due ante,armadio da letto,armadio con cassetti,armadio a portelle,armadio a cassetti,armario,vestiario,armaio,cassa
stationery,astuccio,astuccio rigido,astuccio per occhiali,borsa,cappello,astuccio per matite,tazza,astuccio per matite,fornace,suitcase,astuccio per caffè,valigia
stationery,astuccio,portapenne,astuccio per penna,astuccio da disegno,borsa,astuccio per cosmetici,vaso,astuccio da viaggio,radiatore,astuccio a mano,astuccio a scoppio,big bag
stationery,astuccio,astuccio per la scuola,astuccio per pistola,portafoglio,guanto,astuccio per occhiali,calice,astuccio per pennarelli,riscaldamento a legna,astuccio portatile,astuccio marmitta,valigia per viaggio
hobbies,attrezzo,martello,martello,martello,forbici,cacciavite,martello,martello,pala,pince,chitarra,martello
hobbies,attrezzo,cacciavite,pinza,scalpello,forbice,livella,chiavetta,forbice,palle da tennis,pennello,cuscino,scopa
hobbies,attrezzo,chiave inglese,cacciavite,chiave inglese,forbici da cucito,pinza,pinzette,trapano,pallone da tennis,martellaccio,spada,scala
vehicles,autobus,autobus a due piani,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,autobus urbano,bus,pullman,pullman
vehicles,autobus,autobus di linea,autobus a due piani,autobus a due piani,autobus urbani,autobus a due piani,autobus turistico,autobus urbani,bus,autobus a due piani,paghezzato,autobus scolastico
vehicles,autobus,scuolabus,autobus a tre assi,pullman,autobus notturno,autobus scolastico,autobus articolato,autobus a due piani,autobus extraurbano,autobus a tre piani,midibus,pullman-süd
vehicles,automobile,automobile elettrica,berlina,fiat,auto,berlina,berlina,berline,berlina,berlina,auto,auto
vehicles,automobile,suv,autocarro,berlina,scooter,coupé,sedan,suv,sedan,coupe,automobile a benzina,camion
vehicles,automobile,automobile a benzina,autobus,motocicletta,autobus,cabriolet,fuoristrada,coupé,auto,sports car,autobus,auto-camion
housing buildings,bagno,bagno pubblico,bagno turco,vasca,doccia,vasca da bagno,doccia,doccia,doccia,doccia,vaso da bagno,lavandino
housing buildings,bagno,bagno turco,doccia,lavabo,vasca da bagno,portasciugamani,bagno turco,vasca da bagno,piscina,vasca da bagno,bagno da bagno,vasca
housing buildings,bagno,bagno giapponese,vasca da bagno,wc,bidet,armadietto del bagno,vasca idromassaggio,lavandino,vaso,urinal,stufa bagno,scaldacristallo
housing buildings,balcone,balcone a incasso,balcone a sbalzo,balcone da giardino,scale,balcone francese,loggia,balcone panoramico,balcone aperto,veranda,terrazza,terrazza
housing buildings,balcone,terrazzo,a sbalzo,balconcino,balcone esterno,balcone a galleria,terrazzo,balcone aperto,terrazza,balcone esterno,loggia,tettoie
housing buildings,balcone,balcone aggettante,a filo,balcone di legno,terrazza,balcone juliet,veranda,balcone chiuso,balcone esterno,balcone con vetri,balcone di vetro,balcone superiore
plants,basilico,basilico genovese,genovese,basilico di genova,basilico comune,basilico genovese,basilico comune,basilico genovese,basilico comune,basilico comune,basilico italiano,peppermint
plants,basilico,basilico verde,basilico comune,basilico genovese,pettine,basilico limone,basilico messicano,basilico dolce,basilico di finocchio,basilico fresco,genovese,basilico dolce
plants,basilico,basilico viola,basilico genovese,basilico di napoli,aglio,basilico greco,basilico sacro,basilico napoletano,basilico piccolino,pesto,basilico piccante,spearmint
kitchenware,bicchiere,bicchiere di vetro,bicchiere da vino,bicchiere da vino,bicchiere da vino,bicchiere di vetro,bicchiere da vino,bicchiere da acqua,bicchiere di vetro,coppa,tazza,bicchiere da birra
kitchenware,bicchiere,bicchiere di plastica,bicchiere da birra,bicchiere da champagne,bicchiere da caffè,bicchiere di plastica,bicchiere da freddo,bicchiere da birra,bicchiere da vino,tazza,coppa,tazzina
kitchenware,bicchiere,calice,bicchiere da acqua,bicchiere da digestivo,bicchiere da acqua,bicchiere da cocktail,bicchiere da cocktail,calice,bicchiere da acqua,wine glass,bottiglia,tazza
vehicles,bicicletta,bicicletta elettrica,mountain bike,bicicletta da corsa,mountain bike,city bike,montagna bicicletta,mountain bike,mountain bike,biciclo,mountain bike,bicicletta per bambini
vehicles,bicicletta,mountain bike,bici da corsa,bicicletta da strada,bicicletta da strada,touring bike,road bike,bicicletta elettrica,bicicletta da strada,biciciclo,road bike,bicicletta da montagna
vehicles,bicicletta,bicicletta da corsa,bici pieghevole,bicicletta da corsa su pista,bicicletta da corsa,bmx bike,montagna,bici da bmx,biciclo,bicicletta in generale,bicicletta in bicicletta,bicicletta a due ruote
body parts,bocca,bocca carnosa,bocca umana,labbra,labbra,bocca umana,bocca dell'uomo,bocca umana,bocca di leone,labbra,mascella,lingua
body parts,bocca,bocca sottile,bocca di lupo,bocca di caverna,naso,bocca di un uccello,bocca di un cannone,labbra,bocca di cavallo,gengive,lingua,labbra
